County FIPS Code,State,County Name,No CSR,Yes CSR,Total Plan Selections
02013,AK,Aleutians East Borough,11,18,29
02016,AK,Aleutians West Census Area,18,16,34
02020,AK,Anchorage Municipality,3835,4913,8748
02050,AK,Bethel Census Area,26,57,83
02060,AK,Bristol Bay Borough,16,13,29
02068,AK,Denali Borough,86,77,163
02070,AK,Dillingham Census Area,13,26,39
02090,AK,Fairbanks North Star Borough,963,1151,2114
02100,AK,Haines Borough,148,118,266
02105,AK,Hoonah-Angoon Census Area,40,79,119
02110,AK,Juneau City and Borough,584,494,1078
02122,AK,Kenai Peninsula Borough,1071,1457,2528
02130,AK,Ketchikan Gateway Borough,270,231,501
02150,AK,Kodiak Island Borough,394,312,706
02164,AK,Lake and Peninsula Borough,16,20,36
02170,AK,Matanuska-Susitna Borough,1368,1566,2934
02180,AK,Nome Census Area,26,35,61
02185,AK,North Slope Borough,15,20,35
02188,AK,Northwest Arctic Borough, . , . ,15
02195,AK,Petersburg Census Area,128,83,211
02198,AK,Prince of Wales-Hyder Census Area,60,42,102
02220,AK,Sitka City and Borough,247,230,477
02230,AK,Skagway Municipality,89,72,161
02240,AK,Southeast Fairbanks Census Area,75,78,153
02261,AK,Valdez-Cordova Census Area,203,259,462
02270,AK,Wade Hampton Census Area, . , . ,19
02275,AK,Wrangell City and Borough,59,23,82
02282,AK,Yakutat City and Borough, . , . ,12
02290,AK,Yukon-Koyukuk Census Area,17,42,59
01001,AL,Autauga County,487,1249,1736
01003,AL,Baldwin County,3050,6634,9684
01005,AL,Barbour County,220,585,805
01007,AL,Bibb County,179,378,557
01009,AL,Blount County,492,1340,1832
01011,AL,Bullock County,65,227,292
01013,AL,Butler County,177,537,714
01015,AL,Calhoun County,1011,2514,3525
01017,AL,Chambers County,230,783,1013
01019,AL,Cherokee County,177,582,759
01021,AL,Chilton County,453,1273,1726
01023,AL,Choctaw County,156,417,573
01025,AL,Clarke County,233,768,1001
01027,AL,Clay County,127,296,423
01029,AL,Cleburne County,129,387,516
01031,AL,Coffee County,358,953,1311
01033,AL,Colbert County,510,1301,1811
01035,AL,Conecuh County,124,435,559
01037,AL,Coosa County,100,263,363
01039,AL,Covington County,308,931,1239
01041,AL,Crenshaw County,129,353,482
01043,AL,Cullman County,813,1992,2805
01045,AL,Dale County,372,921,1293
01047,AL,Dallas County,366,1156,1522
01049,AL,DeKalb County,619,2073,2692
01051,AL,Elmore County,730,1648,2378
01053,AL,Escambia County,264,752,1016
01055,AL,Etowah County,930,3094,4024
01057,AL,Fayette County,139,335,474
01059,AL,Franklin County,255,645,900
01061,AL,Geneva County,241,657,898
01063,AL,Greene County,86,225,311
01065,AL,Hale County,164,341,505
01067,AL,Henry County,161,507,668
01069,AL,Houston County,1099,2688,3787
01071,AL,Jackson County,484,1358,1842
01073,AL,Jefferson County,7328,16564,23892
01075,AL,Lamar County,141,301,442
01077,AL,Lauderdale County,1002,2317,3319
01079,AL,Lawrence County,358,918,1276
01081,AL,Lee County,1465,3367,4832
01083,AL,Limestone County,859,1981,2840
01085,AL,Lowndes County,106,344,450
01087,AL,Macon County,158,537,695
01089,AL,Madison County,4071,9321,13392
01091,AL,Marengo County,199,507,706
01093,AL,Marion County,232,704,936
01095,AL,Marshall County,864,2370,3234
01097,AL,Mobile County,4717,13326,18043
01099,AL,Monroe County,174,757,931
01101,AL,Montgomery County,2258,6100,8358
01103,AL,Morgan County,1220,3089,4309
01105,AL,Perry County,72,251,323
01107,AL,Pickens County,127,415,542
01109,AL,Pike County,253,620,873
01111,AL,Randolph County,211,539,750
01113,AL,Russell County,464,1303,1767
01115,AL,St. Clair County,783,1980,2763
01117,AL,Shelby County,2558,4690,7248
01119,AL,Sumter County,98,385,483
01121,AL,Talladega County,649,1681,2330
01123,AL,Tallapoosa County,417,1035,1452
01125,AL,Tuscaloosa County,1737,3797,5534
01127,AL,Walker County,549,1472,2021
01129,AL,Washington County,147,386,533
01131,AL,Wilcox County,108,301,409
01133,AL,Winston County,234,668,902
05001,AR,Arkansas County,212,229,441
05003,AR,Ashley County,215,347,562
05005,AR,Baxter County,425,755,1180
05007,AR,Benton County,2783,3197,5980
05009,AR,Boone County,429,591,1020
05011,AR,Bradley County,84,146,230
05013,AR,Calhoun County,28,63,91
05015,AR,Carroll County,435,487,922
05017,AR,Chicot County,96,150,246
05019,AR,Clark County,203,237,440
05021,AR,Clay County,141,189,330
05023,AR,Cleburne County,311,388,699
05025,AR,Cleveland County,57,107,164
05027,AR,Columbia County,170,201,371
05029,AR,Conway County,223,255,478
05031,AR,Craighead County,959,1164,2123
05033,AR,Crawford County,469,732,1201
05035,AR,Crittenden County,453,583,1036
05037,AR,Cross County,154,241,395
05039,AR,Dallas County,59,79,138
05041,AR,Desha County,145,196,341
05043,AR,Drew County,235,287,522
05045,AR,Faulkner County,1243,1497,2740
05047,AR,Franklin County,105,189,294
05049,AR,Fulton County,99,119,218
05051,AR,Garland County,1244,1712,2956
05053,AR,Grant County,166,245,411
05055,AR,Greene County,391,425,816
05057,AR,Hempstead County,166,179,345
05059,AR,Hot Spring County,305,459,764
05061,AR,Howard County,116,147,263
05063,AR,Independence County,350,470,820
05065,AR,Izard County,97,147,244
05067,AR,Jackson County,139,189,328
05069,AR,Jefferson County,497,738,1235
05071,AR,Johnson County,219,225,444
05073,AR,Lafayette County,51,89,140
05075,AR,Lawrence County,122,227,349
05077,AR,Lee County,97,87,184
05079,AR,Lincoln County,87,173,260
05081,AR,Little River County,98,141,239
05083,AR,Logan County,157,247,404
05085,AR,Lonoke County,559,789,1348
05087,AR,Madison County,158,262,420
05089,AR,Marion County,153,255,408
05091,AR,Miller County,383,445,828
05093,AR,Mississippi County,301,475,776
05095,AR,Monroe County,81,101,182
05097,AR,Montgomery County,108,176,284
05099,AR,Nevada County,79,77,156
05101,AR,Newton County,102,145,247
05103,AR,Ouachita County,241,233,474
05105,AR,Perry County,98,157,255
05107,AR,Phillips County,148,261,409
05109,AR,Pike County,132,147,279
05111,AR,Poinsett County,191,289,480
05113,AR,Polk County,160,267,427
05115,AR,Pope County,553,701,1254
05117,AR,Prairie County,59,113,172
05119,AR,Pulaski County,4055,4707,8762
05121,AR,Randolph County,176,252,428
05123,AR,St. Francis County,161,240,401
05125,AR,Saline County,1088,1283,2371
05127,AR,Scott County,56,83,139
05129,AR,Searcy County,83,121,204
05131,AR,Sebastian County,953,1458,2411
05133,AR,Sevier County,117,159,276
05135,AR,Sharp County,158,251,409
05137,AR,Stone County,127,184,311
05139,AR,Union County,370,493,863
05141,AR,Van Buren County,187,243,430
05143,AR,Washington County,2646,3065,5711
05145,AR,White County,719,907,1626
05147,AR,Woodruff County,62,117,179
05149,AR,Yell County,139,253,392
04001,AZ,Apache County,203,250,453
04003,AZ,Cochise County,1487,1752,3239
04005,AZ,Coconino County,1937,1712,3649
04007,AZ,Gila County,633,705,1338
04009,AZ,Graham County,413,409,822
04011,AZ,Greenlee County,56,57,113
04012,AZ,La Paz County,137,184,321
04013,AZ,Maricopa County,59522,70017,129539
04015,AZ,Mohave County,2898,3297,6195
04017,AZ,Navajo County,949,1014,1963
04019,AZ,Pima County,15406,16354,31760
04021,AZ,Pinal County,4645,5838,10483
04023,AZ,Santa Cruz County,778,1551,2329
04025,AZ,Yavapai County,4542,4504,9046
04027,AZ,Yuma County,1531,2872,4403
10001,DE,Kent County,1750,1667,3417
10003,DE,New Castle County,8449,6518,14967
10005,DE,Sussex County,3537,3114,6651
12001,FL,Alachua County,4228,8491,12719
12003,FL,Baker County,257,580,837
12005,FL,Bay County,2923,6107,9030
12007,FL,Bradford County,339,651,990
12009,FL,Brevard County,10883,19481,30364
12011,FL,Broward County,70370,151840,222210
12013,FL,Calhoun County,129,310,439
12015,FL,Charlotte County,3408,6140,9548
12017,FL,Citrus County,2379,5722,8101
12019,FL,Clay County,3107,5603,8710
12021,FL,Collier County,7476,15808,23284
12023,FL,Columbia County,929,1832,2761
12027,FL,DeSoto County,334,830,1164
12029,FL,Dixie County,141,365,506
12031,FL,Duval County,21994,33039,55033
12033,FL,Escambia County,4492,6867,11359
12035,FL,Flagler County,2405,4175,6580
