County FIPS Code,State Name,County Name,No APTC ,Yes APTC,Total Plan Selections
02013,AK,Aleutians East Borough,11,27,38
02016,AK,Aleutians West Census Area,14,24,38
02020,AK,Anchorage Municipality,1426,8058,9484
02050,AK,Bethel Census Area,14,59,73
02060,AK,Bristol Bay Borough,.,.,34
02068,AK,Denali Borough,16,148,164
02070,AK,Dillingham Census Area,.,.,31
02090,AK,Fairbanks North Star Borough,351,2031,2382
02100,AK,Haines Borough,35,250,285
02105,AK,Hoonah-Angoon Census Area,.,.,117
02110,AK,Juneau City and Borough,166,916,1082
02122,AK,Kenai Peninsula Borough,317,2404,2721
02130,AK,Ketchikan Gateway Borough,81,472,553
02150,AK,Kodiak Island Borough,79,769,848
02164,AK,Lake and Peninsula Borough,.,.,34
02170,AK,Matanuska-Susitna Borough,417,2801,3218
02180,AK,Nome Census Area,14,43,57
02185,AK,North Slope Borough,.,.,33
02188,AK,Northwest Arctic Borough,.,.,28
02195,AK,Petersburg Census Area,32,197,229
02198,AK,Prince of Wales-Hyder Census Area,13,99,112
02220,AK,Sitka City and Borough,53,419,472
02230,AK,Skagway Municipality,20,156,176
02240,AK,Southeast Fairbanks Census Area,17,157,174
02261,AK,Valdez-Cordova Census Area,88,373,461
02270,AK,Wade Hampton Census Area,.,.,16
02275,AK,Wrangell City and Borough,13,83,96
02282,AK,Yakutat City and Borough,.,.,17
02290,AK,Yukon-Koyukuk Census Area,12,43,55
01001,AL,Autauga County,228,1668,1896
01003,AL,Baldwin County,1308,10470,11778
01005,AL,Barbour County,80,721,801
01007,AL,Bibb County,60,569,629
01009,AL,Blount County,223,2041,2264
01011,AL,Bullock County,35,299,334
01013,AL,Butler County,72,744,816
01015,AL,Calhoun County,392,3574,3966
01017,AL,Chambers County,107,1021,1128
01019,AL,Cherokee County,72,854,926
01021,AL,Chilton County,172,1767,1939
01023,AL,Choctaw County,66,586,652
01025,AL,Clarke County,96,1176,1272
01027,AL,Clay County,44,445,489
01029,AL,Cleburne County,58,552,610
01031,AL,Coffee County,142,1346,1488
01033,AL,Colbert County,204,2046,2250
01035,AL,Conecuh County,50,498,548
01037,AL,Coosa County,39,345,384
01039,AL,Covington County,112,1340,1452
01041,AL,Crenshaw County,47,519,566
01043,AL,Cullman County,320,3075,3395
01045,AL,Dale County,139,1336,1475
01047,AL,Dallas County,177,1507,1684
01049,AL,DeKalb County,186,2861,3047
01051,AL,Elmore County,307,2302,2609
01053,AL,Escambia County,115,1087,1202
01055,AL,Etowah County,330,4309,4639
01057,AL,Fayette County,51,526,577
01059,AL,Franklin County,101,959,1060
01061,AL,Geneva County,78,895,973
01063,AL,Greene County,35,288,323
01065,AL,Hale County,59,534,593
01067,AL,Henry County,69,653,722
01069,AL,Houston County,435,3623,4058
01071,AL,Jackson County,190,1887,2077
01073,AL,Jefferson County,3659,22990,26649
01075,AL,Lamar County,37,470,507
01077,AL,Lauderdale County,418,3588,4006
01079,AL,Lawrence County,102,1366,1468
01081,AL,Lee County,615,4840,5455
01083,AL,Limestone County,365,2894,3259
01085,AL,Lowndes County,46,369,415
01087,AL,Macon County,83,626,709
01089,AL,Madison County,2148,13210,15358
01091,AL,Marengo County,70,714,784
01093,AL,Marion County,87,1065,1152
01095,AL,Marshall County,316,3502,3818
01097,AL,Mobile County,2421,16892,19313
01099,AL,Monroe County,88,947,1035
01101,AL,Montgomery County,1138,7578,8716
01103,AL,Morgan County,514,4773,5287
01105,AL,Perry County,39,305,344
01107,AL,Pickens County,44,589,633
01109,AL,Pike County,102,912,1014
01111,AL,Randolph County,50,793,843
01113,AL,Russell County,174,1805,1979
01115,AL,St. Clair County,357,2958,3315
01117,AL,Shelby County,1319,7237,8556
01119,AL,Sumter County,47,428,475
01121,AL,Talladega County,250,2321,2571
01123,AL,Tallapoosa County,138,1458,1596
01125,AL,Tuscaloosa County,765,5840,6605
01127,AL,Walker County,219,2196,2415
01129,AL,Washington County,43,577,620
01131,AL,Wilcox County,52,449,501
01133,AL,Winston County,68,959,1027
05001,AR,Arkansas County,61,404,465
05003,AR,Ashley County,49,503,552
05005,AR,Baxter County,130,1230,1360
05007,AR,Benton County,1138,5476,6614
05009,AR,Boone County,104,946,1050
05011,AR,Bradley County,23,265,288
05013,AR,Calhoun County,16,113,129
05015,AR,Carroll County,104,928,1032
05017,AR,Chicot County,18,242,260
05019,AR,Clark County,76,400,476
05021,AR,Clay County,32,316,348
05023,AR,Cleburne County,92,787,879
05025,AR,Cleveland County,20,142,162
05027,AR,Columbia County,65,366,431
05029,AR,Conway County,38,511,549
05031,AR,Craighead County,311,2109,2420
05033,AR,Crawford County,204,1272,1476
05035,AR,Crittenden County,144,949,1093
05037,AR,Cross County,41,380,421
05039,AR,Dallas County,17,132,149
05041,AR,Desha County,35,268,303
05043,AR,Drew County,82,428,510
05045,AR,Faulkner County,407,2641,3048
05047,AR,Franklin County,26,332,358
05049,AR,Fulton County,24,257,281
05051,AR,Garland County,361,2941,3302
05053,AR,Grant County,41,423,464
05055,AR,Greene County,104,807,911
05057,AR,Hempstead County,38,372,410
05059,AR,Hot Spring County,88,768,856
05061,AR,Howard County,31,263,294
05063,AR,Independence County,132,962,1094
05065,AR,Izard County,40,267,307
