County FIPS Code,State Name,County Name,No CSR,Yes CSR,Total Plan Selections
02013,AK,Aleutians East Borough,13,25,38
02016,AK,Aleutians West Census Area,19,19,38
02020,AK,Anchorage Municipality,5263,4221,9484
02050,AK,Bethel Census Area,26,47,73
02060,AK,Bristol Bay Borough,20,14,34
02068,AK,Denali Borough,95,69,164
02070,AK,Dillingham Census Area,20,11,31
02090,AK,Fairbanks North Star Borough,1343,1039,2382
02100,AK,Haines Borough,191,94,285
02105,AK,Hoonah-Angoon Census Area,54,63,117
02110,AK,Juneau City and Borough,690,392,1082
02122,AK,Kenai Peninsula Borough,1512,1209,2721
02130,AK,Ketchikan Gateway Borough,362,191,553
02150,AK,Kodiak Island Borough,613,235,848
02164,AK,Lake and Peninsula Borough,16,18,34
02170,AK,Matanuska-Susitna Borough,1942,1276,3218
02180,AK,Nome Census Area,22,35,57
02185,AK,North Slope Borough,15,18,33
02188,AK,Northwest Arctic Borough,11,17,28
02195,AK,Petersburg Census Area,137,92,229
02198,AK,Prince of Wales-Hyder Census Area,46,66,112
02220,AK,Sitka City and Borough,289,183,472
02230,AK,Skagway Municipality,132,44,176
02240,AK,Southeast Fairbanks Census Area,101,73,174
02261,AK,Valdez-Cordova Census Area,281,180,461
02270,AK,Wade Hampton Census Area,.,.,16
02275,AK,Wrangell City and Borough,66,30,96
02282,AK,Yakutat City and Borough,.,.,17
02290,AK,Yukon-Koyukuk Census Area,30,25,55
01001,AL,Autauga County,555,1341,1896
01003,AL,Baldwin County,3409,8369,11778
01005,AL,Barbour County,217,584,801
01007,AL,Bibb County,150,479,629
01009,AL,Blount County,600,1664,2264
01011,AL,Bullock County,61,273,334
01013,AL,Butler County,179,637,816
01015,AL,Calhoun County,955,3011,3966
01017,AL,Chambers County,256,872,1128
01019,AL,Cherokee County,197,729,926
01021,AL,Chilton County,471,1468,1939
01023,AL,Choctaw County,183,469,652
01025,AL,Clarke County,246,1026,1272
01027,AL,Clay County,138,351,489
01029,AL,Cleburne County,150,460,610
01031,AL,Coffee County,387,1101,1488
01033,AL,Colbert County,554,1696,2250
01035,AL,Conecuh County,117,431,548
01037,AL,Coosa County,98,286,384
01039,AL,Covington County,331,1121,1452
01041,AL,Crenshaw County,134,432,566
01043,AL,Cullman County,870,2525,3395
