State,County,Metal Level,Issuer Name,Plan ID - Standard Component,Plan Marketing Name,Plan Type,Rating Area,Child Only Offering,Source,Customer Service Phone Number Local,Customer Service Phone Number Toll Free,Customer Service Phone Number TTY,Network URL,Plan Brochure URL,Summary of Benefits URL,Drug Formulary URL,Adult Dental,Child Dental,Premium Scenarios,Premium Child,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30,Premium Adult Individual Age 40,Premium Adult Individual Age 50,Premium Adult Individual Age 60,Premium Couple 21  ,Premium Couple 30,Premium Couple 40,Premium Couple 50,Premium Couple 60,"Couple+1 child, Age 21","Couple+1 child, Age 30","Couple+1 child, Age 40","Couple+1 child, Age 50","Couple+2 children, Age 21","Couple+2 children, Age 30","Couple+2 children, Age 40","Couple+2 children, Age 50","Couple+3 or more Children, Age 21","Couple+3 or more Children, Age 30","Couple+3 or more Children, Age 40","Couple+3 or more Children, Age 50","Individual+1 child, Age 21","Individual+1 child, Age 30","Individual+1 child, Age 40","Individual+1 child, Age 50","Individual+2 children, Age 21","Individual+2 children, Age 30","Individual+2 children, Age 40","Individual+2 children, Age 50","Individual+3 or more children, Age 21","Individual+3 or more children, Age 30","Individual+3 or more children, Age 40","Individual+3 or more children, Age 50",Standard Plan Cost Sharing,Medical Deductible - individual - standard,Drug Deductible - individual - standard,Medical Deductible -family - standard,Drug Deductible - family - standard,Medical Maximum Out Of Pocket - individual - standard,Drug Maximum Out of Pocket - individual - standard,Medical Maximum Out of Pocket - family - standard,Drug Maximum Out of Pocket - Family  - standard,Primary Care Physician  - standard,Specialist  - standard,Emergency Room  - standard,Inpatient Facility  - standard,Inpatient Physician - standard,Generic Drugs - standard,Preferred Brand Drugs - standard,Non-preferred Brand Drugs - standard,Specialty Drugs - standard,73 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - individual - 73 percent,Drug Deductible - individual - 73 percent,Medical Deductible - family - 73 percent,Drug Deductible - family - 73 percent,Medical Maximum Out Of Pocket - individual - 73 percent,Drug Maximum Out of Pocket - individual - 73 percent,Medical Maximum Out of Pocket - family - 73 percent,Drug Maximum Out of Pocket - Family - 73 percent,Primary Care Physician - 73 percent,Specialist - 73 percent,Emergency Room - 73 percent,Inpatient Facility - 73 percent,Inpatient Physician - 73 percent,Generic Drugs - 73 percent,Preferred Brand Drugs - 73 percent,Non-preferred Brand Drugs - 73 percent,Specialty Drugs - 73 percent,87 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - individual - 87 percent,Drug Deductible - individual - 87 percent,Medical Deductible - family - 87 percent,Drug Deductible - family - 87 percent,Medical Maximum Out Of Pocket - individual - 87 percent,Drug Maximum Out of Pocket - individual - 87 percent,Medical Maximum Out of Pocket - family - 87 percent,Drug Maximum Out of Pocket - Family - 87 percent,Primary Care Physician - 87 percent,Specialist - 87 percent,Emergency Room - 87 percent,Inpatient Facility - 87 percent,Inpatient Physician - 87 percent,Generic Drugs - 87 percent,Preferred Brand Drugs - 87 percent,Non-preferred Brand Drugs - 87 percent,Specialty Drugs - 87 percent,94 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - individual - 94 percent,Drug Deductible - individual - 94 percent,Medical Deductible - family - 94 percent,Drug Deductible - family - 94 percent,Medical Maximum Out Of Pocket -individual - 94 percent,Drug Maximum Out of Pocket - individual - 94 percent,Medical Maximum Out of Pocket - family - 94 percent,Drug Maximum Out of Pocket - Family  - 94 percent,Primary Care Physician - 94 percent,Specialist - 94 percent,Emergency Room - 94 percent,Inpatient Facility  - 94 percent,Inpatient Physician  - 94 percent,Generic Drugs - 94 percent,Preferred Brand Drugs - 94 percent,Non-preferred Brand Drugs - 94 percent,Specialty Drugs - 94 percent
NM,BERNALILLO,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-888-295-7651,1-888-295-7651,,http://www.molinahealthcare.com/providersearch,http://www.molinahealthcare.com/members/nm/en-us/hp/marketplace/plans/gold,http://www.molinahealthcare.com/members/nm/en-us/hp/marketplace/plans/gold,http://www.molinahealthcare.com/members/nm/en-us/hp/marketplace/plans/gold,,,,$118.42,$186.49,$195.45,$211.67,$238.34,$333.08,$506.15,$372.98,$423.34,$476.68,$666.16,$1012.30,$491.40,$541.76,$595.10,$784.57,$609.82,$660.18,$713.52,$903.00,$728.24,$778.59,$831.94,$1021.42,$304.91,$330.09,$356.76,$451.50,$423.33,$448.51,$475.18,$569.91,$541.75,$566.92,$593.60,$688.33,,$250,$0,$500,$0,"$6,350",Included in Medical,"$12,700",Included in Medical,$20,$50,$250,20%,20%,$20,$50,20%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,BERNALILLO,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-888-295-7651,1-888-295-7651,,http://www.molinahealthcare.com/providersearch,http://www.molinahealthcare.com/members/nm/en-us/hp/marketplace/plans/silver,http://www.molinahealthcare.com/members/nm/en-us/hp/marketplace/plans/silver,http://www.molinahealthcare.com/members/nm/en-us/hp/marketplace/plans/silver,,,,$105.50,$166.14,$174.11,$188.57,$212.32,$296.72,$450.90,$332.28,$377.14,$424.64,$593.44,$901.80,$437.78,$482.64,$530.14,$698.94,$543.28,$588.14,$635.64,$804.44,$648.78,$693.64,$741.14,$909.94,$271.64,$294.07,$317.82,$402.22,$377.14,$399.57,$423.32,$507.72,$482.64,$505.07,$528.81,$613.22,,"$1,700",$200,"$3,400",$400,"$6,350",Included in Medical,"$12,700",Included in Medical,$40,$65,$250,30%,30%,$20,$55,30%,30%,,"$1,500",$0,"$3,000",$0,"$5,200",Included in Medical,"$10,400",Included in Medical,$30,$60,$250,30%,30%,$20,$40,30%,30%,,$0,$0,$0,$0,"$2,250",Included in Medical,"$4,500",Included in Medical,$15,$40,$150,25%,25%,$10,$20,25%,25%,,$0,$0,$0,$0,"$2,250",Included in Medical,"$4,500",Included in Medical,No Charge,$10,$100,10%,10%,$3,$8,10%,10%
NM,BERNALILLO,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-888-295-7651,1-888-295-7651,,http://www.molinahealthcare.com/providersearch,http://www.molinahealthcare.com/members/nm/en-us/hp/marketplace/plans/bronze,http://www.molinahealthcare.com/members/nm/en-us/hp/marketplace/plans/bronze,http://www.molinahealthcare.com/members/nm/en-us/hp/marketplace/plans/bronze,,,,$92.81,$146.15,$153.16,$165.89,$186.79,$261.02,$396.66,$292.30,$331.78,$373.58,$522.05,$793.32,$385.11,$424.59,$466.39,$614.86,$477.92,$517.40,$559.20,$707.68,$570.73,$610.21,$652.01,$800.49,$238.96,$258.70,$279.60,$353.84,$331.77,$351.51,$372.40,$446.65,$424.58,$444.32,$465.22,$539.46,,"$4,000",$300,"$8,000",$600,"$6,350",Included in Medical,"$12,700",Included in Medical,$45,$75,$300,40%,40%,$25,$75,40%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,BERNALILLO,Gold,Presbyterian Health Plan,57173NM0120001,Individual Gold Plan A,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,https://presbyterianproviderfinder.ipf.vitals.com/search,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,$144.57,$227.67,$238.60,$258.41,$290.97,$406.62,$617.91,$455.34,$516.82,$581.94,$813.24,$1235.82,$599.91,$661.39,$726.51,$957.81,$744.48,$805.96,$871.08,$1102.38,$889.05,$950.53,$1015.65,$1246.95,$372.24,$402.98,$435.54,$551.19,$516.80,$547.54,$580.11,$695.76,$661.38,$692.12,$724.68,$840.32,,$0,Included in Medical,$0,Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,$15,$50,$250,30% Coinsurance after deductible,30% Coinsurance after deductible,$10,$50,30% Coinsurance after deductible,50% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,BERNALILLO,Gold,Presbyterian Health Plan,57173NM0120002,Individual Gold Plan B,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,https://presbyterianproviderfinder.ipf.vitals.com/search,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,$152.16,$239.63,$251.13,$271.97,$306.24,$427.97,$650.34,$479.26,$543.94,$612.48,$855.94,$1300.68,$631.41,$696.10,$764.64,$1008.10,$783.57,$848.26,$916.80,$1160.26,$935.74,$1000.42,$1068.96,$1312.42,$391.78,$424.13,$458.40,$580.13,$543.95,$576.29,$610.55,$732.29,$696.11,$728.45,$762.72,$884.45,,$250,Included in Medical,$500,Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,50% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,BERNALILLO,Gold,Presbyterian Health Plan,57173NM0120003,Individual Gold Plan C,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,https://presbyterianproviderfinder.ipf.vitals.com/search,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,$142.61,$224.59,$235.37,$254.91,$287.02,$401.12,$609.53,$449.18,$509.82,$574.04,$802.24,$1219.06,$591.79,$652.43,$716.65,$944.85,$734.40,$795.04,$859.26,$1087.46,$877.01,$937.65,$1001.87,$1230.07,$367.20,$397.52,$429.63,$543.73,$509.81,$540.13,$572.24,$686.34,$652.42,$682.74,$714.85,$828.95,,"$1,000",Included in Medical,"$2,000",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,No Charge,$25,$150,20% Coinsurance after deductible,20% Coinsurance after deductible,$5,$25,20% Coinsurance after deductible,50% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,BERNALILLO,Bronze,Presbyterian Health Plan,57173NM0140001,Individual Bronze Plan A,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,https://presbyterianproviderfinder.ipf.vitals.com/search,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,$98.67,$155.38,$162.84,$176.36,$198.58,$277.51,$421.70,$310.76,$352.72,$397.16,$555.02,$843.40,$409.43,$451.39,$495.83,$653.68,$508.10,$550.06,$594.50,$752.36,$606.77,$648.73,$693.17,$851.03,$254.05,$275.03,$297.25,$376.18,$352.72,$373.70,$395.92,$474.85,$451.39,$472.37,$494.59,$573.52,,"$2,500",Included in Medical,"$5,000",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,BERNALILLO,Silver,Presbyterian Health Plan,57173NM0130001,Individual Silver Plan A,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,https://presbyterianproviderfinder.ipf.vitals.com/search,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,$123.39,$194.32,$203.65,$220.56,$248.34,$347.06,$527.39,$388.64,$441.12,$496.68,$694.12,$1054.78,$512.03,$564.51,$620.07,$817.51,$635.41,$687.90,$743.46,$940.90,$758.81,$811.29,$866.85,$1064.29,$317.70,$343.95,$371.73,$470.45,$441.10,$467.34,$495.12,$593.84,$564.49,$590.73,$618.51,$717.23,,$250,Included in Medical,$500,Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,,$75,Included in Medical,$150,Included in Medical,"$5,200",Included in Medical,"$10,400",Included in Medical,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,,$50,Included in Medical,$100,Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,50% Coinsurance after deductible,,$50,Included in Medical,$100,Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,50% Coinsurance after deductible
NM,BERNALILLO,Silver,Presbyterian Health Plan,57173NM0130005,Individual Silver Plan B,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,https://presbyterianproviderfinder.ipf.vitals.com/search,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,$124.86,$196.64,$206.07,$223.18,$251.30,$351.19,$533.66,$393.28,$446.36,$502.60,$702.38,$1067.33,$518.14,$571.22,$627.46,$827.24,$643.00,$696.08,$752.32,$952.10,$767.85,$820.94,$877.18,$1076.96,$321.50,$348.04,$376.16,$476.05,$446.36,$472.90,$501.02,$600.91,$571.22,$597.76,$625.88,$725.77,,"$1,300",Included in Medical,"$2,600",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,50% Coinsurance after deductible,,"$1,300",Included in Medical,"$2,600",Included in Medical,"$5,200",Included in Medical,"$10,400",Included in Medical,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,50% Coinsurance after deductible,,$500,Included in Medical,"$1,000",Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,50% Coinsurance after deductible,,$50,Included in Medical,$100,Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,50% Coinsurance after deductible
NM,BERNALILLO,Silver,Presbyterian Health Plan,57173NM0130009,Individual Silver Plan C,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,https://presbyterianproviderfinder.ipf.vitals.com/search,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,$116.91,$184.10,$192.94,$208.96,$235.29,$328.81,$499.66,$368.20,$417.92,$470.58,$657.62,$999.32,$485.11,$534.83,$587.49,$774.53,$602.02,$651.74,$704.40,$891.44,$718.93,$768.65,$821.31,$1008.35,$301.01,$325.87,$352.20,$445.72,$417.91,$442.78,$469.11,$562.63,$534.83,$559.69,$586.02,$679.54,,"$2,500",Included in Medical,"$5,000",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,$10,$60,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,$10,$75,20% Coinsurance after deductible,50% Coinsurance after deductible,,"$2,500",Included in Medical,"$5,000",Included in Medical,"$5,200",Included in Medical,"$10,400",Included in Medical,$10,$50,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,$5,$75,20% Coinsurance after deductible,50% Coinsurance after deductible,,"$1,000",Included in Medical,"$2,000",Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,No Charge,$5,$100,20% Coinsurance after deductible,20% Coinsurance after deductible,No Charge,$5,20% Coinsurance after deductible,50% Coinsurance after deductible,,$0,Included in Medical,$0,Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,No Charge,No Charge,$25,20% Coinsurance after deductible,20% Coinsurance after deductible,No Charge,$5,20% Coinsurance after deductible,50% Coinsurance after deductible
