State,County,Metal Level,Issuer Name,Plan ID (standard component),Plan Marketing Name,Plan Type,Rating Area,Child Only Offering,Source,Customer Service Phone Number Local,Customer Service Phone Number Toll Free,Customer Service Phone Number TTY,Network URL,Plan Brochure URL,Summary of Benefits URL,Drug Formulary URL,Accredidation,Adult Dental,Child Dental,Premium Scenarios,Premium Child,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30 ,Premium Adult Individual Age 40 ,Premium Adult Individual Age 50 ,Premium Adult Individual Age 60 ,Premium Couple 21  ,Premium Couple 30 ,Premium Couple 40 ,Premium Couple 50 ,Premium Couple 60 ,"Couple+1 child, Age 21","Couple+1 child, Age 30 ","Couple+1 child, Age 40 ","Couple+1 child, Age 50 ","Couple+2 children, Age 21","Couple+2 children, Age 30 ","Couple+2 children, Age 40 ","Couple+2 children, Age 50","Couple+3 or more Children, Age 21","Couple+3 or more Children, Age 30","Couple+3 or more Children, Age 40","Couple+3 or more Children, Age 50","Individual+1 child, Age 21","Individual+1 child, Age 30","Individual+1 child, Age 40","Individual+1 child, Age 50","Individual+2 children, Age 21","Individual+2 children, Age 30","Individual+2 children, Age 40","Individual+2 children, Age 50","Individual+3 or more children, Age 21","Individual+3 or more children, Age 30","Individual+3 or more children, Age 40","Individual+3 or more children, Age 50",Standard Plan Cost Sharing,Medical Deductible-individual-standard,Drug Deductible-individual-standard,Medical Deductible-family-standard,Drug Deductible - family - standard,Medical Maximum Out Of Pocket - individual - standard,Drug Maximum Out of Pocket - individual - standard,Medical Maximum Out of Pocket - family - standard,Drug Maximum Out of Pocket - Family  - standard,Primary Care Physician  - standard,Specialist  - standard,Emergency Room  - standard,Inpatient Facility  - standard,Inpatient Physician - standard,Generic Drugs - standard,Preferred Brand Drugs - standard,Non-preferred Brand Drugs - standard,Specialty Drugs - standard,73 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - individual - 73 percent,Drug Deductible - individual - 73 percent,Medical Deductible - family - 73 percent,Drug Deductible - family - 73 percent,Medical Maximum Out Of Pocket - individual - 73 percent,Drug Maximum Out of Pocket - individual - 73 percent,Medical Maximum Out of Pocket - family - 73 percent,Drug Maximum Out of Pocket - Family - 73 percent,Primary Care Physician - 73 percent,Specialist - 73 percent,Emergency Room - 73 percent,Inpatient Facility - 73 percent,Inpatient Physician - 73 percent,Generic Drugs - 73 percent,Preferred Brand Drugs - 73 percent,Non-preferred Brand Drugs - 73 percent,Specialty Drugs - 73 percent,87 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - individual - 87 percent,Drug Deductible - individual - 87 percent,Medical Deductible - family - 87 percent,Drug Deductible - family - 87 percent,Medical Maximum Out Of Pocket - individual - 87 percent,Drug Maximum Out of Pocket - individual - 87 percent,Medical Maximum Out of Pocket - family - 87 percent,Drug Maximum Out of Pocket - Family - 87 percent,Primary Care Physician - 87 percent,Specialist - 87 percent,Emergency Room - 87 percent,Inpatient Facility - 87 percent,Inpatient Physician - 87 percent,Generic Drugs - 87 percent,Preferred Brand Drugs - 87 percent,Non-preferred Brand Drugs - 87 percent,Specialty Drugs - 87 percent,94 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - individual - 94 percent,Drug Deductible - individual - 94 percent,Medical Deductible - family - 94 percent,Drug Deductible - family - 94 percent,Medical Maximum Out Of Pocket -individual - 94 percent,Drug Maximum Out of Pocket - individual - 94 percent,Medical Maximum Out of Pocket - family - 94 percent,Drug Maximum Out of Pocket - Family  - 94 percent,Primary Care Physician - 94 percent,Specialist - 94 percent,Emergency Room - 94 percent,Inpatient Facility  - 94 percent,Inpatient Physician  - 94 percent,Generic Drugs - 94 percent,Preferred Brand Drugs - 94 percent,Non-preferred Brand Drugs - 94 percent,Specialty Drugs - 94 percent
NM,Bernalillo,Gold,"Molina Health Care of New Mexico, Inc.",19722NM0010001,Molina Marketplace Gold Plan,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-888-295-7651,1-888-295-7651,,https://providersearch.molinahealthcare.com/Provider/ProviderSearch?RedirectFrom=MolinaStaticWeb&State=nm&Coverage=MMP,http://www.molinahealthcare.com/marketplace/nm/2015/brochure,http://www.molinahealthcare.com/marketplace/nm/plans/gold/2015/SBC,http://www.molinahealthcare.com/members/nm/en-US/hp/marketplace/plans/gold/Pages/gold.aspx?year=2015,,,,,$108.63,$171.07,$179.28,$194.16,$218.63,$305.53,$464.28,$342.14,$388.32,$437.26,$611.06,$928.56,$450.77,$496.95,$545.89,$719.69,$559.40,$605.58,$654.52,$828.32,$668.03,$714.21,$763.15,$936.95,$279.70,$302.79,$327.26,$414.16,$388.33,$411.42,$435.89,$522.79,$496.96,$520.05,$544.52,$631.42,,$500,$0,"$1,000",$0,"$6,600",Included in Medical,"$13,200",Included in Medical,$15,$35,$250,20%,20%,$15,$35,20%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,Bernalillo,Silver,"Molina Health Care of New Mexico, Inc.",19722NM0010002,Molina Marketplace Silver Plan,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-888-295-7651,1-888-295-7651,,https://providersearch.molinahealthcare.com/Provider/ProviderSearch?RedirectFrom=MolinaStaticWeb&State=nm&Coverage=MMP,http://www.molinahealthcare.com/marketplace/nm/2015/brochure,http://www.molinahealthcare.com/marketplace/nm/plans/silver/2015/SBC,http://www.molinahealthcare.com/members/nm/en-US/hp/marketplace/plans/silver/Pages/silver.aspx?year=2015,,,,,$92.29,$145.35,$152.32,$164.97,$185.75,$259.58,$394.46,$290.70,$329.94,$371.50,$519.16,$788.92,$382.99,$422.23,$463.79,$611.45,$475.28,$514.52,$556.08,$703.74,$567.57,$606.81,$648.37,$796.03,$237.64,$257.26,$278.04,$351.87,$329.93,$349.55,$370.33,$444.16,$422.22,$441.84,$462.62,$536.45,,"$2,000",$200,"$4,000",$400,"$6,600",Included in Medical,"$13,200",Included in Medical,$25,$55,$250,30%,30%,$15,$50,30%,30%,,"$1,700",$0,"$3,400",$0,"$5,200",Included in Medical,"$10,400",Included in Medical,$25,$55,$250,30%,30%,$15,$50,30%,30%,,$250,$0,$500,$0,"$2,250",Included in Medical,"$4,500",Included in Medical,$10,$30,$150,20%,20%,$10,$20,20%,20%,,$0,$0,$0,$0,"$2,250",Included in Medical,"$4,500",Included in Medical,No Charge,$10,$100,10%,10%,$3,$8,10%,10%
NM,Bernalillo,Bronze,"Molina Health Care of New Mexico, Inc.",19722NM0010003,Molina Marketplace Bronze Plan,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-888-295-7651,1-888-295-7651,,https://providersearch.molinahealthcare.com/Provider/ProviderSearch?RedirectFrom=MolinaStaticWeb&State=nm&Coverage=MMP,http://www.molinahealthcare.com/marketplace/nm/2015/brochure,http://www.molinahealthcare.com/marketplace/nm/plans/bronze/2015/SBC,http://www.molinahealthcare.com/members/nm/en-us/hp/marketplace/plans/bronze/Pages/bronze.aspx?year=2015,,,,,$78.28,$123.28,$129.20,$139.92,$157.55,$220.17,$334.58,$246.56,$279.84,$315.10,$440.34,$669.16,$324.84,$358.12,$393.38,$518.62,$403.12,$436.40,$471.66,$596.90,$481.40,$514.68,$549.94,$675.18,$201.56,$218.20,$235.83,$298.45,$279.84,$296.48,$314.11,$376.73,$358.12,$374.76,$392.39,$455.01,,"$4,500",Included in Medical,"$9,000",Included in Medical,"$6,600",Included in Medical,"$13,200",Included in Medical,$25,$75,$300,40%,40%,$16,$65,40%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,Bernalillo,Gold,Presbyterian Health Plan,57173NM0120001,Individual HMO Gold A w/Gym Membership,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,http://www.phs.org/directory,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,,$144.90,$228.20,$239.15,$259.00,$291.63,$407.56,$619.32,$456.40,$518.00,$583.26,$815.12,$1238.64,$601.30,$662.90,$728.16,$960.02,$746.20,$807.80,$873.06,$1104.92,$891.10,$952.70,$1017.96,$1249.82,$373.10,$403.90,$436.53,$552.46,$518.00,$548.80,$581.43,$697.36,$662.90,$693.70,$726.33,$842.26,,$0,Included in Medical,$0,Included in Medical,"$6,350",Included in Medical,"$12,800",Included in Medical,$15,$50,$250,30% Coinsurance after deductible,30% Coinsurance after deductible,$10,$50,30% Coinsurance after deductible,50% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,Bernalillo,Gold,Presbyterian Health Plan,57173NM0120002,Individual HMO Gold B w/Gym Membership,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,http://www.phs.org/directory,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,,$148.95,$234.57,$245.83,$266.23,$299.78,$418.93,$636.61,$469.14,$532.46,$599.56,$837.86,$1273.22,$618.09,$681.41,$748.51,$986.81,$767.04,$830.36,$897.46,$1135.76,$915.99,$979.31,$1046.41,$1284.71,$383.52,$415.18,$448.73,$567.88,$532.47,$564.13,$597.68,$716.83,$681.42,$713.08,$746.63,$865.78,,$250,Included in Medical,$500,Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,$10,$50,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,50% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,Bernalillo,Gold,Presbyterian Health Plan,57173NM0120003,Individual HMO Gold C w/Gym Membership,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,http://www.phs.org/directory,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,,$141.85,$223.39,$234.11,$253.55,$285.49,$398.97,$606.28,$446.78,$507.10,$570.98,$797.94,$1212.56,$588.63,$648.95,$712.83,$939.79,$730.48,$790.80,$854.68,$1081.64,$872.33,$932.65,$996.53,$1223.49,$365.24,$395.40,$427.34,$540.82,$507.09,$537.25,$569.19,$682.67,$648.94,$679.10,$711.04,$824.52,,"$1,000",Included in Medical,"$2,000",Included in Medical,"$6,350",Included in Medical,"$12,800",Included in Medical,No Charge,$25,$150,20% Coinsurance after deductible,20% Coinsurance after deductible,$5,$25,20% Coinsurance after deductible,50% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,Bernalillo,Platinum,Presbyterian Health Plan,57173NM0200001,Individual HMO Platinum w/Gym Membership,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,http://www.phs.org/directory,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,,$170.44,$268.41,$281.30,$304.65,$343.03,$479.39,$728.47,$536.82,$609.30,$686.06,$958.78,$1456.94,$707.26,$779.74,$856.50,$1129.22,$877.70,$950.18,$1026.94,$1299.66,$1048.14,$1120.62,$1197.38,$1470.10,$438.85,$475.09,$513.47,$649.83,$609.29,$645.53,$683.91,$820.27,$779.73,$815.97,$854.35,$990.71,,$100,Included in Medical,$200,Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,$5,$20,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,$5,$20,$50,50% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,Bernalillo,Silver,Presbyterian Health Plan,57173NM0130001,Individual HMO Silver A w/Gym Membership,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,http://www.phs.org/directory,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,,$120.75,$190.15,$199.28,$215.82,$243.02,$339.61,$516.08,$380.30,$431.64,$486.04,$679.22,$1032.16,$501.05,$552.39,$606.79,$799.97,$621.80,$673.14,$727.54,$920.72,$742.55,$793.89,$848.29,$1041.47,$310.90,$336.57,$363.77,$460.36,$431.65,$457.32,$484.52,$581.11,$552.40,$578.07,$605.27,$701.86,,$250,Included in Medical,$500,Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,$10,$50,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,,$75,Included in Medical,$150,Included in Medical,"$4,600",Included in Medical,"$9,200",Included in Medical,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,,$50,Included in Medical,$100,Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,50% Coinsurance after deductible,,$50,Included in Medical,$100,Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,50% Coinsurance after deductible
NM,Bernalillo,Silver,Presbyterian Health Plan,57173NM0130005,Individual HMO Silver B w/Gym Membership,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,http://www.phs.org/directory,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,https://www.phs.org/insurance-plans/our-plans/individual-and-family/Pages/individual-and-family.aspx,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,,$122.96,$193.63,$202.93,$219.77,$247.46,$345.83,$525.52,$387.26,$439.54,$494.92,$691.66,$1051.04,$510.22,$562.50,$617.88,$814.62,$633.18,$685.46,$740.84,$937.58,$756.14,$808.42,$863.80,$1060.54,$316.59,$342.73,$370.42,$468.79,$439.55,$465.69,$493.38,$591.75,$562.51,$588.65,$616.34,$714.71,,"$1,300",Included in Medical,"$2,600",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,25% Coinsurance after deductible,50% Coinsurance after deductible,,"$1,300",Included in Medical,"$2,600",Included in Medical,"$5,200",Included in Medical,"$10,400",Included in Medical,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,50% Coinsurance after deductible,,$500,Included in Medical,"$1,000",Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,50% Coinsurance after deductible,,$50,Included in Medical,$100,Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,5% Coinsurance after deductible,50% Coinsurance after deductible
NM,Bernalillo,Silver,Presbyterian Health Plan,57173NM0130009,Individual HMO Silver C w/Gym Membership,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-505-923-8200,1-866-869-7737,,http://www.phs.org/directory,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,https://www.phs.org/health-plans/member-information/Pages/forms-and-documents.aspx?plantype=Individual+%,http://docs.phs.org/idc/groups/public/documents/communication/pel_00170261.pdf,,,,,$116.87,$184.05,$192.88,$208.90,$235.21,$328.71,$499.51,$368.10,$417.80,$470.42,$657.42,$999.02,$484.97,$534.67,$587.29,$774.29,$601.84,$651.54,$704.16,$891.16,$718.71,$768.41,$821.03,$1008.03,$300.92,$325.77,$352.08,$445.58,$417.79,$442.64,$468.95,$562.45,$534.66,$559.51,$585.82,$679.32,,"$2,500",Included in Medical,"$5,000",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,$10,$60,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,$10,$75,20% Coinsurance after deductible,50% Coinsurance after deductible,,"$2,500",Included in Medical,"$5,000",Included in Medical,"$5,200",Included in Medical,"$10,400",Included in Medical,$10,$50,20% Coinsurance after deductible,20% Coinsurance after deductible,20% Coinsurance after deductible,$5,$75,20% Coinsurance after deductible,50% Coinsurance after deductible,,"$1,000",Included in Medical,"$2,000",Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,No Charge,$5,$100,20% Coinsurance after deductible,20% Coinsurance after deductible,No Charge,$5,20% Coinsurance after deductible,50% Coinsurance after deductible,,$0,Included in Medical,$0,Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,No Charge,No Charge,$25,20% Coinsurance after deductible,20% Coinsurance after deductible,No Charge,$5,20% Coinsurance after deductible,50% Coinsurance after deductible
