State,County,Metal Level,Issuer Name,Plan ID (standard component),Plan Marketing Name,Plan Type,Rating Area,Child Only Offering,Source,Customer Service Phone Number Local,Customer Service Phone Number Toll Free,Customer Service Phone Number TTY,Network URL,Plan Brochure URL,Summary of Benefits URL,Drug Formulary URL,Accredidation,Adult Dental,Child Dental,Premium Scenarios,Premium Child,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30 ,Premium Adult Individual Age 40 ,Premium Adult Individual Age 50 ,Premium Adult Individual Age 60 ,Premium Couple 21  ,Premium Couple 30 ,Premium Couple 40 ,Premium Couple 50 ,Premium Couple 60 ,"Couple+1 child, Age 21","Couple+1 child, Age 30 ","Couple+1 child, Age 40 ","Couple+1 child, Age 50 ","Couple+2 children, Age 21","Couple+2 children, Age 30 ","Couple+2 children, Age 40 ","Couple+2 children, Age 50","Couple+3 or more Children, Age 21","Couple+3 or more Children, Age 30","Couple+3 or more Children, Age 40","Couple+3 or more Children, Age 50","Individual+1 child, Age 21","Individual+1 child, Age 30","Individual+1 child, Age 40","Individual+1 child, Age 50","Individual+2 children, Age 21","Individual+2 children, Age 30","Individual+2 children, Age 40","Individual+2 children, Age 50","Individual+3 or more children, Age 21","Individual+3 or more children, Age 30","Individual+3 or more children, Age 40","Individual+3 or more children, Age 50",Standard Plan Cost Sharing,Medical Deductible-individual-standard,Drug Deductible-individual-standard,Medical Deductible-family-standard,Drug Deductible - family - standard,Medical Maximum Out Of Pocket - individual - standard,Drug Maximum Out of Pocket - individual - standard,Medical Maximum Out of Pocket - family - standard,Drug Maximum Out of Pocket - Family  - standard,Primary Care Physician  - standard,Specialist  - standard,Emergency Room  - standard,Inpatient Facility  - standard,Inpatient Physician - standard,Generic Drugs - standard,Preferred Brand Drugs - standard,Non-preferred Brand Drugs - standard,Specialty Drugs - standard,73 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - individual - 73 percent,Drug Deductible - individual - 73 percent,Medical Deductible - family - 73 percent,Drug Deductible - family - 73 percent,Medical Maximum Out Of Pocket - individual - 73 percent,Drug Maximum Out of Pocket - individual - 73 percent,Medical Maximum Out of Pocket - family - 73 percent,Drug Maximum Out of Pocket - Family - 73 percent,Primary Care Physician - 73 percent,Specialist - 73 percent,Emergency Room - 73 percent,Inpatient Facility - 73 percent,Inpatient Physician - 73 percent,Generic Drugs - 73 percent,Preferred Brand Drugs - 73 percent,Non-preferred Brand Drugs - 73 percent,Specialty Drugs - 73 percent,87 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - individual - 87 percent,Drug Deductible - individual - 87 percent,Medical Deductible - family - 87 percent,Drug Deductible - family - 87 percent,Medical Maximum Out Of Pocket - individual - 87 percent,Drug Maximum Out of Pocket - individual - 87 percent,Medical Maximum Out of Pocket - family - 87 percent,Drug Maximum Out of Pocket - Family - 87 percent,Primary Care Physician - 87 percent,Specialist - 87 percent,Emergency Room - 87 percent,Inpatient Facility - 87 percent,Inpatient Physician - 87 percent,Generic Drugs - 87 percent,Preferred Brand Drugs - 87 percent,Non-preferred Brand Drugs - 87 percent,Specialty Drugs - 87 percent,94 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - individual - 94 percent,Drug Deductible - individual - 94 percent,Medical Deductible - family - 94 percent,Drug Deductible - family - 94 percent,Medical Maximum Out Of Pocket -individual - 94 percent,Drug Maximum Out of Pocket - individual - 94 percent,Medical Maximum Out of Pocket - family - 94 percent,Drug Maximum Out of Pocket - Family  - 94 percent,Primary Care Physician - 94 percent,Specialist - 94 percent,Emergency Room - 94 percent,Inpatient Facility  - 94 percent,Inpatient Physician  - 94 percent,Generic Drugs - 94 percent,Preferred Brand Drugs - 94 percent,Non-preferred Brand Drugs - 94 percent,Specialty Drugs - 94 percent
NV,Carson City,Bronze,Prominence HealthFirst,16698NV0450001,Prominence Health Plan Bronze 1 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-6060,,,http://prominencehealthplan.com/members/member-service-and-support/provider-directories/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,,$166.80,$262.68,$275.29,$298.14,$335.71,$469.15,$712.91,$525.36,$596.28,$671.42,$938.30,$1425.82,$692.16,$763.08,$838.22,$1105.10,$858.96,$929.88,$1005.02,$1271.90,$1025.76,$1096.68,$1171.82,$1438.70,$429.48,$464.94,$502.51,$635.95,$596.28,$631.74,$669.31,$802.75,$763.08,$798.54,$836.11,$969.55,,"$5,500",Included in Medical,"$11,000",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,$40,$90,$400,$1000 Copay per Day,No Charge,$20,$75,$150,20% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Carson City,Bronze,Prominence HealthFirst,16698NV0450002,Prominence Health Plan Bronze 2 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-6060,,,http://prominencehealthplan.com/members/member-service-and-support/provider-directories/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,,$165.73,$260.99,$273.52,$296.22,$333.55,$466.13,$708.33,$521.98,$592.44,$667.10,$932.26,$1416.66,$687.71,$758.17,$832.83,$1097.99,$853.44,$923.90,$998.56,$1263.72,$1019.17,$1089.63,$1164.29,$1429.45,$426.72,$461.95,$499.28,$631.86,$592.45,$627.68,$665.01,$797.59,$758.18,$793.41,$830.74,$963.32,,"$5,500",Included in Medical,"$11,000",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,$50,$100,$400,$600 Copay per Day,No Charge,$20,$80,$150,20% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Carson City,Bronze,Prominence HealthFirst,16698NV0450003,Prominence Health Plan Bronze 3 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-6060,,,http://prominencehealthplan.com/members/member-service-and-support/provider-directories/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,,$167.07,$263.10,$275.73,$298.62,$336.24,$469.90,$714.05,$526.20,$597.24,$672.48,$939.80,$1428.10,$693.27,$764.31,$839.55,$1106.87,$860.34,$931.38,$1006.62,$1273.94,$1027.41,$1098.45,$1173.69,$1441.01,$430.17,$465.69,$503.31,$636.97,$597.24,$632.76,$670.38,$804.04,$764.31,$799.83,$837.45,$971.11,,"$5,500",Included in Medical,"$11,000",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,$40,$100,$400,$600 Copay per Day,No Charge,$15,$75,$150,20% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Carson City,Silver,Prominence HealthFirst,16698NV0450004,Prominence Health Plan Silver 10 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-6060,,,http://prominencehealthplan.com/members/member-service-and-support/provider-directories/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,,$191.67,$301.85,$316.34,$342.60,$385.76,$539.10,$819.22,$603.70,$685.20,$771.52,$1078.20,$1638.44,$795.37,$876.87,$963.19,$1269.87,$987.04,$1068.54,$1154.86,$1461.54,$1178.71,$1260.21,$1346.53,$1653.21,$493.52,$534.27,$577.43,$730.77,$685.19,$725.94,$769.10,$922.44,$876.86,$917.61,$960.77,$1114.11,,"$3,000",$250,"$9,000",$750,"$6,200",Included in Medical,"$12,400",Included in Medical,$45,$90,$400,$600 Copay per Day,No Charge,$15,$55,$100,20% Coinsurance after deductible,,"$3,000",$0,"$9,000",$0,"$5,000",Included in Medical,"$10,000",Included in Medical,$30,$50,$400,$600 Copay per Day,No Charge,$15,$55,$100,20%,,$300,$0,$900,$0,"$2,000",Included in Medical,"$4,000",Included in Medical,$20,$40,$200,$600 Copay per Stay,No Charge,$10,$30,$60,20%,,$125,$0,$375,$0,$750,Included in Medical,"$1,500",Included in Medical,$15,$30,$150,$250 Copay per Stay,No Charge,$5,$15,$40,20%
NV,Carson City,Silver,Prominence HealthFirst,16698NV0450005,Prominence Health Plan Silver 30 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-6060,,,http://prominencehealthplan.com/members/member-service-and-support/provider-directories/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,,$199.07,$313.50,$328.55,$355.82,$400.65,$559.91,$850.84,$627.00,$711.64,$801.30,$1119.82,$1701.68,$826.07,$910.71,$1000.37,$1318.89,$1025.14,$1109.78,$1199.44,$1517.96,$1224.21,$1308.85,$1398.51,$1717.03,$512.57,$554.89,$599.72,$758.98,$711.64,$753.96,$798.79,$958.05,$910.71,$953.03,$997.86,$1157.12,,"$2,000",$250,"$6,000",$750,"$6,350",Included in Medical,"$12,700",Included in Medical,$40,$65,$500,$500 Copay per Day,No Charge,$15,$50,$70,20% Coinsurance after deductible,,"$1,500",$250,"$4,500",$750,"$5,200",Included in Medical,"$10,400",Included in Medical,$40,$65,$450,$500 Copay per Day,No Charge,$15,$50,$70,20% Coinsurance after deductible,,$500,$0,"$1,500",$0,"$1,500",Included in Medical,"$3,000",Included in Medical,$25,$50,$350,$500 Copay per Stay,No Charge,$10,$40,$60,20%,,$100,$0,$300,$0,$750,Included in Medical,"$1,500",Included in Medical,$10,$25,$250,$100 Copay per Stay,No Charge,No Charge,$25,$50,20%
NV,Carson City,Silver,Prominence HealthFirst,16698NV0450006,Prominence Health Plan Silver 20 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-6060,,,http://prominencehealthplan.com/members/member-service-and-support/provider-directories/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,,$195.92,$308.53,$323.34,$350.18,$394.30,$551.03,$837.35,$617.06,$700.36,$788.60,$1102.06,$1674.70,$812.98,$896.28,$984.52,$1297.98,$1008.90,$1092.20,$1180.44,$1493.90,$1204.82,$1288.12,$1376.36,$1689.82,$504.45,$546.10,$590.22,$746.95,$700.37,$742.02,$786.14,$942.87,$896.29,$937.94,$982.06,$1138.79,,"$2,000",$250,"$6,000",$750,"$6,350",Included in Medical,"$12,700",Included in Medical,$45,$70,$350,$600 Copay per Day,No Charge,$15,$50,$75,20% Coinsurance after deductible,,"$2,000",$250,"$6,000",$750,"$5,100",Included in Medical,"$10,200",Included in Medical,$40,$70,$300,$600 Copay per Day,No Charge,$15,$40,$60,20% Coinsurance after deductible,,$300,$0,$900,$0,"$2,000",Included in Medical,"$4,000",Included in Medical,$20,$40,$150,$500 Copay per Stay,No Charge,$10,$30,$50,20%,,$100,$0,$300,$0,$750,Included in Medical,"$1,500",Included in Medical,$15,$30,$150,$200 Copay per Day,No Charge,$3,$20,$50,20%
NV,Carson City,Gold,Prominence HealthFirst,16698NV0450007,Prominence Health Plan Gold 1 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-6060,,,http://prominencehealthplan.com/members/member-service-and-support/provider-directories/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,,$244.26,$384.66,$403.12,$436.59,$491.60,$687.00,$1043.97,$769.32,$873.18,$983.20,$1374.00,$2087.94,$1013.58,$1117.44,$1227.46,$1618.26,$1257.84,$1361.70,$1471.72,$1862.52,$1502.10,$1605.96,$1715.98,$2106.78,$628.92,$680.85,$735.86,$931.26,$873.18,$925.11,$980.12,$1175.52,$1117.44,$1169.37,$1224.38,$1419.78,,$500,$0,"$1,500",$0,"$6,350",Included in Medical,"$12,700",Included in Medical,$25,$50,$350,$500 Copay per Day,No Charge,$10,$30,$50,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Carson City,Bronze,Prominence HealthFirst,16698NV0450008,Prominence Health Plan HSA 1 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-6060,,,http://prominencehealthplan.com/members/member-service-and-support/provider-directories/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,,$163.96,$258.20,$270.59,$293.06,$329.98,$461.15,$700.75,$516.40,$586.12,$659.96,$922.30,$1401.50,$680.36,$750.08,$823.92,$1086.26,$844.32,$914.04,$987.88,$1250.22,$1008.28,$1078.00,$1151.84,$1414.18,$422.16,$457.02,$493.94,$625.11,$586.12,$620.98,$657.90,$789.07,$750.08,$784.94,$821.86,$953.03,,"$5,000",Included in Medical,"$10,000",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,20% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Carson City,Bronze,Prominence HealthFirst,16698NV0450009,Prominence Health Plan Bronze 3 ChoicePlus,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-6060,,,http://prominencehealthplan.com/members/member-service-and-support/provider-directories/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,,$175.42,$276.25,$289.51,$313.54,$353.05,$493.38,$749.74,$552.50,$627.08,$706.10,$986.76,$1499.48,$727.92,$802.50,$881.52,$1162.18,$903.34,$977.92,$1056.94,$1337.60,$1078.76,$1153.34,$1232.36,$1513.02,$451.67,$488.96,$528.47,$668.80,$627.09,$664.38,$703.89,$844.22,$802.51,$839.80,$879.31,$1019.64,,"$5,500",Included in Medical,"$11,000",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,$40,$100,$400,$600 Copay per Day,No Charge,$15,$75,$150,20% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Carson City,Silver,Prominence HealthFirst,16698NV0450010,Prominence Health Plan Silver 20 ChoicePlus,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-6060,,,http://prominencehealthplan.com/members/member-service-and-support/provider-directories/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,,$205.71,$323.96,$339.51,$367.69,$414.02,$578.59,$879.23,$647.92,$735.38,$828.04,$1157.18,$1758.46,$853.63,$941.09,$1033.75,$1362.89,$1059.34,$1146.80,$1239.46,$1568.60,$1265.05,$1352.51,$1445.17,$1774.31,$529.67,$573.40,$619.73,$784.30,$735.38,$779.11,$825.44,$990.01,$941.09,$984.82,$1031.15,$1195.72,,"$2,000",$250,"$6,000",$750,"$6,350",Included in Medical,"$12,700",Included in Medical,$45,$70,$350,$600 Copay per Day,No Charge,$15,$50,$75,20% Coinsurance after deductible,,"$2,000",$250,"$6,000",$750,"$5,100",Included in Medical,"$10,200",Included in Medical,$40,$70,$300,$600 Copay per Day,No Charge,$15,$40,$60,20% Coinsurance after deductible,,$300,$0,$900,$0,"$2,000",Included in Medical,"$4,000",Included in Medical,$20,$40,$150,$500 Copay per Stay,No Charge,$10,$30,$50,20%,,$100,$0,$300,$0,$750,Included in Medical,"$1,500",Included in Medical,$15,$30,$150,$200 Copay per Stay,No Charge,$3,$20,$50,20%
