State Code,County Name,Metal Level,Issuer Name,Plan ID (Standard Component),Plan Marketing Name,Plan Type,Rating Area,Child Only Offering,Source,Customer Service Phone Number Local,Customer Service Phone Number Toll Free,Customer Service Phone Number TTY,Network URL,Plan Brochure URL,Summary of Benefits URL,Drug Formulary URL,Accredidation,Adult Dental ,Child Dental ,EHB Percent of Total Premium,Premium Scenarios,Premium Child,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30 ,Premium Adult Individual Age 40 ,Premium Adult Individual Age 50 ,Premium Adult Individual Age 60 ,Premium Couple 21  ,Premium Couple 30 ,Premium Couple 40 ,Premium Couple 50 ,Premium Couple 60 ,"Couple+1 child, Age 21","Couple+1 child, Age 30 ","Couple+1 child, Age 40 ","Couple+1 child, Age 50 ","Couple+2 children, Age 21","Couple+2 children, Age 30 ","Couple+2 children, Age 40 ","Couple+2 children, Age 50","Couple+3 or more Children, Age 21","Couple+3 or more Children, Age 30","Couple+3 or more Children, Age 40","Couple+3 or more Children, Age 50","Individual+1 child, Age 21","Individual+1 child, Age 30","Individual+1 child, Age 40","Individual+1 child, Age 50","Individual+2 children, Age 21","Individual+2 children, Age 30","Individual+2 children, Age 40","Individual+2 children, Age 50","Individual+3 or more children, Age 21","Individual+3 or more children, Age 30","Individual+3 or more children, Age 40","Individual+3 or more children, Age 50",Standard Plan Cost Sharing,Medical Deductible - Individual - Standard,Drug Deductible - Individual - Standard,Medical Deductible - Family - Standard,Drug Deductible - Family - Standard,Medical Deductible - Family (Per Person) - Standard,Drug Deductible - Family (Per Person) - Standard,Medical Maximum Out Of Pocket - Individual - Standard,Drug Maximum Out Of Pocket - Individual - Standard,Medical Maximum Out Of Pocket - Family - Standard,Drug Maximum Out Of Pocket - Family - Standard,Medical Maximum Out Of Pocket - Family (Per Person) - Standard,Drug Maximum Out Of Pocket - Family (Per Person) - Standard,Primary Care Physician - Standard,Specialist - Standard,Emergency Room - Standard,Inpatient Facility - Standard,Inpatient Physician - Standard,Generic Drugs - Standard,Preferred Brand Drugs - Standard,Non-preferred Brand Drugs - Standard,Specialty Drugs - Standard,73 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 73 Percent,Drug Deductible - Individual - 73 Percent,Medical Deductible - Family - 73 Percent,Drug Deductible - Family - 73 Percent,Medical Deductible - Family (Per Person) - 73 Percent,Drug Deductible - Family (Per Person) - 73 Percent,Medical Maximum Out Of Pocket - Individual - 73 Percent,Drug Maximum Out Of Pocket - Individual - 73 Percent,Medical Maximum Out Of Pocket - Family - 73 Percent,Drug Maximum Out Of Pocket - Family - 73 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 73 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 73 Percent,Primary Care Physician - 73 Percent,Specialist - 73 Percent,Emergency Room - 73 Percent,Inpatient Facility - 73 Percent,Inpatient Physician - 73 Percent,Generic Drugs - 73 Percent,Preferred Brand Drugs - 73 Percent,Non-preferred Brand Drugs - 73 Percent,Specialty Drugs - 73 Percent,87 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 87 Percent,Drug Deductible - Individual - 87 Percent,Medical Deductible - Family - 87 Percent,Drug Deductible - Family - 87 Percent,Medical Deductible - Family (Per Person) - 87 Percent,Drug Deductible - Family (Per Person) - 87 Percent,Medical Maximum Out Of Pocket - Individual - 87 Percent,Drug Maximum Out Of Pocket - Individual - 87 Percent,Medical Maximum Out Of Pocket - Family - 87 Percent,Drug Maximum Out Of Pocket - Family - 87 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 87 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 87 Percent,Primary Care Physician - 87 Percent,Specialist - 87 Percent,Emergency Room - 87 Percent,Inpatient Facility - 87 Percent,Inpatient Physician - 87 Percent,Generic Drugs - 87 Percent,Preferred Brand Drugs - 87 Percent,Non-preferred Brand Drugs - 87 Percent,Specialty Drugs - 87 Percent,94 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 94 Percent,Drug Deductible - Individual - 94 Percent,Medical Deductible - Family - 94 Percent,Drug Deductible - Family - 94 Percent,Medical Deductible - Family (Per Person) - 94 Percent,Drug Deductible - Family (Per Person) - 94 Percent,Medical Maximum Out Of Pocket -individual - 94 Percent,Drug Maximum Out Of Pocket - individual - 94 Percent,Medical Maximum Out Of Pocket - family - 94 Percent,Drug Maximum Out Of Pocket - Family  - 94 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 94 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 94 Percent,Primary Care Physician - 94 Percent,Specialist - 94 Percent,Emergency Room - 94 Percent,Inpatient Facility - 94 Percent,Inpatient Physician - 94 Percent,Generic Drugs - 94 Percent,Preferred Brand Drugs - 94 Percent,Non-preferred Brand Drugs - 94 Percent,Specialty Drugs - 94 Percent
HI,Hawaii,Platinum,Hawaii Medical Service Association,18350HI0880001,HMSA Platinum PPO,PPO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-808-948-5555,1-800-620-4672,,http://www.hmsa.com/search/providers,,http://www.hmsa.com/sbc/2016/platinum-ppo.pdf,https://hmsa.com,,,,97.4%,,$216.81,$341.43,$357.82,$387.52,$436.35,$609.80,$926.65,$682.86,$775.04,$872.70,$1219.60,$1853.30,$899.67,$991.85,$1089.51,$1436.41,$1116.48,$1208.66,$1306.32,$1653.22,$1333.29,$1425.47,$1523.13,$1870.03,$558.24,$604.33,$653.16,$826.61,$775.05,$821.14,$869.97,$1043.42,$991.86,$1037.95,$1086.78,$1260.23,,$0,Included in Medical,$0,Included in Medical,$0,Included in Medical,"$6,000",Included in Medical,"$12,000",Included in Medical,"$6,000",Included in Medical,$20,$20,20%,20%,10%,$7,$30,$75,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Hawaii,Catastrophic,Hawaii Medical Service Association,18350HI0880003,HMSA Catastrophic Plan,PPO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-808-948-5555,1-800-620-4672,,http://www.hmsa.com/search/providers,,http://www.hmsa.com/sbc/2016/catastrophic-plan.pdf,https://hmsa.com,,,,99.3%,,$97.75,$153.93,$161.32,$174.72,$196.73,$274.93,$417.78,$307.86,$349.44,$393.46,$549.86,$835.56,$405.61,$447.19,$491.21,$647.61,$503.36,$544.94,$588.96,$745.36,$601.11,$642.69,$686.71,$843.11,$251.68,$272.47,$294.48,$372.68,$349.43,$370.22,$392.23,$470.43,$447.18,$467.97,$489.98,$568.18,,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,$50,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Hawaii,Gold,Hawaii Medical Service Association,18350HI0880007,HMSA Gold PPO,PPO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-808-948-5555,1-800-620-4672,,http://www.hmsa.com/search/providers,,http://www.hmsa.com/sbc/2016/gold-ppo.pdf,https://hmsa.com,,,,98.8%,,$183.26,$288.59,$302.45,$327.55,$368.82,$515.43,$783.24,$577.18,$655.10,$737.64,$1030.86,$1566.48,$760.44,$838.36,$920.90,$1214.12,$943.70,$1021.62,$1104.16,$1397.38,$1126.96,$1204.88,$1287.42,$1580.64,$471.85,$510.81,$552.08,$698.69,$655.11,$694.07,$735.34,$881.95,$838.37,$877.33,$918.60,$1065.21,,$0,Included in Medical,$0,Included in Medical,$0,Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,$30,$30,20%,30%,30%,$7,$30,$75,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Hawaii,Gold,Hawaii Medical Service Association,18350HI0880013,HMSA Gold PPO 1000,PPO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-808-948-5555,1-800-620-4672,,http://www.hmsa.com/search/providers,,http://www.hmsa.com/sbc/2016/gold-ppo-1000.pdf,https://hmsa.com,,,,98.8%,,$168.69,$265.65,$278.40,$301.51,$339.50,$474.45,$720.97,$531.30,$603.02,$679.00,$948.90,$1441.94,$699.99,$771.71,$847.69,$1117.59,$868.68,$940.40,$1016.38,$1286.28,$1037.37,$1109.09,$1185.07,$1454.97,$434.34,$470.20,$508.19,$643.14,$603.03,$638.89,$676.88,$811.83,$771.72,$807.58,$845.57,$980.52,,"$1,000",Included in Medical,"$2,000",Included in Medical,"$1,000",Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,$20,$20,20%,20% Coinsurance after deductible,20% Coinsurance after deductible,$7,$30 Copay after deductible,$75 Copay after deductible,$100 Copay after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Hawaii,Silver,Hawaii Medical Service Association,18350HI0880017,HMSA Silver PPO 1500,PPO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-808-948-5555,1-800-620-4672,,http://www.hmsa.com/search/providers,,http://www.hmsa.com/sbc/2016/silver-ppo-1500.pdf,https://hmsa.com,,,,98.8%,,$138.99,$218.88,$229.38,$248.43,$279.73,$390.92,$594.03,$437.76,$496.86,$559.46,$781.84,$1188.06,$576.75,$635.85,$698.45,$920.83,$715.74,$774.84,$837.44,$1059.82,$854.73,$913.83,$976.43,$1198.81,$357.87,$387.42,$418.72,$529.91,$496.86,$526.41,$557.71,$668.90,$635.85,$665.40,$696.70,$807.89,,"$1,500",Included in Medical,"$3,000",Included in Medical,"$1,500",Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,$40,$40,20%,30% Coinsurance after deductible,30% Coinsurance after deductible,$10,$50 Copay after deductible,$100 Copay after deductible,$150 Copay after deductible,,"$1,500",Included in Medical,"$3,000",Included in Medical,"$1,500",Included in Medical,$5200.00,Included in Medical,"$10,400",Included in Medical,"$5,200",Included in Medical,$40,$40,20%,30% Coinsurance after deductible,30% Coinsurance after deductible,$10,$50 Copay after deductible,$100 Copay after deductible,$150 Copay after deductible,,$500,Included in Medical,"$1,000",Included in Medical,$500,Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,"$2,250",Included in Medical,$10,$10,20%,20% Coinsurance after deductible,20% Coinsurance after deductible,$7,$30,$75,$100 Copay after deductible,,$0,Included in Medical,$0,Included in Medical,$0,Included in Medical,"$1,000",Included in Medical,"$2,000",Included in Medical,"$1,000",Included in Medical,$10,$10,20%,10%,10%,$7,$30,$75,$100
HI,Hawaii,Silver,Hawaii Medical Service Association,18350HI0880029,HMSA Silver PPO 2500,PPO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-808-948-5555,1-800-620-4672,,http://www.hmsa.com/search/providers,,http://www.hmsa.com/sbc/2016/silver-ppo-2500.pdf,https://hmsa.com,,,,98.8%,,$136.81,$215.45,$225.79,$244.53,$275.34,$384.79,$584.72,$430.90,$489.06,$550.68,$769.58,$1169.44,$567.71,$625.87,$687.49,$906.39,$704.52,$762.68,$824.30,$1043.20,$841.33,$899.49,$961.11,$1180.01,$352.26,$381.34,$412.15,$521.60,$489.07,$518.15,$548.96,$658.41,$625.88,$654.96,$685.77,$795.22,,"$2,500",Included in Medical,"$5,000",Included in Medical,"$2,500",Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,$30,$30,20%,20% Coinsurance after deductible,20% Coinsurance after deductible,$10,$50 Copay after deductible,$100 Copay after deductible,$150 Copay after deductible,,"$2,395",Included in Medical,"$4,790",Included in Medical,"$2,395",Included in Medical,$5200.00,Included in Medical,"$10,400",Included in Medical,"$5,200",Included in Medical,$30,$30,20%,20% Coinsurance after deductible,20% Coinsurance after deductible,$10,$50 Copay after deductible,$100 Copay after deductible,$150 Copay after deductible,,$500,Included in Medical,"$1,000",Included in Medical,$500,Included in Medical,"$2,250",Included in Medical,"$4,500",Included in Medical,"$2,250",Included in Medical,$10,$10,20%,20% Coinsurance after deductible,20% Coinsurance after deductible,$7,$30,$75,$100 Copay after deductible,,$0,Included in Medical,$0,Included in Medical,$0,Included in Medical,"$1,000",Included in Medical,"$2,000",Included in Medical,"$1,000",Included in Medical,$10,$10,20%,10%,10%,$7,$30,$75,$100
HI,Maui,Platinum,Hawaii Medical Service Association,18350HI0890003,HMSA Platinum HMO,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-808-948-5555,1-800-620-4672,,http://www.hmsa.com/search/providers,,http://www.hmsa.com/sbc/2016/platinum-hmo.pdf,https://hmsa.com,,,,97.4%,,$211.00,$332.29,$348.24,$377.15,$424.67,$593.47,$901.83,$664.58,$754.30,$849.34,$1186.94,$1803.66,$875.58,$965.30,$1060.34,$1397.94,$1086.58,$1176.30,$1271.34,$1608.94,$1297.58,$1387.30,$1482.34,$1819.94,$543.29,$588.15,$635.67,$804.47,$754.29,$799.15,$846.67,$1015.47,$965.29,$1010.15,$1057.67,$1226.47,,$0,Included in Medical,$0,Included in Medical,$0,Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,$10,$20,$250,$300 Copay per Day,10%,$7,$30,$75,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Hawaii,Bronze,Hawaii Medical Service Association,18350HI0880033,HMSA Bronze PPO 6850,PPO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-808-948-5555,1-800-620-4672,,http://www.hmsa.com/search/providers,,http://www.hmsa.com/sbc/2016/bronze-ppo-6850.pdf,https://hmsa.com,,,,98.8%,,$106.22,$167.28,$175.31,$189.87,$213.79,$298.77,$454.01,$334.56,$379.74,$427.58,$597.54,$908.02,$440.78,$485.96,$533.80,$703.76,$547.00,$592.18,$640.02,$809.98,$653.22,$698.40,$746.24,$916.20,$273.50,$296.09,$320.01,$404.99,$379.72,$402.31,$426.23,$511.21,$485.94,$508.53,$532.45,$617.43,,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,$10,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Hawaii,Platinum,Hawaii Medical Service Association,18350HI0890003,HMSA Platinum HMO,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-808-948-5555,1-800-620-4672,,http://www.hmsa.com/search/providers,,http://www.hmsa.com/sbc/2016/platinum-hmo.pdf,https://hmsa.com,,,,97.4%,,$211.00,$332.29,$348.24,$377.15,$424.67,$593.47,$901.83,$664.58,$754.30,$849.34,$1186.94,$1803.66,$875.58,$965.30,$1060.34,$1397.94,$1086.58,$1176.30,$1271.34,$1608.94,$1297.58,$1387.30,$1482.34,$1819.94,$543.29,$588.15,$635.67,$804.47,$754.29,$799.15,$846.67,$1015.47,$965.29,$1010.15,$1057.67,$1226.47,,$0,Included in Medical,$0,Included in Medical,$0,Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,$10,$20,$250,$300 Copay per Day,10%,$7,$30,$75,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Hawaii,Gold,Hawaii Medical Service Association,18350HI0890004,HMSA Gold HMO,HMO,Rating Area 1,Allows Adult and Child-Only,SERFF,1-808-948-5555,1-800-620-4672,,http://www.hmsa.com/search/providers,,http://www.hmsa.com/sbc/2016/gold-hmo.pdf,https://hmsa.com,,,,98.8%,,$164.79,$259.51,$271.97,$294.55,$331.66,$463.49,$704.32,$519.02,$589.10,$663.32,$926.98,$1408.64,$683.81,$753.89,$828.11,$1091.77,$848.60,$918.68,$992.90,$1256.56,$1013.39,$1083.47,$1157.69,$1421.35,$424.30,$459.34,$496.45,$628.28,$589.09,$624.13,$661.24,$793.07,$753.88,$788.92,$826.03,$957.86,,"$1,000",Included in Medical,"$2,000",Included in Medical,"$1,000",Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,$15,$30,$250,$300 Copay per Day after deductible,20% Coinsurance after deductible,$7,$30,$75 Copay after deductible,$100 Copay after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
