State Code,County Name,Metal Level,Issuer Name,Plan ID (Standard Component),Plan Marketing Name,Plan Type,Rating Area,Child Only Offering,Source,Customer Service Phone Number Local,Customer Service Phone Number Toll Free,Customer Service Phone Number TTY,Network URL,Plan Brochure URL,Summary of Benefits URL,Drug Formulary URL,Accredidation,Adult Dental ,Child Dental ,EHB Percent of Total Premium,Premium Scenarios,Premium Child,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30 ,Premium Adult Individual Age 40 ,Premium Adult Individual Age 50 ,Premium Adult Individual Age 60 ,Premium Couple 21  ,Premium Couple 30 ,Premium Couple 40 ,Premium Couple 50 ,Premium Couple 60 ,"Couple+1 child, Age 21","Couple+1 child, Age 30 ","Couple+1 child, Age 40 ","Couple+1 child, Age 50 ","Couple+2 children, Age 21","Couple+2 children, Age 30 ","Couple+2 children, Age 40 ","Couple+2 children, Age 50","Couple+3 or more Children, Age 21","Couple+3 or more Children, Age 30","Couple+3 or more Children, Age 40","Couple+3 or more Children, Age 50","Individual+1 child, Age 21","Individual+1 child, Age 30","Individual+1 child, Age 40","Individual+1 child, Age 50","Individual+2 children, Age 21","Individual+2 children, Age 30","Individual+2 children, Age 40","Individual+2 children, Age 50","Individual+3 or more children, Age 21","Individual+3 or more children, Age 30","Individual+3 or more children, Age 40","Individual+3 or more children, Age 50",Standard Plan Cost Sharing,Medical Deductible - Individual - Standard,Drug Deductible - Individual - Standard,Medical Deductible - Family - Standard,Drug Deductible - Family - Standard,Medical Deductible - Family (Per Person) - Standard,Drug Deductible - Family (Per Person) - Standard,Medical Maximum Out Of Pocket - Individual - Standard,Drug Maximum Out Of Pocket - Individual - Standard,Medical Maximum Out Of Pocket - Family - Standard,Drug Maximum Out Of Pocket - Family - Standard,Medical Maximum Out Of Pocket - Family (Per Person) - Standard,Drug Maximum Out Of Pocket - Family (Per Person) - Standard,Primary Care Physician - Standard,Specialist - Standard,Emergency Room - Standard,Inpatient Facility - Standard,Inpatient Physician - Standard,Generic Drugs - Standard,Preferred Brand Drugs - Standard,Non-preferred Brand Drugs - Standard,Specialty Drugs - Standard,73 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 73 Percent,Drug Deductible - Individual - 73 Percent,Medical Deductible - Family - 73 Percent,Drug Deductible - Family - 73 Percent,Medical Deductible - Family (Per Person) - 73 Percent,Drug Deductible - Family (Per Person) - 73 Percent,Medical Maximum Out Of Pocket - Individual - 73 Percent,Drug Maximum Out Of Pocket - Individual - 73 Percent,Medical Maximum Out Of Pocket - Family - 73 Percent,Drug Maximum Out Of Pocket - Family - 73 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 73 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 73 Percent,Primary Care Physician - 73 Percent,Specialist - 73 Percent,Emergency Room - 73 Percent,Inpatient Facility - 73 Percent,Inpatient Physician - 73 Percent,Generic Drugs - 73 Percent,Preferred Brand Drugs - 73 Percent,Non-preferred Brand Drugs - 73 Percent,Specialty Drugs - 73 Percent,87 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 87 Percent,Drug Deductible - Individual - 87 Percent,Medical Deductible - Family - 87 Percent,Drug Deductible - Family - 87 Percent,Medical Deductible - Family (Per Person) - 87 Percent,Drug Deductible - Family (Per Person) - 87 Percent,Medical Maximum Out Of Pocket - Individual - 87 Percent,Drug Maximum Out Of Pocket - Individual - 87 Percent,Medical Maximum Out Of Pocket - Family - 87 Percent,Drug Maximum Out Of Pocket - Family - 87 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 87 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 87 Percent,Primary Care Physician - 87 Percent,Specialist - 87 Percent,Emergency Room - 87 Percent,Inpatient Facility - 87 Percent,Inpatient Physician - 87 Percent,Generic Drugs - 87 Percent,Preferred Brand Drugs - 87 Percent,Non-preferred Brand Drugs - 87 Percent,Specialty Drugs - 87 Percent,94 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 94 Percent,Drug Deductible - Individual - 94 Percent,Medical Deductible - Family - 94 Percent,Drug Deductible - Family - 94 Percent,Medical Deductible - Family (Per Person) - 94 Percent,Drug Deductible - Family (Per Person) - 94 Percent,Medical Maximum Out Of Pocket -individual - 94 Percent,Drug Maximum Out Of Pocket - individual - 94 Percent,Medical Maximum Out Of Pocket - family - 94 Percent,Drug Maximum Out Of Pocket - Family  - 94 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 94 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 94 Percent,Primary Care Physician - 94 Percent,Specialist - 94 Percent,Emergency Room - 94 Percent,Inpatient Facility - 94 Percent,Inpatient Physician - 94 Percent,Generic Drugs - 94 Percent,Preferred Brand Drugs - 94 Percent,Non-preferred Brand Drugs - 94 Percent,Specialty Drugs - 94 Percent
NV,Carson City,Silver,Prominence HealthFirst,16698NV0450004,Prominence Health Plan Silver 10 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-9314,,,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,100%,,$199.88,$314.78,$329.88,$357.26,$402.28,$562.18,$854.29,$629.56,$714.52,$804.56,$1124.36,$1708.58,$829.44,$914.40,$1004.44,$1324.24,$1029.32,$1114.28,$1204.32,$1524.12,$1229.20,$1314.16,$1404.20,$1724.00,$514.66,$557.14,$602.16,$762.06,$714.54,$757.02,$802.04,$961.94,$914.42,$956.90,$1001.92,$1161.82,,"$3,000",$250,"$9,000",$750,"$3,000",$250,"$6,200",Included in Medical,"$12,400",Included in Medical,"$6,200",Included in Medical,$45,$90,$400,$600 Copay per Day,No Charge,$15,$55,$100,20% Coinsurance after deductible,,"$3,000",$0,"$9,000",$0,"$3,000",$0,"$5,000",Included in Medical,"$10,000",Included in Medical,"$5,000",Included in Medical,$30,$50,$400,$600 Copay per Day,No Charge,$15,$55,$100,20%,,$300,$0,$900,$0,$300,$0,"$2,000",Included in Medical,"$4,000",Included in Medical,"$2,000",Included in Medical,$20,$40,$200,$600 Copay per Stay,No Charge,$10,$30,$50,20%,,$125,$0,$375,$0,$125,$0,$750,Included in Medical,"$1,500",Included in Medical,$750,Included in Medical,$15,$30,$150,$250 Copay per Stay,No Charge,$5,$15,$40,20%
NV,Carson City,Silver,Prominence HealthFirst,16698NV0450005,Prominence Health Plan Silver 30 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-9314,,,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,100%,,$205.04,$322.91,$338.40,$366.49,$412.67,$576.70,$876.35,$645.82,$732.98,$825.34,$1153.40,$1752.70,$850.86,$938.02,$1030.38,$1358.44,$1055.90,$1143.06,$1235.42,$1563.48,$1260.94,$1348.10,$1440.46,$1768.52,$527.95,$571.53,$617.71,$781.74,$732.99,$776.57,$822.75,$986.78,$938.03,$981.61,$1027.79,$1191.82,,"$2,000",$250,"$6,000",$750,"$2,000",$250,"$6,450",Included in Medical,"$12,900",Included in Medical,"$6,450",Included in Medical,$40,$65,$550,$500 Copay per Day,No Charge,$20,$50,$70,20% Coinsurance after deductible,,"$1,500",$250,"$4,500",$750,"$1,500",$250,"$5,400",Included in Medical,"$10,800",Included in Medical,"$5,400",Included in Medical,$40,$65,$450,$500 Copay per Day,No Charge,$20,$50,$70,20% Coinsurance after deductible,,$500,$0,"$1,500",$0,$500,$0,"$1,500",Included in Medical,"$3,000",Included in Medical,"$1,500",Included in Medical,$25,$50,$350,$500 Copay per Stay,No Charge,$10,$40,$60,20%,,$100,$0,$300,$0,$100,$0,$750,Included in Medical,"$1,500",Included in Medical,$750,Included in Medical,$10,$25,$250,$100 Copay per Stay,No Charge,No Charge,$25,$50,20%
NV,Carson City,Silver,Prominence HealthFirst,16698NV0450006,Prominence Health Plan Silver 20 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-9314,,,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,100%,,$205.76,$324.04,$339.58,$367.77,$414.11,$578.71,$879.41,$648.08,$735.54,$828.22,$1157.42,$1758.82,$853.84,$941.30,$1033.98,$1363.18,$1059.60,$1147.06,$1239.74,$1568.94,$1265.36,$1352.82,$1445.50,$1774.70,$529.80,$573.53,$619.87,$784.47,$735.56,$779.29,$825.63,$990.23,$941.32,$985.05,$1031.39,$1195.99,,"$2,000",$250,"$6,000",$750,"$2,000",$250,"$6,350",Included in Medical,"$12,700",Included in Medical,"$6,350",Included in Medical,$45,$70,$350,$600 Copay per Day,No Charge,$15,$50,$75,20% Coinsurance after deductible,,"$2,000",$250,"$6,000",$750,"$2,000",$250,"$5,100",Included in Medical,"$10,200",Included in Medical,"$5,100",Included in Medical,$40,$70,$300,$600 Copay per Day,No Charge,$10,$40,$60,20% Coinsurance after deductible,,$300,$0,$900,$0,$300,$0,"$2,000",Included in Medical,"$4,000",Included in Medical,"$2,000",Included in Medical,$20,$40,$150,$500 Copay per Stay,No Charge,$10,$30,$50,20%,,$100,$0,$300,$0,$100,$0,$750,Included in Medical,"$1,500",Included in Medical,$750,Included in Medical,$15,$30,$150,$200 Copay per Stay,No Charge,$3,$20,$50,20%
NV,Carson City,Gold,Prominence HealthFirst,16698NV0450007,Prominence Health Plan Gold 1 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-9314,,,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,100%,,$244.76,$385.46,$403.95,$437.48,$492.60,$688.41,$1046.10,$770.92,$874.96,$985.20,$1376.82,$2092.20,$1015.68,$1119.72,$1229.96,$1621.58,$1260.44,$1364.48,$1474.72,$1866.34,$1505.20,$1609.24,$1719.48,$2111.10,$630.22,$682.24,$737.36,$933.17,$874.98,$927.00,$982.12,$1177.93,$1119.74,$1171.76,$1226.88,$1422.69,,$500,$0,"$1,500",$0,$500,$0,"$6,350",Included in Medical,"$12,700",Included in Medical,"$6,350",Included in Medical,$35,$50,$400,$500 Copay per Day,No Charge,$25,$50,$75,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Carson City,Bronze,Prominence HealthFirst,16698NV0450008,Prominence Health Plan HSA 1 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-9314,,,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,100%,,$149.98,$236.20,$247.53,$268.08,$301.85,$421.84,$641.02,$472.40,$536.16,$603.70,$843.68,$1282.04,$622.38,$686.14,$753.68,$993.66,$772.36,$836.12,$903.66,$1143.64,$922.34,$986.10,$1053.64,$1293.62,$386.18,$418.06,$451.83,$571.82,$536.16,$568.04,$601.81,$721.80,$686.14,$718.02,$751.79,$871.78,,"$5,700",Included in Medical,"$11,400",Included in Medical,"$5,700",Included in Medical,"$6,550",Included in Medical,"$13,100",Included in Medical,"$6,550",Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,$15 Copay after deductible,$40 Copay after deductible,$60 Copay after deductible,20% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Carson City,Silver,Prominence HealthFirst,16698NV0450010,Prominence Health Plan Silver 20 ChoicePlus,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-9314,,,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,100%,,$216.51,$340.97,$357.33,$386.99,$435.75,$608.96,$925.38,$681.94,$773.98,$871.50,$1217.92,$1850.76,$898.45,$990.49,$1088.01,$1434.43,$1114.96,$1207.00,$1304.52,$1650.94,$1331.47,$1423.51,$1521.03,$1867.45,$557.48,$603.50,$652.26,$825.47,$773.99,$820.01,$868.77,$1041.98,$990.50,$1036.52,$1085.28,$1258.49,,"$2,000",$250,"$6,000",$750,"$2,000",$250,"$6,350",Included in Medical,"$12,700",Included in Medical,"$6,350",Included in Medical,$45,$70,$350,$600 Copay per Day,No Charge,$15,$50,$75,20% Coinsurance after deductible,,"$2,000",$250,"$6,000",$750,"$2,000",$250,"$5,100",Included in Medical,"$10,200",Included in Medical,"$5,100",Included in Medical,$40,$70,$300,$600 Copay per Day,No Charge,$10,$40,$60,20% Coinsurance after deductible,,$300,$0,$900,$0,$300,$0,"$2,000",Included in Medical,"$4,000",Included in Medical,"$2,000",Included in Medical,$20,$40,$150,$500 Copay per Stay,No Charge,$10,$30,$50,20%,,$100,$0,$300,$0,$100,$0,$750,Included in Medical,"$1,500",Included in Medical,$750,Included in Medical,$15,$30,$150,$200 Copay per Stay,No Charge,$3,$20,$50,20%
NV,Carson City,Gold,Prominence HealthFirst,16698NV0450011,Prominence Health Plan Gold 1 ChoicePlus,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-9314,,,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,100%,,$257.66,$405.78,$425.25,$460.55,$518.57,$724.70,$1101.26,$811.56,$921.10,$1037.14,$1449.40,$2202.52,$1069.22,$1178.76,$1294.80,$1707.06,$1326.88,$1436.42,$1552.46,$1964.72,$1584.54,$1694.08,$1810.12,$2222.38,$663.44,$718.21,$776.23,$982.36,$921.10,$975.87,$1033.89,$1240.02,$1178.76,$1233.53,$1291.55,$1497.68,,$500,$0,"$1,500",$0,$500,$0,"$6,350",Included in Medical,"$12,700",Included in Medical,"$6,350",Included in Medical,$35,$50,$400,$500 Copay per Day,No Charge,$25,$50,$75,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Carson City,Silver,Prominence HealthFirst,16698NV0450013,Prominence Health Plan Silver 50 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-9314,,,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,100%,,$189.13,$297.85,$312.13,$338.04,$380.63,$531.93,$808.32,$595.70,$676.08,$761.26,$1063.86,$1616.64,$784.83,$865.21,$950.39,$1252.99,$973.96,$1054.34,$1139.52,$1442.12,$1163.09,$1243.47,$1328.65,$1631.25,$486.98,$527.17,$569.76,$721.06,$676.11,$716.30,$758.89,$910.19,$865.24,$905.43,$948.02,$1099.32,,"$5,000",Included in Medical,"$10,000",Included in Medical,"$5,000",Included in Medical,"$6,000",Included in Medical,"$12,000",Included in Medical,"$6,000",Included in Medical,$40,$100,$400,30% Coinsurance after deductible,No Charge,$15,$75,$150,20% Coinsurance after deductible,,"$4,000",Included in Medical,"$8,000",Included in Medical,"$4,000",Included in Medical,"$5,400",Included in Medical,"$10,800",Included in Medical,"$5,400",Included in Medical,$30,$75,$350,15% Coinsurance after deductible,No Charge,$15,$50,$100,20% Coinsurance after deductible,,"$1,000",Included in Medical,"$2,000",Included in Medical,"$1,000",Included in Medical,"$2,000",Included in Medical,"$4,000",Included in Medical,"$2,000",Included in Medical,$20,$40,$200,10% Coinsurance after deductible,No Charge,$5,$20,$50,20% Coinsurance after deductible,,$350,Included in Medical,$700,Included in Medical,$350,Included in Medical,$700,Included in Medical,"$1,400",Included in Medical,$700,Included in Medical,$10,$20,$100,5% Coinsurance after deductible,No Charge,$2,$15,$25,20% Coinsurance after deductible
NV,Carson City,Bronze,Prominence HealthFirst,16698NV0450014,Prominence Health Plan Bronze 4 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-9314,,,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,100%,,$143.39,$225.81,$236.64,$256.29,$288.58,$403.29,$612.83,$451.62,$512.58,$577.16,$806.58,$1225.66,$595.01,$655.97,$720.55,$949.97,$738.40,$799.36,$863.94,$1093.36,$881.79,$942.75,$1007.33,$1236.75,$369.20,$399.68,$431.97,$546.68,$512.59,$543.07,$575.36,$690.07,$655.98,$686.46,$718.75,$833.46,,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Carson City,Bronze,Prominence HealthFirst,16698NV0450015,Prominence Health Plan Bronze 5 Premier,HMO,Rating Area 3,Allows Adult and Child-Only,SERFF,1-775-770-9314,,,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/individual-and-family-plans/nevada-health-link-individual-and-family-plans/,http://prominencehealthplan.com/members/products-and-services/pharmacy-services/,,,,100%,,$176.94,$278.65,$292.02,$316.26,$356.10,$497.65,$756.23,$557.30,$632.52,$712.20,$995.30,$1512.46,$734.24,$809.46,$889.14,$1172.24,$911.18,$986.40,$1066.08,$1349.18,$1088.12,$1163.34,$1243.02,$1526.12,$455.59,$493.20,$533.04,$674.59,$632.53,$670.14,$709.98,$851.53,$809.47,$847.08,$886.92,$1028.47,,"$6,350",$500,"$12,700","$1,000","$6,350",$500,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,$40,No Charge after Deductible,No Charge after Deductible,$3000 Copay per Stay,No Charge,$15,$75,50% Coinsurance after deductible,50% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
