State Code,County Name,Metal Level,Issuer Name,Plan ID (Standard Component),Plan Marketing Name,Plan Type,Rating Area,Child Only Offering,Source,Customer Service Phone Number Local,Customer Service Phone Number Toll Free,Customer Service Phone Number TTY,Network URL,Plan Brochure URL,Summary of Benefits URL,Drug Formulary URL,Accredidation,Adult Dental ,Child Dental ,EHB Percent of Total Premium,Premium Scenarios,Premium Child,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30 ,Premium Adult Individual Age 40 ,Premium Adult Individual Age 50 ,Premium Adult Individual Age 60 ,Premium Couple 21  ,Premium Couple 30 ,Premium Couple 40 ,Premium Couple 50 ,Premium Couple 60 ,"Couple+1 child, Age 21","Couple+1 child, Age 30 ","Couple+1 child, Age 40 ","Couple+1 child, Age 50 ","Couple+2 children, Age 21","Couple+2 children, Age 30 ","Couple+2 children, Age 40 ","Couple+2 children, Age 50","Couple+3 or more Children, Age 21","Couple+3 or more Children, Age 30","Couple+3 or more Children, Age 40","Couple+3 or more Children, Age 50","Individual+1 child, Age 21","Individual+1 child, Age 30","Individual+1 child, Age 40","Individual+1 child, Age 50","Individual+2 children, Age 21","Individual+2 children, Age 30","Individual+2 children, Age 40","Individual+2 children, Age 50","Individual+3 or more children, Age 21","Individual+3 or more children, Age 30","Individual+3 or more children, Age 40","Individual+3 or more children, Age 50",Standard Plan Cost Sharing,Medical Deductible - Individual - Standard,Drug Deductible - Individual - Standard,Medical Deductible - Family - Standard,Drug Deductible - Family - Standard,Medical Deductible - Family (Per Person) - Standard,Drug Deductible - Family (Per Person) - Standard,Medical Maximum Out Of Pocket - Individual - Standard,Drug Maximum Out Of Pocket - Individual - Standard,Medical Maximum Out Of Pocket - Family - Standard,Drug Maximum Out Of Pocket - Family - Standard,Medical Maximum Out Of Pocket - Family (Per Person) - Standard,Drug Maximum Out Of Pocket - Family (Per Person) - Standard,Primary Care Physician - Standard,Specialist - Standard,Emergency Room - Standard,Inpatient Facility - Standard,Inpatient Physician - Standard,Generic Drugs - Standard,Preferred Brand Drugs - Standard,Non-preferred Brand Drugs - Standard,Specialty Drugs - Standard,73 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 73 Percent,Drug Deductible - Individual - 73 Percent,Medical Deductible - Family - 73 Percent,Drug Deductible - Family - 73 Percent,Medical Deductible - Family (Per Person) - 73 Percent,Drug Deductible - Family (Per Person) - 73 Percent,Medical Maximum Out Of Pocket - Individual - 73 Percent,Drug Maximum Out Of Pocket - Individual - 73 Percent,Medical Maximum Out Of Pocket - Family - 73 Percent,Drug Maximum Out Of Pocket - Family - 73 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 73 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 73 Percent,Primary Care Physician - 73 Percent,Specialist - 73 Percent,Emergency Room - 73 Percent,Inpatient Facility - 73 Percent,Inpatient Physician - 73 Percent,Generic Drugs - 73 Percent,Preferred Brand Drugs - 73 Percent,Non-preferred Brand Drugs - 73 Percent,Specialty Drugs - 73 Percent,87 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 87 Percent,Drug Deductible - Individual - 87 Percent,Medical Deductible - Family - 87 Percent,Drug Deductible - Family - 87 Percent,Medical Deductible - Family (Per Person) - 87 Percent,Drug Deductible - Family (Per Person) - 87 Percent,Medical Maximum Out Of Pocket - Individual - 87 Percent,Drug Maximum Out Of Pocket - Individual - 87 Percent,Medical Maximum Out Of Pocket - Family - 87 Percent,Drug Maximum Out Of Pocket - Family - 87 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 87 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 87 Percent,Primary Care Physician - 87 Percent,Specialist - 87 Percent,Emergency Room - 87 Percent,Inpatient Facility - 87 Percent,Inpatient Physician - 87 Percent,Generic Drugs - 87 Percent,Preferred Brand Drugs - 87 Percent,Non-preferred Brand Drugs - 87 Percent,Specialty Drugs - 87 Percent,94 Percent Actuarial Value Silver Plan Cost Sharing,Medical Deductible - Individual - 94 Percent,Drug Deductible - Individual - 94 Percent,Medical Deductible - Family - 94 Percent,Drug Deductible - Family - 94 Percent,Medical Deductible - Family (Per Person) - 94 Percent,Drug Deductible - Family (Per Person) - 94 Percent,Medical Maximum Out Of Pocket -individual - 94 Percent,Drug Maximum Out Of Pocket - individual - 94 Percent,Medical Maximum Out Of Pocket - family - 94 Percent,Drug Maximum Out Of Pocket - Family  - 94 Percent,Medical Maximum Out Of Pocket - Family (Per Person) - 94 Percent,Drug Maximum Out Of Pocket - Family (Per Person) - 94 Percent,Primary Care Physician - 94 Percent,Specialist - 94 Percent,Emergency Room - 94 Percent,Inpatient Facility - 94 Percent,Inpatient Physician - 94 Percent,Generic Drugs - 94 Percent,Preferred Brand Drugs - 94 Percent,Non-preferred Brand Drugs - 94 Percent,Specialty Drugs - 94 Percent
OR,Baker,Bronze,PacificSource Health Plans,10091OR0360004,PacificSource Oregon Standard Bronze Plan PSN,PPO,Rating Area 6,Allows Adult and Child-Only,SERFF,1-541-686-1242,1-800-624-6052,,http://providerdirectory.pacificsource.com/?nPlan=PSN,http://www.PacificSource.com/oregon/individual-brochure-2016,http://www.PacificSource.com/oregon/ind-psn-sb,http://www.pacificsource.com/drug-list/,,,,99.9%,,$163.00,$257.00,$270.00,$292.00,$329.00,$460.00,$699.00,$514.00,$584.00,$658.00,$920.00,$1398.00,$677.00,$747.00,$821.00,$1083.00,$840.00,$910.00,$984.00,$1246.00,$1003.00,$1073.00,$1147.00,$1409.00,$420.00,$455.00,$492.00,$623.00,$583.00,$618.00,$655.00,$786.00,$746.00,$781.00,$818.00,$949.00,,"$5,000",Included in Medical,"$10,000",Included in Medical,"$5,000",Included in Medical,"$6,350",Included in Medical,"$12,700",Included in Medical,"$6,350",Included in Medical,$60 Copay after deductible,$100 Copay after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,$20 Copay after deductible,$80 Copay after deductible,50% Coinsurance after deductible,50% Coinsurance after deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,Baker,Silver,PacificSource Health Plans,10091OR0360005,PacificSource Oregon Standard Silver Plan PSN,PPO,Rating Area 6,Allows Adult and Child-Only,SERFF,1-541-686-1242,1-800-624-6052,,http://providerdirectory.pacificsource.com/?nPlan=PSN,http://www.PacificSource.com/oregon/individual-brochure-2016,http://www.PacificSource.com/oregon/ind-psn-ss,http://www.pacificsource.com/drug-list/,,,,99.9%,,$205.00,$323.00,$339.00,$367.00,$413.00,$577.00,$877.00,$646.00,$734.00,$826.00,$1154.00,$1754.00,$851.00,$939.00,$1031.00,$1359.00,$1056.00,$1144.00,$1236.00,$1564.00,$1261.00,$1349.00,$1441.00,$1769.00,$528.00,$572.00,$618.00,$782.00,$733.00,$777.00,$823.00,$987.00,$938.00,$982.00,$1028.00,$1192.00,,"$2,500",$0,"$5,000",$0,"$2,500",$0,"$6,350",Included in Medical,"$12,700",Included in Medical,"$6,350",Included in Medical,$35,$70,30% Coinsurance after deductible,30% Coinsurance after deductible,30% Coinsurance after deductible,$15,$50,50%,50%,,"$2,500",$0,"$5,000",$0,"$2,500",$0,"$4,300",Included in Medical,$8600.00,Included in Medical,$4300.00,Included in Medical,$35,$70,30% Coinsurance after deductible,30% Coinsurance after deductible,30% Coinsurance after deductible,$15,$50,50%,50%,,$850,$0,"$1,700",$0,$850,$0,"$1,500",Included in Medical,"$3,000",Included in Medical,"$1,500",Included in Medical,$15,$30,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,$10,$25,50%,50%,,$100,$0,$200,$0,$100,$0,$750,Included in Medical,"$1,500",Included in Medical,$750,Included in Medical,$10,$20,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,$5,$10,25%,25%
OR,Baker,Gold,PacificSource Health Plans,10091OR0360009,PacificSource Oregon Standard Gold Plan PSN,PPO,Rating Area 6,Allows Adult and Child-Only,SERFF,1-541-686-1242,1-800-624-6052,,http://providerdirectory.pacificsource.com/?nPlan=PSN,http://www.PacificSource.com/oregon/individual-brochure-2016,http://www.PacificSource.com/oregon/ind-psn-sg,http://www.pacificsource.com/drug-list/,,,,99.9%,,$250.00,$394.00,$413.00,$447.00,$503.00,$703.00,$1069.00,$788.00,$894.00,$1006.00,$1406.00,$2138.00,$1038.00,$1144.00,$1256.00,$1656.00,$1288.00,$1394.00,$1506.00,$1906.00,$1538.00,$1644.00,$1756.00,$2156.00,$644.00,$697.00,$753.00,$953.00,$894.00,$947.00,$1003.00,$1203.00,$1144.00,$1197.00,$1253.00,$1453.00,,"$1,250",$0,"$2,500",$0,"$1,250",$0,"$6,350",Included in Medical,"$12,700",Included in Medical,"$6,350",Included in Medical,$20,$40,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,$10,$30,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,Baker,Catastrophic,PacificSource Health Plans,10091OR0370003,PSN Catastrophic,PPO,Rating Area 6,Allows Adult and Child-Only,SERFF,1-541-686-1242,1-800-624-6052,,http://providerdirectory.pacificsource.com/?nPlan=PSN,http://www.PacificSource.com/oregon/individual-brochure-2016,http://www.PacificSource.com/oregon/catastrophic,http://www.pacificsource.com/drug-list/,,,,99.9%,,$142.00,$223.00,$234.00,$253.00,$285.00,$398.00,$605.00,$446.00,$506.00,$570.00,$796.00,$1210.00,$588.00,$648.00,$712.00,$938.00,$730.00,$790.00,$854.00,$1080.00,$872.00,$932.00,$996.00,$1222.00,$365.00,$395.00,$427.00,$540.00,$507.00,$537.00,$569.00,$682.00,$649.00,$679.00,$711.00,$824.00,,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,Baker,Bronze,PacificSource Health Plans,10091OR0380003,PSN Value Bronze 6450,PPO,Rating Area 6,Allows Adult and Child-Only,SERFF,1-541-686-1242,1-800-624-6052,,http://providerdirectory.pacificsource.com/?nPlan=PSN,http://www.PacificSource.com/oregon/individual-brochure-2016,http://www.PacificSource.com/oregon/ind-psn-vb-6450,http://www.pacificsource.com/drug-list/,,,,99.9%,,$158.00,$249.00,$261.00,$283.00,$318.00,$445.00,$676.00,$498.00,$566.00,$636.00,$890.00,$1352.00,$656.00,$724.00,$794.00,$1048.00,$814.00,$882.00,$952.00,$1206.00,$972.00,$1040.00,$1110.00,$1364.00,$407.00,$441.00,$476.00,$603.00,$565.00,$599.00,$634.00,$761.00,$723.00,$757.00,$792.00,$919.00,,"$6,450",Included in Medical,"$12,900",Included in Medical,"$6,450",Included in Medical,"$6,450",Included in Medical,"$12,900",Included in Medical,"$6,450",Included in Medical,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,Baker,Bronze,PacificSource Health Plans,10091OR0390003,PSN Balance Bronze 6850,PPO,Rating Area 6,Allows Adult and Child-Only,SERFF,1-541-686-1242,1-800-624-6052,,http://providerdirectory.pacificsource.com/?nPlan=PSN,http://www.PacificSource.com/oregon/individual-brochure-2016,http://www.PacificSource.com/oregon/ind-psn-bb-6850,http://www.pacificsource.com/drug-list/,,,,99.9%,,$162.00,$255.00,$267.00,$290.00,$326.00,$456.00,$692.00,$510.00,$580.00,$652.00,$912.00,$1384.00,$672.00,$742.00,$814.00,$1074.00,$834.00,$904.00,$976.00,$1236.00,$996.00,$1066.00,$1138.00,$1398.00,$417.00,$452.00,$488.00,$618.00,$579.00,$614.00,$650.00,$780.00,$741.00,$776.00,$812.00,$942.00,,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,$20 Copay before deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,No Charge after Deductible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,Baker,Gold,"Moda Health Plan, Inc.",39424OR1240001,Moda Health Oregon Standard Gold (Beacon),PPO,Rating Area 6,Allows Adult and Child-Only,SERFF,1-877-605-3229,1-877-605-3229,1-877-605-3229,https://www.modahealth.com/eenroll/find-provider?type=medical,https://www.modahealth.com/pdfs/plans/individual/Moda_Beacon_OregonStandardGold_2016_OR.pdf,https://www.modahealth.com/pdfs/plans/individual/Moda_Beacon_OregonStandardGold_SBC_2016_OR.pdf,https://www.modahealth.com/medical/formularies.shtml,,,,99.8%,,$188.00,$296.00,$310.00,$336.00,$378.00,$528.00,$803.00,$592.00,$672.00,$756.00,$1056.00,$1606.00,$780.00,$860.00,$944.00,$1244.00,$968.00,$1048.00,$1132.00,$1432.00,$1156.00,$1236.00,$1320.00,$1620.00,$484.00,$524.00,$566.00,$716.00,$672.00,$712.00,$754.00,$904.00,$860.00,$900.00,$942.00,$1092.00,,"$1,250",$0,"$2,500",$0,"$1,250",Not Applicable,"$6,350",Included in Medical,"$12,700",Included in Medical,"$6,350",Included in Medical,$20,$40,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,$10,$30,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,Baker,Silver,"Moda Health Plan, Inc.",39424OR1240002,Moda Health Oregon Standard Silver (Beacon),PPO,Rating Area 6,Allows Adult and Child-Only,SERFF,1-877-605-3229,1-877-605-3229,1-877-605-3229,https://www.modahealth.com/eenroll/find-provider?type=medical,https://www.modahealth.com/pdfs/plans/individual/Moda_Beacon_OregonStandardSilver_2016_OR.pdf,https://www.modahealth.com/pdfs/plans/individual/Moda_Beacon_OregonStandardSilver_SBC_2016_OR.pdf,https://www.modahealth.com/medical/formularies.shtml,,,,99.7%,,$157.00,$247.00,$259.00,$281.00,$316.00,$441.00,$671.00,$494.00,$562.00,$632.00,$882.00,$1342.00,$651.00,$719.00,$789.00,$1039.00,$808.00,$876.00,$946.00,$1196.00,$965.00,$1033.00,$1103.00,$1353.00,$404.00,$438.00,$473.00,$598.00,$561.00,$595.00,$630.00,$755.00,$718.00,$752.00,$787.00,$912.00,,"$2,500",$0,"$5,000",$0,"$2,500",Not Applicable,"$6,350",Included in Medical,"$12,700",Included in Medical,"$6,350",Included in Medical,$35,$70,30% Coinsurance after deductible,30% Coinsurance after deductible,30% Coinsurance after deductible,$15,$50,50%,50%,,"$2,500",$0,"$5,000",$0,"$2,500",Not Applicable,"$4,300",Included in Medical,$8600.00,Included in Medical,$4300.00,Included in Medical,$35,$70,30% Coinsurance after deductible,30% Coinsurance after deductible,30% Coinsurance after deductible,$15,$50,50%,50%,,$850,$0,"$1,700",$0,$850,Not Applicable,"$1,500",Included in Medical,"$3,000",Included in Medical,"$1,500",Included in Medical,$15,$30,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,$10,$25,50%,50%,,$100,$0,$200,$0,$100,Not Applicable,$750,Included in Medical,"$1,500",Included in Medical,$750,Included in Medical,$10,$20,10% Coinsurance after deductible,10% Coinsurance after deductible,10% Coinsurance after deductible,$5,$10,25%,25%
OR,Baker,Gold,"Moda Health Plan, Inc.",39424OR1260001,Moda Health Beacon Be Protected,PPO,Rating Area 6,Allows Adult and Child-Only,SERFF,1-877-605-3229,1-877-605-3229,1-877-605-3229,https://www.modahealth.com/eenroll/find-provider?type=medical,https://www.modahealth.com/pdfs/plans/individual/Moda_Beacon_BeProtected_2016_OR.pdf,https://www.modahealth.com/pdfs/plans/individual/Moda_Beacon_BeProtected_SBC_2016_OR.pdf,https://www.modahealth.com/medical/formularies.shtml,,,X,99.4%,,$189.00,$297.00,$312.00,$337.00,$380.00,$531.00,$807.00,$594.00,$674.00,$760.00,$1062.00,$1614.00,$783.00,$863.00,$949.00,$1251.00,$972.00,$1052.00,$1138.00,$1440.00,$1161.00,$1241.00,$1327.00,$1629.00,$486.00,$526.00,$569.00,$720.00,$675.00,$715.00,$758.00,$909.00,$864.00,$904.00,$947.00,$1098.00,,"$1,000",Included in Medical,"$2,000",Included in Medical,"$1,000",Included in Medical,"$5,500",Included in Medical,"$11,000",Included in Medical,"$5,500",Included in Medical,$15,$15,15% Coinsurance after deductible,15% Coinsurance after deductible,15% Coinsurance after deductible,$10,40%,50%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,Baker,Silver,"Moda Health Plan, Inc.",39424OR1260002,Moda Health Beacon Be Prepared,PPO,Rating Area 6,Allows Adult and Child-Only,SERFF,1-877-605-3229,1-877-605-3229,1-877-605-3229,https://www.modahealth.com/eenroll/find-provider?type=medical,https://www.modahealth.com/pdfs/plans/individual/Moda_Beacon_BePrepared_2016_OR.pdf,https://www.modahealth.com/pdfs/plans/individual/Moda_Beacon_BePrepared_SBC_2016_OR.pdf,https://www.modahealth.com/medical/formularies.shtml,,,X,99.4%,,$166.00,$261.00,$274.00,$297.00,$334.00,$467.00,$709.00,$522.00,$594.00,$668.00,$934.00,$1418.00,$688.00,$760.00,$834.00,$1100.00,$854.00,$926.00,$1000.00,$1266.00,$1020.00,$1092.00,$1166.00,$1432.00,$427.00,$463.00,$500.00,$633.00,$593.00,$629.00,$666.00,$799.00,$759.00,$795.00,$832.00,$965.00,,"$1,550",Included in Medical,"$3,100",Included in Medical,"$1,550",Included in Medical,"$6,850",Included in Medical,"$13,700",Included in Medical,"$6,850",Included in Medical,$30,$30,30% Coinsurance after deductible,30% Coinsurance after deductible,30% Coinsurance after deductible,$20,40%,50%,50%,,"$1,550",Included in Medical,"$3,100",Included in Medical,"$1,550",Included in Medical,"$5,425",Included in Medical,$10850.00,Included in Medical,$5425.00,Included in Medical,$30,$30,30% Coinsurance after deductible,30% Coinsurance after deductible,30% Coinsurance after deductible,$20,40%,50%,50%,,$750,Included in Medical,"$1,500",Included in Medical,$750,Included in Medical,"$1,500",Included in Medical,"$3,000",Included in Medical,"$1,500",Included in Medical,$30,$30,30% Coinsurance after deductible,30% Coinsurance after deductible,30% Coinsurance after deductible,$20,40%,50%,50%,,$100,Included in Medical,$200,Included in Medical,$100,Included in Medical,$500,Included in Medical,"$1,000",Included in Medical,$500,Included in Medical,$30,$30,30% Coinsurance after deductible,30% Coinsurance after deductible,30% Coinsurance after deductible,$20,40%,50%,50%
