"state_code","fips_county_code","county_name","metal_level","issuer_name","hios_issuer_id","plan_id_standard_component","plan_marketing_name","plan_type","rating_area","child_only_offering","source","customer_service_phone_number_local","customer_service_phone_number_toll_free","customer_service_phone_number_tty","network_url","plan_brochure_url","summary_of_benefits_url","drug_formulary_url","accreditation","adult_dental","child_dental","ehb_percent_of_total_premium","premium_scenarios","premium_child","premium_adult_individual_age_21","premium_adult_individual_age_27","premium_adult_individual_age_30","premium_adult_individual_age_40","premium_adult_individual_age_50","premium_adult_individual_age_60","premium_couple_21","premium_couple_30","premium_couple_40","premium_couple_50","premium_couple_60","couple+1_child,_age_21","couple+1_child,_age_30","couple+1_child,_age_40","couple+1_child,_age_50","couple+2_children,_age_21","couple+2_children,_age_30","couple+2_children,_age_40","couple+2_children,_age_50","couple+3_or_more_children,_age_21","couple+3_or_more_children,_age_30","couple+3_or_more_children,_age_40","couple+3_or_more_children,_age_50","individual+1_child,_age_21","individual+1_child,_age_30","individual+1_child,_age_40","individual+1_child,_age_50","individual+2_children,_age_21","individual+2_children,_age_30","individual+2_children,_age_40","individual+2_children,_age_50","individual+3_or_more_children,_age_21","individual+3_or_more_children,_age_30","individual+3_or_more_children,_age_40","individual+3_or_more_children,_age_50","standard_plan_cost_sharing","medical_deductible_-_individual_-_standard","drug_deductible_-_individual_-_standard","medical_deductible_-_family_-_standard","drug_deductible_-_family_-_standard","medical_deductible_-_family_per_person_-_standard","drug_deductible_-_family_per_person_-_standard","medical_maximum_out_of_pocket_-_individual_-_standard","drug_maximum_out_of_pocket_-_individual_-_standard","medical_maximum_out_of_pocket_-_family_-_standard","drug_maximum_out_of_pocket_-_family_-_standard","medical_maximum_out_of_pocket_-_family_per_person_-_standard","drug_maximum_out_of_pocket_-_family_per_person_-_standard","primary_care_physician_-_standard","specialist_-_standard","emergency_room_-_standard","inpatient_facility_-_standard","inpatient_physician_-_standard","generic_drugs_-_standard","preferred_brand_drugs_-_standard","non-preferred_brand_drugs_-_standard","specialty_drugs_-_standard","73_percent_actuarial_value_silver_plan_cost_sharing","medical_deductible_-_individual_-_73_percent","drug_deductible_-_individual_-_73_percent","medical_deductible_-_family_-_73_percent","drug_deductible_-_family_-_73_percent","medical_deductible_-_family_per_person_-_73_percent","drug_deductible_-_family_per_person_-_73_percent","medical_maximum_out_of_pocket_-_individual_-_73_percent","drug_maximum_out_of_pocket_-_individual_-_73_percent","medical_maximum_out_of_pocket_-_family_-_73_percent","drug_maximum_out_of_pocket_-_family_-_73_percent","medical_maximum_out_of_pocket_-_family_per_person_-_73_percent","drug_maximum_out_of_pocket_-_family_per_person_-_73_percent","primary_care_physician_-_73_percent","specialist_-_73_percent","emergency_room_-_73_percent","inpatient_facility_-_73_percent","inpatient_physician_-_73_percent","generic_drugs_-_73_percent","preferred_brand_drugs_-_73_percent","non-preferred_brand_drugs_-_73_percent","specialty_drugs_-_73_percent","87_percent_actuarial_value_silver_plan_cost_sharing","medical_deductible_-_individual_-_87_percent","drug_deductible_-_individual_-_87_percent","medical_deductible_-_family_-_87_percent","drug_deductible_-_family_-_87_percent","medical_deductible_-_family_per_person_-_87_percent","drug_deductible_-_family_per_person_-_87_percent","medical_maximum_out_of_pocket_-_individual_-_87_percent","drug_maximum_out_of_pocket_-_individual_-_87_percent","medical_maximum_out_of_pocket_-_family_-_87_percent","drug_maximum_out_of_pocket_-_family_-_87_percent","medical_maximum_out_of_pocket_-_family_per_person_-_87_percent","drug_maximum_out_of_pocket_-_family_per_person_-_87_percent","primary_care_physician_-_87_percent","specialist_-_87_percent","emergency_room_-_87_percent","inpatient_facility_-_87_percent","inpatient_physician_-_87_percent","generic_drugs_-_87_percent","preferred_brand_drugs_-_87_percent","non-preferred_brand_drugs_-_87_percent","specialty_drugs_-_87_percent","94_percent_actuarial_value_silver_plan_cost_sharing","medical_deductible_-_individual_-_94_percent","drug_deductible_-_individual_-_94_percent","medical_deductible_-_family_-_94_percent","drug_deductible_-_family_-_94_percent","medical_deductible_-_family_per_person_-_94_percent","drug_deductible_-_family_per_person_-_94_percent","medical_maximum_out_of_pocket_-individual_-_94_percent","drug_maximum_out_of_pocket_-_individual_-_94_percent","medical_maximum_out_of_pocket_-_family_-_94_percent","drug_maximum_out_of_pocket_-_family_-_94_percent","medical_maximum_out_of_pocket_-_family_per_person_-_94_percent","drug_maximum_out_of_pocket_-_family_per_person_-_94_percent","primary_care_physician_-_94_percent","specialist_-_94_percent","emergency_room_-_94_percent","inpatient_facility_-_94_percent","inpatient_physician_-_94_percent","generic_drugs_-_94_percent","preferred_brand_drugs_-_94_percent","non-preferred_brand_drugs_-_94_percent","specialty_drugs_-_94_percent"
"ID","16005","Bannock County","Silver","SelectHealth",26002,"26002ID0010005","SelectHealth Preference Silver 1500","PPO",1,"Allows Adult and Child-Only","SERFF",,,,"http://selecthealth.org/providers/default.aspx?medical=selecthealth&dental=null","http://www.selecthealth.org/plan-brochure.aspx?state=id&name=selecthealth_preference_silver_1500&csr=standard_silver_on_exchange_plan&id=I70C0459","http://www.selecthealth.org/sbc/default.aspx?state=id&id=I70C0459","http://www.selecthealth.org/prescriptions/default.aspx?st=id&plan=core",,,,1,,190.76,300.41,314.83,340.96,383.92,536.53,815.31,600.82,681.92,767.84,1073.06,1630.62,791.58,872.68,958.6,1263.82,982.34,1063.44,1149.36,1454.58,1173.1,1254.2,1340.12,1645.34,491.17,531.72,574.68,727.29,681.93,722.48,765.44,918.05,872.69,913.24,956.2,1108.81,,1500,"1000","$3000 per group","per group not applicable","$1500 per person","$1000 per person",7150,"Included in Medical","$14300 per group","Included in Medical","$7150 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$500 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,1300,"500","$2600 per group","per group not applicable","$1300 per person","$500 per person",5200,"Included in Medical","$10400 per group","Included in Medical","$5200 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$300 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",,300,"150","$600 per group","per group not applicable","$300 per person","$150 per person",1750,"Included in Medical","$3500 per group","Included in Medical","$1750 per person","Included in Medical","$15 Copay after deductible","$25 Copay after deductible","$250 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$15 Copay","15% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",,100,"100","$300 per group","per group not applicable","$100 per person","$100 per person",1000,"Included in Medical","$2000 per group","Included in Medical","$1000 per person","Included in Medical","$10 Copay after deductible","$15 Copay after deductible","$100 Copay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible","$10 Copay","5% Coinsurance after deductible","15% Coinsurance after deductible","15% Coinsurance after deductible"
"ID","16007","Bear Lake County","Silver","SelectHealth",26002,"26002ID0010005","SelectHealth Preference Silver 1500","PPO",1,"Allows Adult and Child-Only","SERFF",,,,"http://selecthealth.org/providers/default.aspx?medical=selecthealth&dental=null","http://www.selecthealth.org/plan-brochure.aspx?state=id&name=selecthealth_preference_silver_1500&csr=standard_silver_on_exchange_plan&id=I70C0459","http://www.selecthealth.org/sbc/default.aspx?state=id&id=I70C0459","http://www.selecthealth.org/prescriptions/default.aspx?st=id&plan=core",,,,1,,190.76,300.41,314.83,340.96,383.92,536.53,815.31,600.82,681.92,767.84,1073.06,1630.62,791.58,872.68,958.6,1263.82,982.34,1063.44,1149.36,1454.58,1173.1,1254.2,1340.12,1645.34,491.17,531.72,574.68,727.29,681.93,722.48,765.44,918.05,872.69,913.24,956.2,1108.81,,1500,"1000","$3000 per group","per group not applicable","$1500 per person","$1000 per person",7150,"Included in Medical","$14300 per group","Included in Medical","$7150 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$500 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,1300,"500","$2600 per group","per group not applicable","$1300 per person","$500 per person",5200,"Included in Medical","$10400 per group","Included in Medical","$5200 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$300 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",,300,"150","$600 per group","per group not applicable","$300 per person","$150 per person",1750,"Included in Medical","$3500 per group","Included in Medical","$1750 per person","Included in Medical","$15 Copay after deductible","$25 Copay after deductible","$250 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$15 Copay","15% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",,100,"100","$300 per group","per group not applicable","$100 per person","$100 per person",1000,"Included in Medical","$2000 per group","Included in Medical","$1000 per person","Included in Medical","$10 Copay after deductible","$15 Copay after deductible","$100 Copay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible","$10 Copay","5% Coinsurance after deductible","15% Coinsurance after deductible","15% Coinsurance after deductible"
"ID","16011","Bingham County","Silver","SelectHealth",26002,"26002ID0010005","SelectHealth Preference Silver 1500","PPO",1,"Allows Adult and Child-Only","SERFF",,,,"http://selecthealth.org/providers/default.aspx?medical=selecthealth&dental=null","http://www.selecthealth.org/plan-brochure.aspx?state=id&name=selecthealth_preference_silver_1500&csr=standard_silver_on_exchange_plan&id=I70C0459","http://www.selecthealth.org/sbc/default.aspx?state=id&id=I70C0459","http://www.selecthealth.org/prescriptions/default.aspx?st=id&plan=core",,,,1,,190.76,300.41,314.83,340.96,383.92,536.53,815.31,600.82,681.92,767.84,1073.06,1630.62,791.58,872.68,958.6,1263.82,982.34,1063.44,1149.36,1454.58,1173.1,1254.2,1340.12,1645.34,491.17,531.72,574.68,727.29,681.93,722.48,765.44,918.05,872.69,913.24,956.2,1108.81,,1500,"1000","$3000 per group","per group not applicable","$1500 per person","$1000 per person",7150,"Included in Medical","$14300 per group","Included in Medical","$7150 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$500 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,1300,"500","$2600 per group","per group not applicable","$1300 per person","$500 per person",5200,"Included in Medical","$10400 per group","Included in Medical","$5200 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$300 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",,300,"150","$600 per group","per group not applicable","$300 per person","$150 per person",1750,"Included in Medical","$3500 per group","Included in Medical","$1750 per person","Included in Medical","$15 Copay after deductible","$25 Copay after deductible","$250 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$15 Copay","15% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",,100,"100","$300 per group","per group not applicable","$100 per person","$100 per person",1000,"Included in Medical","$2000 per group","Included in Medical","$1000 per person","Included in Medical","$10 Copay after deductible","$15 Copay after deductible","$100 Copay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible","$10 Copay","5% Coinsurance after deductible","15% Coinsurance after deductible","15% Coinsurance after deductible"
"ID","16019","Bonneville County","Silver","SelectHealth",26002,"26002ID0010005","SelectHealth Preference Silver 1500","PPO",1,"Allows Adult and Child-Only","SERFF",,,,"http://selecthealth.org/providers/default.aspx?medical=selecthealth&dental=null","http://www.selecthealth.org/plan-brochure.aspx?state=id&name=selecthealth_preference_silver_1500&csr=standard_silver_on_exchange_plan&id=I70C0459","http://www.selecthealth.org/sbc/default.aspx?state=id&id=I70C0459","http://www.selecthealth.org/prescriptions/default.aspx?st=id&plan=core",,,,1,,190.76,300.41,314.83,340.96,383.92,536.53,815.31,600.82,681.92,767.84,1073.06,1630.62,791.58,872.68,958.6,1263.82,982.34,1063.44,1149.36,1454.58,1173.1,1254.2,1340.12,1645.34,491.17,531.72,574.68,727.29,681.93,722.48,765.44,918.05,872.69,913.24,956.2,1108.81,,1500,"1000","$3000 per group","per group not applicable","$1500 per person","$1000 per person",7150,"Included in Medical","$14300 per group","Included in Medical","$7150 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$500 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,1300,"500","$2600 per group","per group not applicable","$1300 per person","$500 per person",5200,"Included in Medical","$10400 per group","Included in Medical","$5200 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$300 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",,300,"150","$600 per group","per group not applicable","$300 per person","$150 per person",1750,"Included in Medical","$3500 per group","Included in Medical","$1750 per person","Included in Medical","$15 Copay after deductible","$25 Copay after deductible","$250 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$15 Copay","15% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",,100,"100","$300 per group","per group not applicable","$100 per person","$100 per person",1000,"Included in Medical","$2000 per group","Included in Medical","$1000 per person","Included in Medical","$10 Copay after deductible","$15 Copay after deductible","$100 Copay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible","$10 Copay","5% Coinsurance after deductible","15% Coinsurance after deductible","15% Coinsurance after deductible"
"ID","16029","Caribou County","Silver","SelectHealth",26002,"26002ID0010005","SelectHealth Preference Silver 1500","PPO",1,"Allows Adult and Child-Only","SERFF",,,,"http://selecthealth.org/providers/default.aspx?medical=selecthealth&dental=null","http://www.selecthealth.org/plan-brochure.aspx?state=id&name=selecthealth_preference_silver_1500&csr=standard_silver_on_exchange_plan&id=I70C0459","http://www.selecthealth.org/sbc/default.aspx?state=id&id=I70C0459","http://www.selecthealth.org/prescriptions/default.aspx?st=id&plan=core",,,,1,,190.76,300.41,314.83,340.96,383.92,536.53,815.31,600.82,681.92,767.84,1073.06,1630.62,791.58,872.68,958.6,1263.82,982.34,1063.44,1149.36,1454.58,1173.1,1254.2,1340.12,1645.34,491.17,531.72,574.68,727.29,681.93,722.48,765.44,918.05,872.69,913.24,956.2,1108.81,,1500,"1000","$3000 per group","per group not applicable","$1500 per person","$1000 per person",7150,"Included in Medical","$14300 per group","Included in Medical","$7150 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$500 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,1300,"500","$2600 per group","per group not applicable","$1300 per person","$500 per person",5200,"Included in Medical","$10400 per group","Included in Medical","$5200 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$300 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",,300,"150","$600 per group","per group not applicable","$300 per person","$150 per person",1750,"Included in Medical","$3500 per group","Included in Medical","$1750 per person","Included in Medical","$15 Copay after deductible","$25 Copay after deductible","$250 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$15 Copay","15% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",,100,"100","$300 per group","per group not applicable","$100 per person","$100 per person",1000,"Included in Medical","$2000 per group","Included in Medical","$1000 per person","Included in Medical","$10 Copay after deductible","$15 Copay after deductible","$100 Copay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible","$10 Copay","5% Coinsurance after deductible","15% Coinsurance after deductible","15% Coinsurance after deductible"
"ID","16037","Custer County","Silver","SelectHealth",26002,"26002ID0010005","SelectHealth Preference Silver 1500","PPO",1,"Allows Adult and Child-Only","SERFF",,,,"http://selecthealth.org/providers/default.aspx?medical=selecthealth&dental=null","http://www.selecthealth.org/plan-brochure.aspx?state=id&name=selecthealth_preference_silver_1500&csr=standard_silver_on_exchange_plan&id=I70C0459","http://www.selecthealth.org/sbc/default.aspx?state=id&id=I70C0459","http://www.selecthealth.org/prescriptions/default.aspx?st=id&plan=core",,,,1,,190.76,300.41,314.83,340.96,383.92,536.53,815.31,600.82,681.92,767.84,1073.06,1630.62,791.58,872.68,958.6,1263.82,982.34,1063.44,1149.36,1454.58,1173.1,1254.2,1340.12,1645.34,491.17,531.72,574.68,727.29,681.93,722.48,765.44,918.05,872.69,913.24,956.2,1108.81,,1500,"1000","$3000 per group","per group not applicable","$1500 per person","$1000 per person",7150,"Included in Medical","$14300 per group","Included in Medical","$7150 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$500 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,1300,"500","$2600 per group","per group not applicable","$1300 per person","$500 per person",5200,"Included in Medical","$10400 per group","Included in Medical","$5200 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$300 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",,300,"150","$600 per group","per group not applicable","$300 per person","$150 per person",1750,"Included in Medical","$3500 per group","Included in Medical","$1750 per person","Included in Medical","$15 Copay after deductible","$25 Copay after deductible","$250 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$15 Copay","15% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",,100,"100","$300 per group","per group not applicable","$100 per person","$100 per person",1000,"Included in Medical","$2000 per group","Included in Medical","$1000 per person","Included in Medical","$10 Copay after deductible","$15 Copay after deductible","$100 Copay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible","$10 Copay","5% Coinsurance after deductible","15% Coinsurance after deductible","15% Coinsurance after deductible"
"ID","16041","Franklin County","Silver","SelectHealth",26002,"26002ID0010005","SelectHealth Preference Silver 1500","PPO",1,"Allows Adult and Child-Only","SERFF",,,,"http://selecthealth.org/providers/default.aspx?medical=selecthealth&dental=null","http://www.selecthealth.org/plan-brochure.aspx?state=id&name=selecthealth_preference_silver_1500&csr=standard_silver_on_exchange_plan&id=I70C0459","http://www.selecthealth.org/sbc/default.aspx?state=id&id=I70C0459","http://www.selecthealth.org/prescriptions/default.aspx?st=id&plan=core",,,,1,,190.76,300.41,314.83,340.96,383.92,536.53,815.31,600.82,681.92,767.84,1073.06,1630.62,791.58,872.68,958.6,1263.82,982.34,1063.44,1149.36,1454.58,1173.1,1254.2,1340.12,1645.34,491.17,531.72,574.68,727.29,681.93,722.48,765.44,918.05,872.69,913.24,956.2,1108.81,,1500,"1000","$3000 per group","per group not applicable","$1500 per person","$1000 per person",7150,"Included in Medical","$14300 per group","Included in Medical","$7150 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$500 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,1300,"500","$2600 per group","per group not applicable","$1300 per person","$500 per person",5200,"Included in Medical","$10400 per group","Included in Medical","$5200 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$300 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",,300,"150","$600 per group","per group not applicable","$300 per person","$150 per person",1750,"Included in Medical","$3500 per group","Included in Medical","$1750 per person","Included in Medical","$15 Copay after deductible","$25 Copay after deductible","$250 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$15 Copay","15% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",,100,"100","$300 per group","per group not applicable","$100 per person","$100 per person",1000,"Included in Medical","$2000 per group","Included in Medical","$1000 per person","Included in Medical","$10 Copay after deductible","$15 Copay after deductible","$100 Copay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible","$10 Copay","5% Coinsurance after deductible","15% Coinsurance after deductible","15% Coinsurance after deductible"
"ID","16059","Lemhi County","Silver","SelectHealth",26002,"26002ID0010005","SelectHealth Preference Silver 1500","PPO",1,"Allows Adult and Child-Only","SERFF",,,,"http://selecthealth.org/providers/default.aspx?medical=selecthealth&dental=null","http://www.selecthealth.org/plan-brochure.aspx?state=id&name=selecthealth_preference_silver_1500&csr=standard_silver_on_exchange_plan&id=I70C0459","http://www.selecthealth.org/sbc/default.aspx?state=id&id=I70C0459","http://www.selecthealth.org/prescriptions/default.aspx?st=id&plan=core",,,,1,,190.76,300.41,314.83,340.96,383.92,536.53,815.31,600.82,681.92,767.84,1073.06,1630.62,791.58,872.68,958.6,1263.82,982.34,1063.44,1149.36,1454.58,1173.1,1254.2,1340.12,1645.34,491.17,531.72,574.68,727.29,681.93,722.48,765.44,918.05,872.69,913.24,956.2,1108.81,,1500,"1000","$3000 per group","per group not applicable","$1500 per person","$1000 per person",7150,"Included in Medical","$14300 per group","Included in Medical","$7150 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$500 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,1300,"500","$2600 per group","per group not applicable","$1300 per person","$500 per person",5200,"Included in Medical","$10400 per group","Included in Medical","$5200 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$300 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",,300,"150","$600 per group","per group not applicable","$300 per person","$150 per person",1750,"Included in Medical","$3500 per group","Included in Medical","$1750 per person","Included in Medical","$15 Copay after deductible","$25 Copay after deductible","$250 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$15 Copay","15% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",,100,"100","$300 per group","per group not applicable","$100 per person","$100 per person",1000,"Included in Medical","$2000 per group","Included in Medical","$1000 per person","Included in Medical","$10 Copay after deductible","$15 Copay after deductible","$100 Copay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible","$10 Copay","5% Coinsurance after deductible","15% Coinsurance after deductible","15% Coinsurance after deductible"
"ID","16071","Oneida County","Silver","SelectHealth",26002,"26002ID0010005","SelectHealth Preference Silver 1500","PPO",1,"Allows Adult and Child-Only","SERFF",,,,"http://selecthealth.org/providers/default.aspx?medical=selecthealth&dental=null","http://www.selecthealth.org/plan-brochure.aspx?state=id&name=selecthealth_preference_silver_1500&csr=standard_silver_on_exchange_plan&id=I70C0459","http://www.selecthealth.org/sbc/default.aspx?state=id&id=I70C0459","http://www.selecthealth.org/prescriptions/default.aspx?st=id&plan=core",,,,1,,190.76,300.41,314.83,340.96,383.92,536.53,815.31,600.82,681.92,767.84,1073.06,1630.62,791.58,872.68,958.6,1263.82,982.34,1063.44,1149.36,1454.58,1173.1,1254.2,1340.12,1645.34,491.17,531.72,574.68,727.29,681.93,722.48,765.44,918.05,872.69,913.24,956.2,1108.81,,1500,"1000","$3000 per group","per group not applicable","$1500 per person","$1000 per person",7150,"Included in Medical","$14300 per group","Included in Medical","$7150 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$500 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,1300,"500","$2600 per group","per group not applicable","$1300 per person","$500 per person",5200,"Included in Medical","$10400 per group","Included in Medical","$5200 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$300 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",,300,"150","$600 per group","per group not applicable","$300 per person","$150 per person",1750,"Included in Medical","$3500 per group","Included in Medical","$1750 per person","Included in Medical","$15 Copay after deductible","$25 Copay after deductible","$250 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$15 Copay","15% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",,100,"100","$300 per group","per group not applicable","$100 per person","$100 per person",1000,"Included in Medical","$2000 per group","Included in Medical","$1000 per person","Included in Medical","$10 Copay after deductible","$15 Copay after deductible","$100 Copay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible","$10 Copay","5% Coinsurance after deductible","15% Coinsurance after deductible","15% Coinsurance after deductible"
"ID","16077","Power County","Silver","SelectHealth",26002,"26002ID0010005","SelectHealth Preference Silver 1500","PPO",1,"Allows Adult and Child-Only","SERFF",,,,"http://selecthealth.org/providers/default.aspx?medical=selecthealth&dental=null","http://www.selecthealth.org/plan-brochure.aspx?state=id&name=selecthealth_preference_silver_1500&csr=standard_silver_on_exchange_plan&id=I70C0459","http://www.selecthealth.org/sbc/default.aspx?state=id&id=I70C0459","http://www.selecthealth.org/prescriptions/default.aspx?st=id&plan=core",,,,1,,190.76,300.41,314.83,340.96,383.92,536.53,815.31,600.82,681.92,767.84,1073.06,1630.62,791.58,872.68,958.6,1263.82,982.34,1063.44,1149.36,1454.58,1173.1,1254.2,1340.12,1645.34,491.17,531.72,574.68,727.29,681.93,722.48,765.44,918.05,872.69,913.24,956.2,1108.81,,1500,"1000","$3000 per group","per group not applicable","$1500 per person","$1000 per person",7150,"Included in Medical","$14300 per group","Included in Medical","$7150 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$500 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,1300,"500","$2600 per group","per group not applicable","$1300 per person","$500 per person",5200,"Included in Medical","$10400 per group","Included in Medical","$5200 per person","Included in Medical","$35 Copay after deductible","$60 Copay after deductible","$300 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$15 Copay","25% Coinsurance after deductible","40% Coinsurance after deductible","40% Coinsurance after deductible",,300,"150","$600 per group","per group not applicable","$300 per person","$150 per person",1750,"Included in Medical","$3500 per group","Included in Medical","$1750 per person","Included in Medical","$15 Copay after deductible","$25 Copay after deductible","$250 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$15 Copay","15% Coinsurance after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible",,100,"100","$300 per group","per group not applicable","$100 per person","$100 per person",1000,"Included in Medical","$2000 per group","Included in Medical","$1000 per person","Included in Medical","$10 Copay after deductible","$15 Copay after deductible","$100 Copay after deductible","5% Coinsurance after deductible","5% Coinsurance after deductible","$10 Copay","5% Coinsurance after deductible","15% Coinsurance after deductible","15% Coinsurance after deductible"
