"year","fips_county","county_name","state_code","issuer_name","issuer_id"
2016,"24001","Allegany County","MD","All Savers Insurance Company",36677
2016,"24001","Allegany County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24001","Allegany County","MD","CareFirst of Maryland  Inc.",45532
2016,"24001","Allegany County","MD","Cigna Health and Life Insurance Company",32812
2016,"24001","Allegany County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24003","Anne Arundel County","MD","All Savers Insurance Company",36677
2016,"24003","Anne Arundel County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24003","Anne Arundel County","MD","CareFirst of Maryland  Inc.",45532
2016,"24003","Anne Arundel County","MD","Cigna Health and Life Insurance Company",32812
2016,"24003","Anne Arundel County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24003","Anne Arundel County","MD","Kaiser Foundation Health Plan of the Mid-Atlantic States  Inc.",90296
2016,"24003","Anne Arundel County","MD","UnitedHealthcare of the Mid-Atlantic  Inc.",31112
2016,"24005","Baltimore County","MD","All Savers Insurance Company",36677
2016,"24005","Baltimore County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24005","Baltimore County","MD","CareFirst of Maryland  Inc.",45532
2016,"24005","Baltimore County","MD","Cigna Health and Life Insurance Company",32812
2016,"24005","Baltimore County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24005","Baltimore County","MD","Kaiser Foundation Health Plan of the Mid-Atlantic States  Inc.",90296
2016,"24005","Baltimore County","MD","UnitedHealthcare of the Mid-Atlantic  Inc.",31112
2016,"24009","Calvert County","MD","All Savers Insurance Company",36677
2016,"24009","Calvert County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24009","Calvert County","MD","CareFirst of Maryland  Inc.",45532
2016,"24009","Calvert County","MD","Cigna Health and Life Insurance Company",32812
2016,"24009","Calvert County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24009","Calvert County","MD","Kaiser Foundation Health Plan of the Mid-Atlantic States  Inc.",90296
2016,"24011","Caroline County","MD","All Savers Insurance Company",36677
2016,"24011","Caroline County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24011","Caroline County","MD","CareFirst of Maryland  Inc.",45532
2016,"24011","Caroline County","MD","Cigna Health and Life Insurance Company",32812
2016,"24011","Caroline County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24013","Carroll County","MD","All Savers Insurance Company",36677
2016,"24013","Carroll County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24013","Carroll County","MD","CareFirst of Maryland  Inc.",45532
2016,"24013","Carroll County","MD","Cigna Health and Life Insurance Company",32812
2016,"24013","Carroll County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24013","Carroll County","MD","Kaiser Foundation Health Plan of the Mid-Atlantic States  Inc.",90296
2016,"24015","Cecil County","MD","All Savers Insurance Company",36677
2016,"24015","Cecil County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24015","Cecil County","MD","CareFirst of Maryland  Inc.",45532
2016,"24015","Cecil County","MD","Cigna Health and Life Insurance Company",32812
2016,"24015","Cecil County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24017","Charles County","MD","All Savers Insurance Company",36677
2016,"24017","Charles County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24017","Charles County","MD","CareFirst of Maryland  Inc.",45532
2016,"24017","Charles County","MD","Cigna Health and Life Insurance Company",32812
2016,"24017","Charles County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24017","Charles County","MD","Kaiser Foundation Health Plan of the Mid-Atlantic States  Inc.",90296
2016,"24019","Dorchester County","MD","All Savers Insurance Company",36677
2016,"24019","Dorchester County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24019","Dorchester County","MD","CareFirst of Maryland  Inc.",45532
2016,"24019","Dorchester County","MD","Cigna Health and Life Insurance Company",32812
2016,"24019","Dorchester County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24021","Frederick County","MD","All Savers Insurance Company",36677
2016,"24021","Frederick County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24021","Frederick County","MD","CareFirst of Maryland  Inc.",45532
2016,"24021","Frederick County","MD","Cigna Health and Life Insurance Company",32812
2016,"24021","Frederick County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24021","Frederick County","MD","Kaiser Foundation Health Plan of the Mid-Atlantic States  Inc.",90296
2016,"24021","Frederick County","MD","UnitedHealthcare of the Mid-Atlantic  Inc.",31112
2016,"24023","Garrett County","MD","All Savers Insurance Company",36677
2016,"24023","Garrett County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24023","Garrett County","MD","CareFirst of Maryland  Inc.",45532
2016,"24023","Garrett County","MD","Cigna Health and Life Insurance Company",32812
2016,"24023","Garrett County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24025","Harford County","MD","All Savers Insurance Company",36677
2016,"24025","Harford County","MD","CareFirst BlueChoice  Inc.",28137
2016,"24025","Harford County","MD","CareFirst of Maryland  Inc.",45532
2016,"24025","Harford County","MD","Cigna Health and Life Insurance Company",32812
2016,"24025","Harford County","MD","Evergreen Health Cooperative Inc.",72564
2016,"24025","Harford County","MD","Kaiser Foundation Health Plan of the Mid-Atlantic States  Inc.",90296
2016,"24025","Harford County","MD","UnitedHealthcare of the Mid-Atlantic  Inc.",31112
2016,"24027","Howard County","MD","All Savers Insurance Company",36677
