"year","fips_county","county_name","rating_area","issuer_name","state_code"
2017,"06001","Alameda",6,"Anthem","CA"
2017,"06001","Alameda",6,"Blue Shield","CA"
2017,"06001","Alameda",6,"Kaiser Permanente","CA"
2017,"06003","Alpine",1,"Anthem","CA"
2017,"06003","Alpine",1,"Blue Shield","CA"
2017,"06005","Amador",1,"Anthem","CA"
2017,"06005","Amador",1,"Blue Shield","CA"
2017,"06005","Amador",1,"Kaiser Permanente","CA"
2017,"06007","Butte",1,"Anthem","CA"
2017,"06007","Butte",1,"Blue Shield","CA"
2017,"06009","Calaveras",1,"Anthem","CA"
2017,"06009","Calaveras",1,"Blue Shield","CA"
2017,"06011","Colusa",1,"Anthem","CA"
2017,"06011","Colusa",1,"Blue Shield","CA"
2017,"06013","Contra Costa",5,"Anthem","CA"
2017,"06013","Contra Costa",5,"Blue Shield","CA"
2017,"06013","Contra Costa",5,"HealthNet Life","CA"
2017,"06013","Contra Costa",5,"Kaiser Permanente","CA"
2017,"06015","Del Norte",1,"Anthem","CA"
2017,"06015","Del Norte",1,"Blue Shield","CA"
2017,"06017","El Dorado",3,"Anthem","CA"
2017,"06017","El Dorado",3,"Blue Shield","CA"
2017,"06017","El Dorado",3,"HealthNet of CA","CA"
2017,"06017","El Dorado",3,"Kaiser Permanente","CA"
2017,"06017","El Dorado",3,"Western Health Advantage","CA"
2017,"06019","Fresno",11,"Anthem","CA"
2017,"06019","Fresno",11,"Blue Shield","CA"
2017,"06019","Fresno",11,"HealthNet of CA","CA"
2017,"06019","Fresno",11,"Kaiser Permanente","CA"
2017,"06021","Glenn",1,"Anthem","CA"
2017,"06021","Glenn",1,"Blue Shield","CA"
2017,"06023","Humboldt",1,"Anthem","CA"
2017,"06023","Humboldt",1,"Blue Shield","CA"
2017,"06025","Imperial",13,"Anthem","CA"
2017,"06025","Imperial",13,"Blue Shield","CA"
2017,"06025","Imperial",13,"Kaiser Permanente","CA"
2017,"06025","Imperial",13,"Molina","CA"
2017,"06027","Inyo",13,"Anthem","CA"
2017,"06027","Inyo",13,"Blue Shield","CA"
2017,"06029","Kern",14,"Anthem","CA"
2017,"06029","Kern",14,"Blue Shield","CA"
2017,"06029","Kern",14,"HealthNet of CA","CA"
2017,"06029","Kern",14,"Kaiser Permanente","CA"
2017,"06031","Kings",11,"Anthem","CA"
2017,"06031","Kings",11,"Blue Shield","CA"
2017,"06031","Kings",11,"HealthNet of CA","CA"
2017,"06031","Kings",11,"Kaiser Permanente","CA"
2017,"06033","Lake",1,"Anthem","CA"
2017,"06033","Lake",1,"Blue Shield","CA"
2017,"06035","Lassen",1,"Anthem","CA"
2017,"06035","Lassen",1,"Blue Shield","CA"
2017,"06037","Los Angeles",15,"Anthem","CA"
2017,"06037","Los Angeles",15,"Blue Shield","CA"
2017,"06037","Los Angeles",15,"HealthNet of CA","CA"
2017,"06037","Los Angeles",15,"Kaiser Permanente","CA"
2017,"06037","Los Angeles",15,"LA Care","CA"
2017,"06037","Los Angeles",15,"Molina","CA"
2017,"06037","Los Angeles",16,"Anthem","CA"
2017,"06037","Los Angeles",16,"Blue Shield","CA"
2017,"06037","Los Angeles",16,"HealthNet of CA","CA"
2017,"06037","Los Angeles",16,"Kaiser Permanente","CA"
2017,"06037","Los Angeles",16,"LA Care","CA"
2017,"06037","Los Angeles",16,"Molina","CA"
2017,"06037","Los Angeles",16,"Oscar","CA"
2017,"06039","Madera",11,"Anthem","CA"
2017,"06039","Madera",11,"Blue Shield","CA"
2017,"06039","Madera",11,"HealthNet of CA","CA"
2017,"06039","Madera",11,"Kaiser Permanente","CA"
2017,"06041","Marin",2,"Anthem","CA"
2017,"06041","Marin",2,"Blue Shield","CA"
2017,"06041","Marin",2,"HealthNet Life","CA"
2017,"06041","Marin",2,"Kaiser Permanente","CA"
2017,"06041","Marin",2,"Western Health Advantage","CA"
2017,"06043","Mariposa",10,"Anthem","CA"
2017,"06043","Mariposa",10,"Blue Shield","CA"
2017,"06043","Mariposa",10,"Kaiser Permanente","CA"
2017,"06045","Mendocino",1,"Anthem","CA"
2017,"06045","Mendocino",1,"Blue Shield","CA"
2017,"06047","Merced",10,"Anthem","CA"
2017,"06047","Merced",10,"Blue Shield","CA"
2017,"06047","Merced",10,"HealthNet Life","CA"
2017,"06049","Modoc",1,"Anthem","CA"
2017,"06049","Modoc",1,"Blue Shield","CA"
2017,"06051","Mono",13,"Anthem","CA"
2017,"06051","Mono",13,"Blue Shield","CA"
2017,"06053","Monterey",9,"Anthem","CA"
2017,"06053","Monterey",9,"Blue Shield","CA"
2017,"06055","Napa",2,"Anthem","CA"
2017,"06055","Napa",2,"Blue Shield","CA"
2017,"06055","Napa",2,"HealthNet Life","CA"
2017,"06055","Napa",2,"Kaiser Permanente","CA"
2017,"06055","Napa",2,"Western Health Advantage","CA"
2017,"06057","Nevada",1,"Anthem","CA"
2017,"06057","Nevada",1,"Blue Shield","CA"
2017,"06057","Nevada",1,"HealthNet of CA","CA"
2017,"06059","Orange",18,"Anthem","CA"
2017,"06059","Orange",18,"Blue Shield","CA"
2017,"06059","Orange",18,"HealthNet of CA","CA"
2017,"06059","Orange",18,"Kaiser Permanente","CA"
2017,"06059","Orange",18,"Molina","CA"
2017,"06059","Orange",18,"Oscar","CA"
2017,"06061","Placer",3,"Anthem","CA"
2017,"06061","Placer",3,"Blue Shield","CA"
2017,"06061","Placer",3,"HealthNet of CA","CA"
2017,"06061","Placer",3,"Kaiser Permanente","CA"
2017,"06061","Placer",3,"Western Health Advantage","CA"
2017,"06063","Plumas",1,"Anthem","CA"
2017,"06063","Plumas",1,"Blue Shield","CA"
2017,"06065","Riverside",17,"Anthem","CA"
2017,"06065","Riverside",17,"Blue Shield","CA"
2017,"06065","Riverside",17,"HealthNet of CA","CA"
2017,"06065","Riverside",17,"Kaiser Permanente","CA"
2017,"06065","Riverside",17,"Molina","CA"
2017,"06067","Sacramento",3,"Anthem","CA"
2017,"06067","Sacramento",3,"Blue Shield","CA"
2017,"06067","Sacramento",3,"HealthNet of CA","CA"
2017,"06067","Sacramento",3,"Kaiser Permanente","CA"
2017,"06067","Sacramento",3,"Western Health Advantage","CA"
2017,"06069","San Benito",9,"Anthem","CA"
2017,"06069","San Benito",9,"Blue Shield","CA"
2017,"06071","San Bernardino",17,"Anthem","CA"
2017,"06071","San Bernardino",17,"Blue Shield","CA"
2017,"06071","San Bernardino",17,"HealthNet of CA","CA"
2017,"06071","San Bernardino",17,"Kaiser Permanente","CA"
2017,"06071","San Bernardino",17,"Molina","CA"
2017,"06073","San Diego",19,"Anthem","CA"
2017,"06073","San Diego",19,"Blue Shield","CA"
2017,"06073","San Diego",19,"HealthNet of CA","CA"
2017,"06073","San Diego",19,"Kaiser Permanente","CA"
2017,"06073","San Diego",19,"Molina","CA"
2017,"06073","San Diego",19,"Sharp","CA"
2017,"06075","San Francisco",4,"Anthem","CA"
2017,"06075","San Francisco",4,"Blue Shield","CA"
2017,"06075","San Francisco",4,"CCHP","CA"
2017,"06075","San Francisco",4,"HealthNet Life","CA"
2017,"06075","San Francisco",4,"Kaiser Permanente","CA"
2017,"06075","San Francisco",4,"Oscar","CA"
2017,"06077","San Joaquin",10,"Anthem","CA"
2017,"06077","San Joaquin",10,"Blue Shield","CA"
2017,"06077","San Joaquin",10,"HealthNet Life","CA"
