"rating_area","county_name","zip3","fips_county"
1,"Alpine County",,"06003"
1,"Del Norte County",,"06015"
1,"Siskiyou County",,"06093"
1,"Modoc County",,"06049"
1,"Lassen County",,"06035"
1,"Shasta County",,"06089"
1,"Trinity County",,"06105"
1,"Humboldt County",,"06023"
1,"Tehama County",,"06103"
1,"Plumas County",,"06063"
1,"Nevada County",,"06057"
1,"Sierra County",,"06091"
1,"Mendocino County",,"06045"
1,"Lake County",,"06033"
1,"Butte County",,"06007"
1,"Glenn County",,"06021"
1,"Sutter County",,"06101"
1,"Yuba County",,"06115"
1,"Colusa County",,"06011"
1,"Amador County",,"06005"
1,"Calaveras County",,"06009"
1,"Tuolumne County",,"06109"
2,"Napa County",,"06055"
2,"Sonoma County",,"06097"
2,"Solano County",,"06095"
2,"Marin County",,"06041"
3,"Sacramento County",,"06067"
3,"Placer County",,"06061"
3,"El Dorado County",,"06017"
3,"Yolo County",,"06113"
4,"San Francisco County",,"06075"
5,"Contra Costa County",,"06013"
6,"Alameda County",,"06001"
7,"Santa Clara County",,"06085"
8,"San Mateo County",,"06081"
9,"Santa Cruz County",,"06087"
9,"Monterey County",,"06053"
9,"San Benito County",,"06069"
10,"San Joaquin County",,"06077"
10,"Stanislaus County",,"06099"
10,"Merced County",,"06047"
10,"Mariposa County",,"06043"
10,"Tulare County",,"06107"
11,"Madera County",,"06039"
11,"Fresno County",,"06019"
11,"Kings County",,"06031"
12,"San Luis Obispo County",,"06079"
12,"Santa Barbara County",,"06083"
12,"Ventura County",,"06111"
13,"Mono County",,"06051"
13,"Inyo County",,"06027"
13,"Imperial County",,"06025"
14,"Kern County",,"06029"
15,"",906,""
15,"",907,""
15,"",908,""
15,"",910,""
15,"",911,""
15,"",912,""
15,"",915,""
15,"",917,""
15,"",918,""
15,"",935,""
16,"",900,""
16,"",902,""
16,"",903,""
16,"",904,""
16,"",905,""
16,"",913,""
16,"",914,""
16,"",916,""
16,"",923,""
16,"",928,""
16,"",932,""
17,"San Bernardino County",,"06071"
17,"Riverside County",,"06065"
18,"Orange County",,"06059"
19,"San Diego County",,"06073"
