"year","fips_county","county_name","state_code","rating_area","issuer_name","plans"
2017,"24001","Allegany County","MD",4,"CareFirst BlueChoice",6
2017,"24001","Allegany County","MD",4,"CareFirst BlueCross BlueShield",3
2017,"24001","Allegany County","MD",4,"Cigna Healthcare",3
2017,"24003","Anne Arundel County","MD",1,"CareFirst BlueChoice",6
2017,"24003","Anne Arundel County","MD",1,"CareFirst BlueCross BlueShield",3
2017,"24003","Anne Arundel County","MD",1,"Cigna Healthcare",3
2017,"24003","Anne Arundel County","MD",1,"Kaiser Permanente",11
2017,"24005","Baltimore County","MD",1,"CareFirst BlueChoice",6
2017,"24005","Baltimore County","MD",1,"CareFirst BlueCross BlueShield",3
2017,"24005","Baltimore County","MD",1,"Cigna Healthcare",3
2017,"24005","Baltimore County","MD",1,"Kaiser Permanente",11
2017,"24009","Calvert County","MD",2,"CareFirst BlueChoice",6
2017,"24009","Calvert County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24009","Calvert County","MD",2,"Cigna Healthcare",3
2017,"24009","Calvert County","MD",2,"Kaiser Permanente",11
2017,"24011","Caroline County","MD",2,"CareFirst BlueChoice",6
2017,"24011","Caroline County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24011","Caroline County","MD",2,"Cigna Healthcare",3
2017,"24013","Carroll County","MD",4,"CareFirst BlueChoice",6
2017,"24013","Carroll County","MD",4,"CareFirst BlueCross BlueShield",3
2017,"24013","Carroll County","MD",4,"Cigna Healthcare",3
2017,"24013","Carroll County","MD",4,"Kaiser Permanente",11
2017,"24015","Cecil County","MD",2,"CareFirst BlueChoice",6
2017,"24015","Cecil County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24015","Cecil County","MD",2,"Cigna Healthcare",3
2017,"24017","Charles County","MD",2,"CareFirst BlueChoice",6
2017,"24017","Charles County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24017","Charles County","MD",2,"Cigna Healthcare",3
2017,"24017","Charles County","MD",2,"Kaiser Permanente",11
2017,"24019","Dorchester County","MD",2,"CareFirst BlueChoice",6
2017,"24019","Dorchester County","MD",2,"CareFirst BlueCross BlueShield",3
2017,"24019","Dorchester County","MD",2,"Cigna Healthcare",3
2017,"24021","Frederick County","MD",4,"CareFirst BlueChoice",6
2017,"24021","Frederick County","MD",4,"CareFirst BlueCross BlueShield",3
2017,"24021","Frederick County","MD",4,"Cigna Healthcare",3
