"year","state_code","rating_area","fips_county","county_name","issuer_name","issuer_id"
2014,"CA",6,"06001","Alameda County","Blue Cross of California(Anthem BC)",27603
2014,"CA",6,"06001","Alameda County","California Physicians’ Service, dba Blue Shield of California",70285
2014,"CA",6,"06001","Alameda County","Kaiser Foundation Health Plan, Inc.",40513
2014,"CA",1,"06003","Alpine County","Blue Cross of California(Anthem BC)",27603
2014,"CA",1,"06003","Alpine County","California Physicians’ Service, dba Blue Shield of California",70285
2014,"CA",1,"06005","Amador County","Blue Cross of California(Anthem BC)",27603
2014,"CA",1,"06005","Amador County","California Physicians’ Service, dba Blue Shield of California",70285
2014,"CA",1,"06005","Amador County","Kaiser Foundation Health Plan, Inc.",40513
2014,"CA",1,"06007","Butte County","Blue Cross of California(Anthem BC)",27603
2014,"CA",1,"06007","Butte County","California Physicians’ Service, dba Blue Shield of California",70285
2014,"CA",1,"06007","Butte County","Kaiser Foundation Health Plan, Inc.",40513
2014,"CA",1,"06009","Calaveras County","Blue Cross of California(Anthem BC)",27603
2014,"CA",1,"06009","Calaveras County","California Physicians’ Service, dba Blue Shield of California",70285
2014,"CA",1,"06009","Calaveras County","Kaiser Foundation Health Plan, Inc.",40513
2014,"CA",1,"06011","Colusa County","Blue Cross of California(Anthem BC)",27603
2014,"CA",1,"06011","Colusa County","California Physicians’ Service, dba Blue Shield of California",70285
2014,"CA",5,"06013","Contra Costa County","Blue Cross of California(Anthem BC)",27603
2014,"CA",5,"06013","Contra Costa County","California Physicians’ Service, dba Blue Shield of California",70285
2014,"CA",5,"06013","Contra Costa County","Contra Costa Health Plan",99483
2014,"CA",5,"06013","Contra Costa County","Health Net Life Insurance Company",99110
2014,"CA",5,"06013","Contra Costa County","Kaiser Foundation Health Plan, Inc.",40513
2014,"CA",1,"06015","Del Norte County","Blue Cross of California(Anthem BC)",27603
2014,"CA",1,"06015","Del Norte County","California Physicians’ Service, dba Blue Shield of California",70285
2014,"CA",3,"06017","El Dorado County","Blue Cross of California(Anthem BC)",27603
2014,"CA",3,"06017","El Dorado County","California Physicians’ Service, dba Blue Shield of California",70285
2014,"CA",3,"06017","El Dorado County","Kaiser Foundation Health Plan, Inc.",40513
2014,"CA",3,"06017","El Dorado County","Western Health Advantage",93689
2014,"CA",11,"06019","Fresno County","Blue Cross of California(Anthem BC)",27603
2014,"CA",11,"06019","Fresno County","California Physicians’ Service, dba Blue Shield of California",70285
