"year","fips_county","county_name","state_code","plan_selections","average_aptc_for_consumers_with_aptc"
"2016","08001","Adams County","CO",9810,255.099979831516
"2016","08003","Alamosa County","CO",315,339.337696811024
"2016","08005","Arapahoe County","CO",17492,257.015205414975
"2016","08007","Archuleta County","CO",809,521.450085627837
"2016","08009","Baca County","CO",166,302.489355984849
"2016","08011","Bent County","CO",84,394.775645322581
"2016","08013","Boulder County","CO",14518,242.972483542672
"2016","08014","Broomfield County","CO",2369,236.465137033801
"2016","08015","Chaffee County","CO",1450,317.884096069457
"2016","08017","Cheyenne County","CO",39,279.256333333333
"2016","08019","Clear Creek County","CO",401,297.674432345679
"2016","08021","Conejos County","CO",217,337.260814011628
"2016","08023","Costilla County","CO",77,416.096714285714
"2016","08025","Crowley County","CO",64,435.976428571428
"2016","08027","Custer County","CO",239,438.481864972376
"2016","08029","Delta County","CO",1165,581.470399484435
"2016","08031","Denver County","CO",22674,223.065975429678
"2016","08033","Dolores County","CO",79,563.69328358209
"2016","08035","Douglas County","CO",10397,237.8959519495
"2016","08037","Eagle County","CO",2921,296.687961082435
"2016","08041","El Paso County","CO",13009,234.644722956877
"2016","08039","Elbert County","CO",828,288.151318666667
"2016","08043","Fremont County","CO",919,368.632386737684
"2016","08045","Garfield County","CO",2307,446.662077545456
"2016","08047","Gilpin County","CO",228,272.72012345679
"2016","08049","Grand County","CO",869,451.720485685714
"2016","08051","Gunnison County","CO",1787,387.618520691949
"2016","08053","Hinsdale County","CO",44,484.313333333333
"2016","08055","Huerfano County","CO",199,431.470828402367
"2016","08057","Jackson County","CO",71,498.186363484848
"2016","08059","Jefferson County","CO",18598,252.522940735115
"2016","08061","Kiowa County","CO",50,324.972432432432
"2016","08063","Kit Carson County","CO",265,289.039385418995
"2016","08067","La Plata County","CO",3184,443.099750462287
"2016","08065","Lake County","CO",225,426.111292134831
"2016","08069","Larimer County","CO",12199,257.888907610051
"2016","08071","Las Animas County","CO",314,392.759512195122
"2016","08073","Lincoln County","CO",168,305.081550925926
"2016","08075","Logan County","CO",613,345.611670976864
"2016","08077","Mesa County","CO",4053,404.735827495226
"2016","08079","Mineral County","CO",71,353.000677966102
"2016","08081","Moffat County","CO",268,500.174177777778
"2016","08083","Montezuma County","CO",1050,528.576087446809
"2016","08085","Montrose County","CO",1825,519.930230082698
"2016","08087","Morgan County","CO",482,366.057685185185
"2016","08089","Otero County","CO",364,379.508221185898
"2016","08091","Ouray County","CO",510,493.256873399503
"2016","08093","Park County","CO",719,304.731956065892
"2016","08095","Phillips County","CO",155,342.808144422681
"2016","08097","Pitkin County","CO",1454,391.540280990908
"2016","08099","Prowers County","CO",291,345.593189612069
"2016","08101","Pueblo County","CO",2507,362.642531356915
"2016","08103","Rio Blanco County","CO",191,439.961511627907
"2016","08105","Rio Grande County","CO",408,354.886657089337
"2016","08107","Routt County","CO",2182,417.26470530415
"2016","08109","Saguache County","CO",238,375.111375714285
"2016","08111","San Juan County","CO",82,432.612686567164
"2016","08113","San Miguel County","CO",1119,399.253922342704
"2016","08115","Sedgwick County","CO",64,409.265
"2016","08117","Summit County","CO",1958,288.045068569464
"2016","08119","Teller County","CO",661,294.523511804009
"2016","08121","Washington County","CO",218,342.515932259887
"2016","08123","Weld County","CO",6618,273.53400918062
"2016","08125","Yuma County","CO",485,334.264257458746
"2017","08001","Adams County","CO",10776,301.339414737626
"2017","08003","Alamosa County","CO",301,496.411234567901
"2017","08005","Arapahoe County","CO",18260,300.209137884454
"2017","08007","Archuleta County","CO",754,651.468025889968
"2017","08009","Baca County","CO",179,435.298561643836
"2017","08011","Bent County","CO",83,489.940169491525
"2017","08013","Boulder County","CO",14867,289.041538430446
"2017","08014","Broomfield County","CO",2051,274.71398634166
"2017","08015","Chaffee County","CO",1485,447.619721166231
"2017","08017","Cheyenne County","CO",44,463.802121212121
"2017","08019","Clear Creek County","CO",217,391.280277361111
"2017","08021","Conejos County","CO",233,472.874093567251
"2017","08023","Costilla County","CO",80,630.661833333334
"2017","08025","Crowley County","CO",65,562.10085106383
"2017","08027","Custer County","CO",254,624.844399197861
"2017","08029","Delta County","CO",1140,814.242416328741
"2017","08031","Denver County","CO",23530,262.991751856708
"2017","08033","Dolores County","CO",77,779.1590625
"2017","08035","Douglas County","CO",11834,278.441316692939
"2017","08037","Eagle County","CO",3113,378.786816345346
"2017","08041","El Paso County","CO",13371,304.429580042206
"2017","08039","Elbert County","CO",534,382.250431878981
"2017","08043","Fremont County","CO",931,484.156109297297
"2017","08045","Garfield County","CO",2667,642.428286537766
"2017","08047","Gilpin County","CO",198,348.216818425197
"2017","08049","Grand County","CO",855,668.35013906815
"2017","08051","Gunnison County","CO",1628,575.543598992138
"2017","08053","Hinsdale County","CO",36,792.233055555555
"2017","08055","Huerfano County","CO",206,590.627919075145
"2017","08057","Jackson County","CO",80,758.428933333333
"2017","08059","Jefferson County","CO",22029,295.232809251663
"2017","08061","Kiowa County","CO",42,459.920303030303
"2017","08063","Kit Carson County","CO",283,443.331894736842
"2017","08067","La Plata County","CO",3576,473.646276836777
"2017","08065","Lake County","CO",234,655.889226804124
"2017","08069","Larimer County","CO",12289,333.275897940955
"2017","08071","Las Animas County","CO",353,536.080819112628
"2017","08073","Lincoln County","CO",130,455.680459770115
"2017","08075","Logan County","CO",571,517.207880952381
"2017","08077","Mesa County","CO",4463,577.014380599612
"2017","08079","Mineral County","CO",59,490.002268085107
"2017","08081","Moffat County","CO",283,792.891938281938
"2017","08083","Montezuma County","CO",1016,561.283979567496
"2017","08085","Montrose County","CO",1655,789.633527419812
"2017","08087","Morgan County","CO",513,531.796888267717
"2017","08089","Otero County","CO",353,515.441894243421
"2017","08091","Ouray County","CO",386,711.675392189542
"2017","08093","Park County","CO",745,402.983257172675
"2017","08095","Phillips County","CO",242,460.21564404908
"2017","08097","Pitkin County","CO",1167,587.403531218751
"2017","08099","Prowers County","CO",312,476.957720588235
"2017","08101","Pueblo County","CO",2394,431.74258542571
"2017","08103","Rio Blanco County","CO",173,634.707581699347
"2017","08105","Rio Grande County","CO",423,512.959473684211
"2017","08107","Routt County","CO",1938,613.689755792112
"2017","08109","Saguache County","CO",168,588.557196969697
"2017","08111","San Juan County","CO",53,633.359787021277
"2017","08113","San Miguel County","CO",1018,585.915887573965
"2017","08115","Sedgwick County","CO",58,505.452040816327
"2017","08117","Summit County","CO",2245,354.242125684597
"2017","08119","Teller County","CO",699,373.011684636175
"2017","08121","Washington County","CO",222,487.322841530055
"2017","08123","Weld County","CO",7767,339.520410008323
"2017","08125","Yuma County","CO",493,464.174852059172
