"year","fips_county","county_name","state_code","issuer_name","plans","issuer_id"
2014,"09001","Fairfield County","CT","Anthem Health Plans, Inc.",,86545
2014,"09001","Fairfield County","CT","ConnectiCare Benefits, Inc.",,76962
2014,"09001","Fairfield County","CT","HealthyCT, Inc.",,91069
2015,"09001","Fairfield County","CT","Anthem Health Plans, Inc.",,86545
2015,"09001","Fairfield County","CT","ConnectiCare Benefits, Inc.",,76962
2015,"09001","Fairfield County","CT","HealthyCT, Inc.",,91069
2015,"09001","Fairfield County","CT","UnitedHealthcare Insurance Company",,49650
2016,"09001","Fairfield County","CT","Anthem Health Plans, Inc.",,86545
2016,"09001","Fairfield County","CT","ConnectiCare Benefits, Inc.",,76962
2016,"09001","Fairfield County","CT","HealthyCT, Inc.",,91069
2016,"09001","Fairfield County","CT","UnitedHealthcare Insurance Company",,49650
2017,"09001","Fairfield County","CT","Anthem Health Plans, Inc.",12,86545
2017,"09001","Fairfield County","CT","ConnectiCare Benefits, Inc.",7,76962
2014,"09003","Hartford County","CT","Anthem Health Plans, Inc.",,86545
2014,"09003","Hartford County","CT","ConnectiCare Benefits, Inc.",,76962
2014,"09003","Hartford County","CT","HealthyCT, Inc.",,91069
2015,"09003","Hartford County","CT","Anthem Health Plans, Inc.",,86545
2015,"09003","Hartford County","CT","ConnectiCare Benefits, Inc.",,76962
2015,"09003","Hartford County","CT","HealthyCT, Inc.",,91069
2015,"09003","Hartford County","CT","UnitedHealthcare Insurance Company",,49650
2016,"09003","Hartford County","CT","Anthem Health Plans, Inc.",,86545
2016,"09003","Hartford County","CT","ConnectiCare Benefits, Inc.",,76962
2016,"09003","Hartford County","CT","HealthyCT, Inc.",,91069
2016,"09003","Hartford County","CT","UnitedHealthcare Insurance Company",,49650
2017,"09003","Hartford County","CT","Anthem Health Plans, Inc.",12,86545
2017,"09003","Hartford County","CT","ConnectiCare Benefits, Inc.",7,76962
2014,"09005","Litchfield County","CT","Anthem Health Plans, Inc.",,86545
2014,"09005","Litchfield County","CT","ConnectiCare Benefits, Inc.",,76962
2014,"09005","Litchfield County","CT","HealthyCT, Inc.",,91069
2015,"09005","Litchfield County","CT","Anthem Health Plans, Inc.",,86545
2015,"09005","Litchfield County","CT","ConnectiCare Benefits, Inc.",,76962
2015,"09005","Litchfield County","CT","HealthyCT, Inc.",,91069
2015,"09005","Litchfield County","CT","UnitedHealthcare Insurance Company",,49650
2016,"09005","Litchfield County","CT","Anthem Health Plans, Inc.",,86545
2016,"09005","Litchfield County","CT","ConnectiCare Benefits, Inc.",,76962
2016,"09005","Litchfield County","CT","HealthyCT, Inc.",,91069
2016,"09005","Litchfield County","CT","UnitedHealthcare Insurance Company",,49650
2017,"09005","Litchfield County","CT","Anthem Health Plans, Inc.",12,86545
2017,"09005","Litchfield County","CT","ConnectiCare Benefits, Inc.",7,76962
2014,"09007","Middlesex County","CT","Anthem Health Plans, Inc.",,86545
2014,"09007","Middlesex County","CT","ConnectiCare Benefits, Inc.",,76962
2014,"09007","Middlesex County","CT","HealthyCT, Inc.",,91069
