"year","fips_county","county_name","state_code","issuer_id","issuer_name","plans"
2015,"27001","Aitkin County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27001","Aitkin County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27001","Aitkin County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27001","Aitkin County","MN",85736,"UCare Minnesota",4
2015,"27003","Anoka County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27003","Anoka County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27003","Anoka County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27003","Anoka County","MN",65847,"Medica Health Plans of Wisconsin",24
2015,"27003","Anoka County","MN",85736,"UCare Minnesota",6
2015,"27005","Becker County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27005","Becker County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27005","Becker County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27005","Becker County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27007","Beltrami County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27007","Beltrami County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27007","Beltrami County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27007","Beltrami County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27009","Benton County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27009","Benton County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27009","Benton County","MN",65847,"Medica Health Plans of Wisconsin",16
2015,"27009","Benton County","MN",85736,"UCare Minnesota",4
2015,"27011","Big Stone County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27011","Big Stone County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27011","Big Stone County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27011","Big Stone County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27013","Blue Earth County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27013","Blue Earth County","MN",65847,"Medica Health Plans of Wisconsin",16
2015,"27015","Brown County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27015","Brown County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27015","Brown County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27015","Brown County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27017","Carlton County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27017","Carlton County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27017","Carlton County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27017","Carlton County","MN",85736,"UCare Minnesota",4
2015,"27019","Carver County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27019","Carver County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27019","Carver County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27019","Carver County","MN",65847,"Medica Health Plans of Wisconsin",16
2015,"27019","Carver County","MN",85736,"UCare Minnesota",6
2015,"27021","Cass County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27021","Cass County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27021","Cass County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27021","Cass County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27023","Chippewa County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27023","Chippewa County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27023","Chippewa County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27023","Chippewa County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27025","Chisago County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27025","Chisago County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27025","Chisago County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27025","Chisago County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27025","Chisago County","MN",85736,"UCare Minnesota",6
2015,"27027","Clay County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27027","Clay County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27027","Clay County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27027","Clay County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27029","Clearwater County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27029","Clearwater County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27029","Clearwater County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27029","Clearwater County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27031","Cook County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27031","Cook County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27031","Cook County","MN",85736,"UCare Minnesota",4
2015,"27033","Cottonwood County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27033","Cottonwood County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27033","Cottonwood County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27033","Cottonwood County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27035","Crow Wing County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27035","Crow Wing County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27035","Crow Wing County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27035","Crow Wing County","MN",85736,"UCare Minnesota",4
2015,"27037","Dakota County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27037","Dakota County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27037","Dakota County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27037","Dakota County","MN",65847,"Medica Health Plans of Wisconsin",24
2015,"27037","Dakota County","MN",85736,"UCare Minnesota",6
2015,"27039","Dodge County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27039","Dodge County","MN",65847,"Medica Health Plans of Wisconsin",16
2015,"27041","Douglas County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27041","Douglas County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27041","Douglas County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27041","Douglas County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27043","Faribault County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27043","Faribault County","MN",65847,"Medica Health Plans of Wisconsin",16
2015,"27045","Fillmore County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27045","Fillmore County","MN",65847,"Medica Health Plans of Wisconsin",16
2015,"27047","Freeborn County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27047","Freeborn County","MN",65847,"Medica Health Plans of Wisconsin",16
2015,"27049","Goodhue County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27049","Goodhue County","MN",65847,"Medica Health Plans of Wisconsin",16
2015,"27051","Grant County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27051","Grant County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27051","Grant County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27051","Grant County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27053","Hennepin County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27053","Hennepin County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27053","Hennepin County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27053","Hennepin County","MN",65847,"Medica Health Plans of Wisconsin",32
2015,"27053","Hennepin County","MN",85736,"UCare Minnesota",6
2015,"27055","Houston County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27055","Houston County","MN",65847,"Medica Health Plans of Wisconsin",16
2015,"27057","Hubbard County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27057","Hubbard County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27057","Hubbard County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27057","Hubbard County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27059","Isanti County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27059","Isanti County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27059","Isanti County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27059","Isanti County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27059","Isanti County","MN",85736,"UCare Minnesota",6
2015,"27061","Itasca County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27061","Itasca County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27063","Jackson County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27063","Jackson County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27063","Jackson County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27063","Jackson County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27065","Kanabec County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27065","Kanabec County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27065","Kanabec County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27065","Kanabec County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27065","Kanabec County","MN",85736,"UCare Minnesota",4
2015,"27067","Kandiyohi County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27067","Kandiyohi County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27067","Kandiyohi County","MN",57129,"HMO Minnesota dba Blue Plus",4
2015,"27067","Kandiyohi County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27069","Kittson County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27069","Kittson County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
2015,"27069","Kittson County","MN",65847,"Medica Health Plans of Wisconsin",8
2015,"27071","Koochiching County","MN",34102,"Group Health, Inc. dba HealthPartners",12
2015,"27071","Koochiching County","MN",49316,"Blue Cross Blue Shield of Minnesota",18
