"year","fips_county","issuer_name","state_code","county_name","issuer_id"
2014,"36001","Capital District Physicians Health Plan, Inc.","NY","Albany County",94788
2014,"36001","Empire HealthChoice HMO, Inc. dba Empire BlueCross","NY","Albany County",80519
2014,"36001","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Albany County",25303
2014,"36001","Freelancers Health Service Corporation","NY","Albany County",71644
2014,"36001","BlueShield of Northeastern New York","NY","Albany County",36346
2014,"36001","MVP Health Plan, Inc.","NY","Albany County",56184
2014,"36001","American Progressive Life & Health Insurance Company of New York dba Today's Options","NY","Albany County",31808
2014,"36003","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Allegany County",25303
2014,"36003","BlueCross BlueShield of Western New York","NY","Allegany County",49526
2014,"36003","Independent Health Benefits Corporation","NY","Allegany County",18029
2014,"36003","Excellus Health Plan, Inc. dba Univera Healthcare","NY","Allegany County",78124
2014,"36005","Affinity Health Plan","NY","Bronx County",57165
2014,"36005","Health Insurance Plan of Greater New York","NY","Bronx County",88582
2014,"36005","Empire HealthChoice HMO, Inc. dba Empire BlueCross BlueShield","NY","Bronx County",80519
2014,"36005","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Bronx County",25303
2014,"36005","Freelancers Health Service Corporation","NY","Bronx County",71644
2014,"36005","Healthfirst PHSP, Inc.","NY","Bronx County",91237
2014,"36005","MetroPlus Health Plan, Inc.","NY","Bronx County",11177
2014,"36005","Oscar Insurance Corporation","NY","Bronx County",74289
2014,"36005","UnitedHealthcare of New York, Inc.","NY","Bronx County",54235
2014,"36007","Capital District Physicians Health Plan, Inc.","NY","Broome County",94788
2014,"36007","Excellus Health Plan, Inc. dba Excellus BlueCross BlueShield","NY","Broome County",78124
2014,"36007","MVP Health Plan, Inc.","NY","Broome County",56184
2014,"36007","American Progressive Life & Health Insurance Company of New York dba Today's Options","NY","Broome County",31808
2014,"36009","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Cattaraugus County",25303
2014,"36009","BlueCross BlueShield of Western New York","NY","Cattaraugus County",49526
2014,"36009","Independent Health Benefits Corporation","NY","Cattaraugus County",18029
2014,"36009","American Progressive Life & Health Insurance Company of New York dba Today's Options","NY","Cattaraugus County",31808
2014,"36009","Excellus Health Plan, Inc. dba Univera Healthcare","NY","Cattaraugus County",78124
2014,"36011","Excellus Health Plan, Inc. dba Excellus BlueCross BlueShield","NY","Cayuga County",78124
2014,"36011","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Cayuga County",25303
2014,"36011","MVP Health Plan, Inc.","NY","Cayuga County",56184
2014,"36011","American Progressive Life & Health Insurance Company of New York dba Today's Options","NY","Cayuga County",31808
2014,"36013","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Chautauqua County",25303
2014,"36013","Freelancers Health Service Corporation","NY","Chautauqua County",71644
2014,"36013","BlueCross BlueShield of Western New York","NY","Chautauqua County",49526
2014,"36013","Independent Health Benefits Corporation","NY","Chautauqua County",18029
2014,"36013","Excellus Health Plan, Inc. dba Univera Healthcare","NY","Chautauqua County",78124
2014,"36015","Excellus Health Plan, Inc. dba Excellus BlueCross BlueShield","NY","Chemung County",78124
2014,"36015","American Progressive Life & Health Insurance Company of New York dba Today's Options","NY","Chemung County",31808
2014,"36017","Capital District Physicians Health Plan, Inc.","NY","Chenango County",94788
2014,"36017","Excellus Health Plan, Inc. dba Excellus BlueCross BlueShield","NY","Chenango County",78124
2014,"36017","MVP Health Plan, Inc.","NY","Chenango County",56184
2014,"36017","American Progressive Life & Health Insurance Company of New York dba Today's Options","NY","Chenango County",31808
2014,"36019","Empire HealthChoice HMO, Inc. dba Empire BlueCross","NY","Clinton County",80519
2014,"36019","Excellus Health Plan, Inc. dba Excellus BlueCross BlueShield","NY","Clinton County",78124
2014,"36019","BlueShield of Northeastern New York","NY","Clinton County",36346
2014,"36019","MVP Health Plan, Inc.","NY","Clinton County",56184
2014,"36021","Capital District Physicians Health Plan, Inc.","NY","Columbia County",94788
2014,"36021","Empire HealthChoice HMO, Inc. dba Empire BlueCross BlueShield","NY","Columbia County",80519
2014,"36021","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Columbia County",25303
2014,"36021","Freelancers Health Service Corporation","NY","Columbia County",71644
2014,"36021","BlueShield of Northeastern New York","NY","Columbia County",36346
2014,"36021","MVP Health Plan, Inc.","NY","Columbia County",56184
2014,"36023","Excellus Health Plan, Inc. dba Excellus BlueCross BlueShield","NY","Cortland County",78124
2014,"36023","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Cortland County",25303
2014,"36023","MVP Health Plan, Inc.","NY","Cortland County",56184
2014,"36023","American Progressive Life & Health Insurance Company of New York dba Today's Options","NY","Cortland County",31808
2014,"36025","Capital District Physicians Health Plan, Inc.","NY","Delaware County",94788
2014,"36025","Empire HealthChoice HMO, Inc. dba Empire BlueCross BlueShield","NY","Delaware County",80519
2014,"36025","Excellus Health Plan, Inc. dba Excellus BlueCross BlueShield","NY","Delaware County",78124
2014,"36025","Freelancers Health Service Corporation","NY","Delaware County",71644
2014,"36025","MVP Health Plan, Inc.","NY","Delaware County",56184
2014,"36025","American Progressive Life & Health Insurance Company of New York dba Today's Options","NY","Delaware County",31808
2014,"36027","Capital District Physicians Health Plan, Inc.","NY","Dutchess County",94788
2014,"36027","Empire HealthChoice HMO, Inc. dba Empire BlueCross BlueShield","NY","Dutchess County",80519
2014,"36027","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Dutchess County",25303
2014,"36027","Freelancers Health Service Corporation","NY","Dutchess County",71644
2014,"36027","MVP Health Plan, Inc.","NY","Dutchess County",56184
2014,"36027","American Progressive Life & Health Insurance Company of New York dba Today's Options","NY","Dutchess County",31808
2014,"36027","UnitedHealthcare of New York, Inc.","NY","Dutchess County",54235
2014,"36029","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Erie County",25303
2014,"36029","Freelancers Health Service Corporation","NY","Erie County",71644
2014,"36029","BlueCross BlueShield of Western New York","NY","Erie County",49526
2014,"36029","Independent Health Benefits Corporation","NY","Erie County",18029
2014,"36029","American Progressive Life & Health Insurance Company of New York dba Today's Options","NY","Erie County",31808
2014,"36029","Excellus Health Plan, Inc. dba Univera Healthcare","NY","Erie County",78124
2014,"36031","Capital District Physicians Health Plan, Inc.","NY","Essex County",94788
2014,"36031","Empire HealthChoice HMO, Inc. dba Empire BlueCross","NY","Essex County",80519
2014,"36031","Excellus Health Plan, Inc. dba Excellus BlueCross BlueShield","NY","Essex County",78124
2014,"36031","Freelancers Health Service Corporation","NY","Essex County",71644
2014,"36031","BlueShield of Northeastern New York","NY","Essex County",36346
2014,"36031","MVP Health Plan, Inc.","NY","Essex County",56184
2014,"36033","Excellus Health Plan, Inc. dba Excellus BlueCross BlueShield","NY","Franklin County",78124
2014,"36033","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Franklin County",25303
2014,"36033","MVP Health Plan, Inc.","NY","Franklin County",56184
2014,"36033","American Progressive Life & Health Insurance Company of New York dba Today's Options","NY","Franklin County",31808
2014,"36035","Capital District Physicians Health Plan, Inc.","NY","Fulton County",94788
2014,"36035","Empire HealthChoice HMO, Inc. dba Empire BlueCross","NY","Fulton County",80519
2014,"36035","Excellus Health Plan, Inc. dba Excellus BlueCross BlueShield","NY","Fulton County",78124
2014,"36035","New York State Catholic Health Plan, Inc. dba Fidelis Care","NY","Fulton County",25303
