issuer_name,counties
BridgeSpan,"Benton, Clark, Franklin, King, Kitsap, Pierce, Skagit, Snohomish, Spokane, Thurston, Walla Walla, Yakima"
Community Health Plan of Washington,"Adams, Benton, Chelan, Clark, Cowlitz, Douglas, Ferry, Franklin, Grant, Grays Harbor, King, Kitsap, Lewis, Okanogan, Pacific, Pend Oreille, Pierce, Skagit, Snohomish, Spokane, Stevens, Thurston, Wahkiakum, Walla Walla, Whatcom, Yakima"
Columbia United Providers,Clark
Coordinated Care,"Adams, Benton, Franklin, Grant, King, Snohomish, Spokane, Thurston, Walla Walla, Yakima, Chelan, Douglas, Lewis, Stevens, Jefferson, Lincoln"
Group Health Cooperative,"Kittitas, Yakima, Benton, Franklin, Walla Walla, Columbia, Island, San Juan, Skagit, Snohomish, Whatcom, King, Kitsap, Lewis, Mason, Pierce, Thurston, Spokane, Whitman"
Kaiser Permanente,"Clark, Cowlitz"
LifeWise,All counties
Moda,All counties
Molina,"King, Pierce, Spokane, Chelan, Okanogan, Grant, Douglas"
Premera Blue Cross,All counties except Clark
