rating_area,county_name,fips_county,state_code,zip_tested,issuer_names
1,Benewah County,16009,ID,83861,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans"
1,Bonner County,16017,ID,83860,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans"
1,Boundary County,16021,ID,83847,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans"
1,Kootenai County,16055,ID,83814,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
1,Shoshone County,16079,ID,83873,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans"
2,Clearwater County,16035,ID,83544,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans"
2,Idaho County,16049,ID,83525,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans"
2,Latah County,16057,ID,83871,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans"
2,Lewis County,16061,ID,83523,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans"
2,Nez Perce County,16069,ID,83524,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans"
3,Ada County,16001,ID,83634,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
3,Adams County,16003,ID,83612,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
3,Boise County,16015,ID,83631,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
3,Canyon County,16027,ID,83686,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
3,Elmore County,16039,ID,83647,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
3,Gem County,16045,ID,83617,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
3,Owyhee County,16073,ID,83604,"Blue Cross of Idaho Health Service, Inc.; BridgeSpan Health Company; Mountain Health Cooperative; PacificSource Health Plans; SelectHealth, Inc."
