county_name,effectuated_enrollment
Adams,392
Asotin,405
Benton,3527
Chelan,2819
Clallam,2341
Clark,11504
Columbia,111
Cowlitz,2065
Douglas,1086
Ferry,162
Franklin,1337
Garfield,67
Grant,2001
Grays Harbor,1492
Island,2213
Jefferson,1517
King,65363
Kitsap,5617
Kittitas,1056
Klickitat,670
Lewis,1318
Lincoln,322
Mason,1239
Okanogan,1520
Pacific,648
Pend Oreille,359
Pierce,16353
San Juan,1088
Skagit,2990
Skamania,266
Snohomish,18317
Spokane,12567
Stevens,1055
Thurston,5459
Wahkiakum,102
Walla Walla,1014
Whatcom,7754
Whitman,720
Yakima,3396
