county,Bright Health Plan,Cigna Health and Life Insurance Company,Colorado Choice Health Plans,"Denver Health Medical Plan, Inc",Anthem Blue Cross/Blue Shield (HMO Colorado Inc),Kaiser Foundation Health Plan of Colorado,Rocky Mountain Health Maintenance Organization,Total,rating_area
Boulder - 08013,6,15,,,15,20,,56,1
ElPaso - 08041,6,6,15,,15,20,,62,2
Teller - 08119,,,,,15,20,,35,2
Adams - 08001,,15,,7,15,20,,57,3
Arapahoe - 08005,6,15,,7,15,10,,53,3
Broomfield - 08014,6,15,,,15,10,,46,3
ClearCreek - 08019,,,,,15,10,,25,3
Denver - 08031,6,15,,7,15,10,,53,3
Douglas - 08035,6,15,,,15,20,,56,3
Elbert - 08039,,,15,,15,20,,50,3
Gilpin - 08047,,,,,15,10,,25,3
Jefferson - 08059,6,15,,7,15,10,,53,3
Park - 08093,,,,,15,20,,35,3
Larimer - 08069,,6,15,,15,20,,56,4
Mesa - 08077,,,,,15,,5,20,5
Weld - 08123,,6,15,,15,20,,56,6
Pueblo - 08101,,,,,15,20,,35,7
Alamosa - 08003,,,15,,15,,,30,8
Baca - 08009,,,15,,15,,,30,8
Bent - 08011,,,15,,15,,,30,8
Chaffee - 08015,,,15,,15,,,30,8
Cheyenne - 08017,,,15,,15,,,30,8
Conejos - 08021,,,15,,15,,,30,8
Costilla - 08023,,,15,,15,,,30,8
Crowley - 08025,,,15,,15,10,,40,8
Custer - 08027,,,15,,15,10,,40,8
Fremont - 08043,,,15,,15,20,,50,8
Huerfano - 08055,,,15,,15,10,,40,8
Kiowa - 08061,,,15,,15,,,30,8
KitCarson - 08063,,,15,,15,,,30,8
LasAnimas - 08071,,,15,,15,10,,40,8
Lincoln - 08073,,,15,,15,10,,40,8
Logan - 08075,,,15,,15,,,30,8
Mineral - 08079,,,15,,15,,,30,8
Morgan - 08087,,,15,,15,10,,40,8
Otero - 08089,,,15,,15,10,,40,8
Phillips - 08095,,,15,,15,,,30,8
Prowers - 08099,,,15,,15,,,30,8
RioGrande - 08105,,,15,,15,,,30,8
Saguache - 08109,,,15,,15,,,30,8
Sedgwick - 08115,,,15,,15,,,30,8
Washington - 08121,,,15,,15,,,30,8
Yuma - 08125,,,15,,15,,,30,8
Archuleta - 08007,,,,,19,,,19,9
Delta - 08029,,,,,15,,,15,9
Dolores - 08033,,,,,15,,,15,9
Eagle - 08037,,6,,,19,10,,35,9
Garfield - 08045,,,,,15,10,,25,9
Grand - 08049,,,,,15,10,,25,9
Gunnison - 08051,,,,,15,,,15,9
Hinsdale - 08053,,,,,15,,,15,9
Jackson - 08057,,,,,15,,,15,9
Lake - 08065,,,,,15,,,15,9
LaPlata - 08067,,6,,,19,,,25,9
Moffat - 08081,,,,,15,,,15,9
Montezuma - 08083,,6,,,19,,,25,9
Montrose - 08085,,,,,15,,,15,9
Ouray - 08091,,,,,15,,,15,9
Pitkin - 08097,,,,,15,,,15,9
RioBlanco - 08103,,,,,15,,,15,9
Routt - 08107,,,,,15,10,,25,9
SanJuan - 08111,,,,,15,,,15,9
SanMiguel - 08113,,,,,15,,,15,9
Summit - 08117,6,6,,,19,10,,41,9
