"postcode","pc_name","pc_type","pa_name","pa_fips","city_town","county","area_sqmi","shape_area","shape_len","zip3"
"01923","DANVERS","NON UNIQUE","DANVERS","16285","DANVERS, TOWN OF","Essex","14.172582","36705757.1636","31568.9813658","019"
"01960","PEABODY","NON UNIQUE","PEABODY","52490","PEABODY","Essex","16.722166","43308580.6012","30757.6583599","019"
"01915","BEVERLY","NON UNIQUE","BEVERLY","05595","BEVERLY","Essex","15.800085","40920794.4196","40040.8599879","019"
"02539","EDGARTOWN","NON UNIQUE","EDGARTOWN","21115","EDGARTOWN, TOWN OF","Dukes","28.34665","73427223.6729","99793.2293661","025"
"01037","HARDWICK","PO BOX","HARDWICK","28705","HARDWICK, TOWN OF","Worcester","13.731628","35562555.6171","36745.6314947","010"
"02370","ROCKLAND","NON UNIQUE","ROCKLAND","57810","ROCKLAND, TOWN OF","Plymouth","10.133726","26244400.3283","24725.0020455","023"
"01522","JEFFERSON","NON UNIQUE","JEFFERSON","32590","HOLDEN, TOWN OF","Worcester","14.203475","36784597.1826","33073.5692898","015"
"02139","CAMBRIDGE","NON UNIQUE","CAMBRIDGE","11000","CAMBRIDGE","Middlesex","1.863471","4826061.4588","11951.2190679","021"
"01104","SPRINGFIELD","NON UNIQUE","SPRINGFIELD","67000","SPRINGFIELD","Hampden","5.823264","15081129.2441","31229.8798856","011"
"01534","NORTHBRIDGE","NON UNIQUE","NORTHBRIDGE","46890","NORTHBRIDGE, TOWN OF","Worcester","8.953651","23188222.3024","34436.0856487","015"
"02144","SOMERVILLE","NON UNIQUE","SOMERVILLE","62535","SOMERVILLE","Middlesex","1.184236","3066976.41554","11896.9945593","021"
"02535","CHILMARK","NON UNIQUE","CHILMARK","13765","CHILMARK, TOWN OF","Dukes","28.207431","73067706.2885","59910.3216654","025"
"01003","AMHERST","NON UNIQUE","AMHERST","01290","AMHERST, TOWN OF","Hampshire","1.181147","3058972.0078","10610.0133564","010"
"02420","LEXINGTON","NON UNIQUE","LEXINGTON","35250","LEXINGTON, TOWN OF","Middlesex","7.387237","19131879.2183","26759.3215657","024"
"01886","WESTFORD","NON UNIQUE","WESTFORD","76100","WESTFORD, TOWN OF","Middlesex","31.48859","81552960.2504","37830.9578637","018"
"01949","MIDDLETON","NON UNIQUE","MIDDLETON","41130","MIDDLETON, TOWN OF","Essex","14.500287","37554754.5741","30302.5274448","019"
"02021","CANTON","NON UNIQUE","CANTON","11350","CANTON, TOWN OF","Norfolk","19.617741","50806103.9292","32844.9434866","020"
"02191","NORTH WEYMOUTH","NON UNIQUE","NORTH WEYMOUTH","49725","WEYMOUTH, TOWN OF","Norfolk","2.142618","5548962.50828","27016.862557","021"
"01235","HINSDALE","NON UNIQUE","HINSDALE","30280","PERU, TOWN OF","Berkshire","47.759754","123690397.931","49286.4048945","012"
"02715","DIGHTON","NON UNIQUE","DIGHTON","16915","DIGHTON, TOWN OF","Bristol","10.960683","28387282.2882","35536.9489482","027"
"02351","ABINGTON","NON UNIQUE","ABINGTON","00135","ABINGTON, TOWN OF","Plymouth","10.224808","26480297.3925","24450.1467068","023"
"02066","SCITUATE","NON UNIQUE","SCITUATE","60295","SCITUATE, TOWN OF","Plymouth","16.828359","43582141.7368","57516.4482206","020"
"01096","WILLIAMSBURG","NON UNIQUE","WILLIAMSBURG","79880","ASHFIELD, TOWN OF","Franklin","0.458704","1187979.06287","5209.65570455","010"
"02534","CATAUMET","PO BOX","CATAUMET","11805","BOURNE, TOWN OF","Barnstable","1.352593","3503254.65374","17449.6725897","025"
"01803","BURLINGTON","NON UNIQUE","BURLINGTON","09875","BURLINGTON, TOWN OF","Middlesex","11.353682","29404620.1357","23585.8062174","018"
"01266","WEST STOCKBRIDGE","NON UNIQUE","WEST STOCKBRIDGE","77955","WEST STOCKBRIDGE, TOWN OF","Berkshire","26.223617","67914294.3614","58942.8062882","012"
"01904","LYNN","NON UNIQUE","LYNN","37490","LYNN","Essex","4.894589","12676350.4714","24370.3430686","019"
"01843","LAWRENCE","NON UNIQUE","LAWRENCE","34550","LAWRENCE","Essex","3.397769","8800190.64573","16708.1771084","018"
"02145","SOMERVILLE","NON UNIQUE","SOMERVILLE","62535","SOMERVILLE","Middlesex","1.381492","3577833.35202","9284.79303136","021"
"01240","LENOX","NON UNIQUE","LENOX","34935","LENOX, TOWN OF","Berkshire","23.151261","59957735.3405","37627.024406","012"
"01255","SANDISFIELD","NON UNIQUE","SANDISFIELD","59630","SANDISFIELD, TOWN OF","Berkshire","44.147083","114332662.171","63122.7791048","012"
"01050","HUNTINGTON","NON UNIQUE","HUNTINGTON","31750","CHESTER, TOWN OF","Hampden","10.023207","25958205.8879","46086.8225983","010"
"01740","BOLTON","NON UNIQUE","BOLTON","06330","BOLTON, TOWN OF","Worcester","19.886742","51503618.1656","30307.1784229","017"
"01748","HOPKINTON","NON UNIQUE","HOPKINTON","31050","HOPKINTON, TOWN OF","Middlesex","27.891288","72232968.5844","36358.962115","017"
"02134","ALLSTON","NON UNIQUE","ALLSTON","01150","BOSTON","Suffolk","1.34209","3475776.13722","14280.1182013","021"
"01026","CUMMINGTON","NON UNIQUE","CUMMINGTON","16005","CUMMINGTON, TOWN OF","Hampshire","24.794984","64215458.3362","43911.0981051","010"
"02111","BOSTON","NON UNIQUE","BOSTON","07000","BOSTON","Suffolk","0.193477","501069.729555","3366.59025445","021"
"02184","BRAINTREE","NON UNIQUE","BRAINTREE","07700","BRAINTREE, TOWN OF","Norfolk","14.361298","37192939.5886","29214.7141086","021"
"01107","SPRINGFIELD","NON UNIQUE","SPRINGFIELD","67000","SPRINGFIELD","Hampden","1.484244","3843906.76702","11618.2619937","011"
"01568","UPTON","NON UNIQUE","UPTON","71445","UPTON, TOWN OF","Worcester","21.567581","55855812.3857","36015.4009876","015"
"01057","MONSON","NON UNIQUE","MONSON","42110","MONSON, TOWN OF","Hampden","43.873684","113624649.22","48194.6864541","010"
"02650","NORTH CHATHAM","NON UNIQUE","NORTH CHATHAM","47275","CHATHAM, TOWN OF","Barnstable","1.721849","4459585.40591","22495.6302823","026"
"01985","WEST NEWBURY","NON UNIQUE","WEST NEWBURY","77115","WEST NEWBURY, TOWN OF","Essex","13.718846","35532905.8326","29195.7328109","019"
"01005","BARRE","NON UNIQUE","BARRE","03705","BARRE, TOWN OF","Worcester","43.126598","111691045.768","45486.9443506","010"
"02557","OAK BLUFFS","PO BOX","OAK BLUFFS","50425","OAK BLUFFS, TOWN OF","Dukes","0.075034","194356.151793","2914.03133158","025"
"02379","WEST BRIDGEWATER","NON UNIQUE","WEST BRIDGEWATER","75225","WEST BRIDGEWATER, TOWN OF","Plymouth","15.653459","40539775.9173","27307.9892658","023"
"01434","DEVENS","NON UNIQUE","DEVENS","16840","HARVARD, TOWN OF","Worcester","4.163151","10782105.8979","15929.6322298","014"
"01702","FRAMINGHAM","NON UNIQUE","FRAMINGHAM","24960","FRAMINGHAM, TOWN OF","Middlesex","8.877736","22991637.1584","25027.6824858","017"
"01776","SUDBURY","NON UNIQUE","SUDBURY","68225","SUDBURY, TOWN OF","Middlesex","25.313124","65556687.7759","45030.2235385","017"
"02660","SOUTH DENNIS","NON UNIQUE","SOUTH DENNIS","63655","DENNIS, TOWN OF","Barnstable","8.113566","21014086.4593","38905.5159326","026"
"02639","DENNIS PORT","NON UNIQUE","DENNIS PORT","16810","DENNIS, TOWN OF","Barnstable","3.112446","8061317.74732","14456.8840852","026"
"01068","OAKHAM","NON UNIQUE","OAKHAM","50635","OAKHAM, TOWN OF","Worcester","21.256316","55050057.9348","31566.1236013","010"
"02343","HOLBROOK","NON UNIQUE","HOLBROOK","30420","HOLBROOK, TOWN OF","Norfolk","7.368116","19081988.0753","18118.6231764","023"
"02790","WESTPORT","NON UNIQUE","WESTPORT","77570","WESTPORT, TOWN OF","Bristol","59.559998","154265801.957","111210.735711","027"
"02050","MARSHFIELD","NON UNIQUE","MARSHFIELD","38820","MARSHFIELD, TOWN OF","Plymouth","29.407259","76159207.2876","119587.601633","020"
"01346","HEATH","NON UNIQUE","HEATH","29615","HEATH, TOWN OF","Franklin","9.569228","24784030.411","26551.3213306","013"
"01524","LEICESTER","NON UNIQUE","LEICESTER","34760","LEICESTER, TOWN OF","Worcester","18.092109","46855039.0303","36904.7847187","015"
"01337","BERNARDSTON","NON UNIQUE","BERNARDSTON","05525","BERNARDSTON, TOWN OF","Franklin","33.158197","85879672.8578","47689.953946","013"
"01062","FLORENCE","NON UNIQUE","FLORENCE","24050","NORTHAMPTON","Hampshire","16.928599","43841934.1366","46436.1525456","010"
"02382","WHITMAN","NON UNIQUE","WHITMAN","79565","WHITMAN, TOWN OF","Plymouth","6.885125","17831196.6781","18998.1845457","023"
"01040","HOLYOKE","NON UNIQUE","HOLYOKE","30840","HOLYOKE","Hampden","22.506006","58286147.5819","42888.8872578","010"
"01778","WAYLAND","NON UNIQUE","WAYLAND","73755","WAYLAND, TOWN OF","Middlesex","15.381215","39834629.092","40960.5457686","017"
"01588","WHITINSVILLE","NON UNIQUE","WHITINSVILLE","79495","NORTHBRIDGE, TOWN OF","Worcester","9.552956","24740324.4482","34862.9132828","015"
"02149","EVERETT","NON UNIQUE","EVERETT","21990","EVERETT","Middlesex","3.511854","9095127.62425","16156.9774746","021"
"02644","FORESTDALE","NON UNIQUE","FORESTDALE","24190","SANDWICH, TOWN OF","Barnstable","7.170016","18570388.39","21884.246479","026"
"01367","ROWE","NON UNIQUE","ROWE","58300","ROWE, TOWN OF","Franklin","24.39516","63183451.5994","40638.9526967","013"
"01008","BLANDFORD","NON UNIQUE","BLANDFORD","06050","BLANDFORD, TOWN OF","Hampden","51.332949","132942295.876","52630.2179266","010"
"01507","CHARLTON","NON UNIQUE","CHARLTON","12680","CHARLTON, TOWN OF","Worcester","43.91709","113736799.167","45885.2635264","015"
"02649","MASHPEE","NON UNIQUE","MASHPEE","39065","MASHPEE, TOWN OF","Barnstable","25.02529","64817271.9822","89307.1478352","026"
"01301","GREENFIELD","NON UNIQUE","GREENFIELD","27060","GREENFIELD, TOWN OF","Franklin","29.967913","77615410.1962","55524.7299331","013"
"02645","HARWICH","NON UNIQUE","HARWICH","28985","HARWICH","Barnstable","17.784504","46061812.9496","52938.9054711","026"
"02188","WEYMOUTH","NON UNIQUE","WEYMOUTH","78900","WEYMOUTH, TOWN OF","Norfolk","3.574167","9256388.74463","26603.2916499","021"
"01718","VILLAGE OF NAGOG WOODS","NON UNIQUE","VILLAGE OF NAGOG WOODS","00345","ACTON, TOWN OF","Middlesex","0.121579","314875.026867","2221.50102961","017"
"01770","SHERBORN","NON UNIQUE","SHERBORN","61345","SHERBORN, TOWN OF","Middlesex","16.216347","41997165.2178","30317.7581609","017"
"02189","EAST WEYMOUTH","NON UNIQUE","EAST WEYMOUTH","20835","WEYMOUTH, TOWN OF","Norfolk","4.385735","11358191.3576","25861.9012648","021"
"01008","BLANDFORD","NON UNIQUE","BLANDFORD","06050","OTIS, TOWN OF","Berkshire","3.357365","8694918.13859","18301.5349278","010"
"02472","WATERTOWN","NON UNIQUE","WATERTOWN","73440","WATERTOWN","Middlesex","4.147362","10740945.9834","19518.6821819","024"
"01082","WARE","NON UNIQUE","WARE","72845","HARDWICK, TOWN OF","Worcester","17.239648","44647596.5235","32983.4569112","010"
"01930","GLOUCESTER","NON UNIQUE","GLOUCESTER","26150","GLOUCESTER","Essex","27.510419","71250487.7489","105080.089516","019"
"02767","RAYNHAM","NON UNIQUE","RAYNHAM","56025","RAYNHAM, TOWN OF","Bristol","24.264252","62840978.6859","49298.1978688","027"
"01945","MARBLEHEAD","NON UNIQUE","MARBLEHEAD","38435","MARBLEHEAD, TOWN OF","Essex","4.397457","11388856.1585","31894.7869265","019"
"01096","WILLIAMSBURG","NON UNIQUE","WILLIAMSBURG","79880","WILLIAMSBURG, TOWN OF","Hampshire","38.147784","98796666.403","59181.6190318","010"
"01905","LYNN","NON UNIQUE","LYNN","37490","LYNN","Essex","3.807252","9860246.88113","22193.7380316","019"
"01073","SOUTHAMPTON","NON UNIQUE","SOUTHAMPTON","62710","SOUTHAMPTON, TOWN OF","Hampshire","28.929843","74922631.0936","43653.2400672","010"
"01745","FAYVILLE","NON UNIQUE","FAYVILLE","23420","SOUTHBOROUGH, TOWN OF","Worcester","0.276695","716587.658706","4296.55116058","017"
"01756","MENDON","NON UNIQUE","MENDON","40220","MENDON, TOWN OF","Worcester","18.065943","46787404.5553","30457.9486561","017"
"02668","WEST BARNSTABLE","NON UNIQUE","WEST BARNSTABLE","74805","BARNSTABLE","Barnstable","16.328789","42291434.4748","99443.8822517","026"
"02121","DORCHESTER","NON UNIQUE","DORCHESTER","17090","BOSTON","Suffolk","1.139248","2950437.62976","10952.3837115","021"
"02635","COTUIT","NON UNIQUE","COTUIT","15515","BARNSTABLE","Barnstable","5.404302","13997481.3623","32615.8370786","026"
"01529","MILLVILLE","NON UNIQUE","MILLVILLE","41620","MILLVILLE, TOWN OF","Worcester","4.963427","12854400.7374","17502.2124385","015"
"01106","LONGMEADOW","NON UNIQUE","LONGMEADOW","36335","LONGMEADOW, TOWN OF","Hampden","9.374011","24277016.005","24174.7991446","011"
"01379","WENDELL","NON UNIQUE","WENDELL","74490","WENDELL, TOWN OF","Franklin","32.13619","83229576.734","38957.5416152","013"
"02562","SAGAMORE BEACH","NON UNIQUE","SAGAMORE BEACH","59000","BOURNE, TOWN OF","Barnstable","2.300246","5957488.48464","10613.338237","025"
"01523","LANCASTER","NON UNIQUE","LANCASTER","34130","LANCASTER, TOWN OF","Worcester","27.927064","72327350.4911","43209.0304976","015"
"01253","OTIS","NON UNIQUE","OTIS","51545","OTIS, TOWN OF","Berkshire","41.23055","106779041.653","60260.9034313","012"
"02601","HYANNIS","NON UNIQUE","HYANNIS","31820","BARNSTABLE","Barnstable","10.155497","26303011.0321","43493.994494","026"
"01119","SPRINGFIELD","NON UNIQUE","SPRINGFIELD","67000","SPRINGFIELD","Hampden","3.507182","9082926.65294","17635.4495396","011"
"02176","MELROSE","NON UNIQUE","MELROSE","40115","MELROSE","Middlesex","4.760824","12329840.8731","15043.9899435","021"
"01070","PLAINFIELD","NON UNIQUE","PLAINFIELD","53995","PLAINFIELD, TOWN OF","Hampshire","20.939157","54229963.4364","31075.1036496","010"
"01473","WESTMINSTER","NON UNIQUE","WESTMINSTER","76975","WESTMINSTER, TOWN OF","Worcester","37.248548","96470056.2215","52757.2568106","014"
"01259","SOUTHFIELD","NON UNIQUE","SOUTHFIELD","63830","NEW MARLBOROUGH, TOWN OF","Berkshire","25.503369","66049026.1724","44725.4217478","012"
"01834","GROVELAND","NON UNIQUE","GROVELAND","27585","GROVELAND, TOWN OF","Essex","9.391529","24324465.3494","23672.0705332","018"
"01264","TYRINGHAM","PO BOX","TYRINGHAM","71060","TYRINGHAM, TOWN OF","Berkshire","12.066037","31248673.5261","25939.9364658","012"
"01092","WEST WARREN","PO BOX","WEST WARREN","78445","WARREN, TOWN OF","Worcester","4.716068","12213687.9041","23064.6296843","010"
"02554","NANTUCKET","NON UNIQUE","NANTUCKET","43755","NANTUCKET, TOWN OF","Nantucket","44.415722","115057427.831","169767.684216","025"
"01453","LEOMINSTER","NON UNIQUE","LEOMINSTER","35075","LEOMINSTER","Worcester","28.158366","72926895.6271","45086.9303612","014"
"02215","BOSTON","NON UNIQUE","BOSTON","07000","BOSTON","Suffolk","0.910827","2358878.03331","14591.2857807","022"
