"zip3","county_name","rating_area","state_code"
"025","Barnstable",7,"MA"
"026","Barnstable",7,"MA"
"010","Berkshire",1,"MA"
"012","Berkshire",1,"MA"
"013","Berkshire",1,"MA"
"020","Bristol",3,"MA"
"023","Bristol",6,"MA"
"027","Bristol",6,"MA"
"027","Dukes",6,"MA"
"025","Dukes",7,"MA"
"018","Essex",4,"MA"
"019","Essex",4,"MA"
"010","Franklin",1,"MA"
"012","Franklin",1,"MA"
"013","Franklin",1,"MA"
"010","Hampden",1,"MA"
"011","Hampden",1,"MA"
"015","Hampden",2,"MA"
"010","Hampshire",1,"MA"
"012","Hampshire",1,"MA"
"014","Middlesex",2,"MA"
"017","Middlesex",3,"MA"
"018","Middlesex",4,"MA"
"021","Middlesex",5,"MA"
"024","Middlesex",5,"MA"
"025","Nantucket",7,"MA"
"020","Norfolk",3,"MA"
"021","Norfolk",5,"MA"
"024","Norfolk",5,"MA"
"023","Norfolk",6,"MA"
"027","Norfolk",6,"MA"
"020","Plymouth",3,"MA"
"023","Plymouth",6,"MA"
"027","Plymouth",6,"MA"
"025","Plymouth",7,"MA"
"021","Suffolk",5,"MA"
"022","Suffolk",5,"MA"
"024","Suffolk",5,"MA"
"010","Worcester",1,"MA"
"013","Worcester",1,"MA"
"014","Worcester",2,"MA"
"015","Worcester",2,"MA"
"016","Worcester",2,"MA"
"017","Worcester",3,"MA"
