county_name,rating_area,Anthem HMO, Anthem PPO, Anthem OPM, Care Source, Humana, KYHC PPO, KYHC OPM, WellCare
Adair,4,,X,X,,,X,X,
Allen,4,,X,X,,,X,X,
Anderson,5,X,X,X,,,X,X,
Ballard,1,X,X,X,,,X,X,
Barren,4,,X,X,,,X,X,
Bath,7,,X,X,,,X,X,
Bell,8,,X,X,,,X,X,
Boone,6,X,X,X,X,X,X,X,X
Bourbon,5,X,X,X,X,X,X,X,
Boyd,7,,X,X,,,X,X,
Boyle,5,,X,X,,,X,X,
Bracken,7,,X,X,,,X,X,
Breathitt,8,,X,X,,,X,X,
Breckinridge,3,,X,X,,,X,X,
Bullitt,3,X,X,X,X,X,X,X,X
Butler,4,,X,X,,,X,X,
Caldwell,1,,X,X,,,X,X,
Calloway,1,,X,X,,,X,X,
Campbell,6,X,X,X,X,X,X,X,X
Carlisle,1,,X,X,,,X,X,
Carroll,3,,X,X,,,X,X,
Carter,7,,X,X,,,X,X,
Casey,4,,X,X,,,X,X,
Christian,2,,X,X,,,X,X,
Clark,5,X,X,X,X,X,X,X,
Clay,8,,X,X,,,X,X,X
Clinton,4,,X,X,,,X,X,
Crittenden,1,,X,X,,,X,X,
Cumberland,4,,X,X,,,X,X,
Daviess,2,,X,X,,,X,X,
Edmonson,4,,X,X,,,X,X,
Elliott,7,,X,X,,,X,X,
Estill,5,X,X,X,,,X,X,
Fayette,5,X,X,X,X,X,X,X,X
Fleming,7,,X,X,,,X,X,
Floyd,8,,X,X,,,X,X,
Franklin,5,X,X,X,,,X,X,
Fulton,1,,X,X,,,X,X,
Gallatin,6,,X,X,,X,X,X,
Garrard,5,X,X,X,,,X,X,
Grant,6,,X,X,X,X,X,X,
Graves,1,,X,X,,,X,X,
Grayson,3,,X,X,,,X,X,
Green,4,,X,X,,,X,X,
Greenup,7,,X,X,,,X,X,
Hancock,2,,X,X,,,X,X,
Hardin,3,X,X,X,,,X,X,
Harlan,8,,X,X,,,X,X,X
Harrison,5,,X,X,,,X,X,
Hart,4,,X,X,,,X,X,
Henderson,2,,X,X,,,X,X,
Henry,3,X,X,X,,,X,X,
Hickman,1,,X,X,,,X,X,
Hopkins,2,,X,X,,,X,X,
Jackson,5,X,X,X,,,X,X,
Jefferson,3,X,X,X,X,X,X,X,X
Jessamine,5,X,X,X,X,X,X,X,X
Johnson,8,,X,X,,,X,X,
Kenton,6,X,X,X,X,X,X,X,X
Knott,8,,X,X,,,X,X,
Knox,8,,X,X,,,X,X,
Larue,3,X,X,X,,,X,X,
Laurel,8,,X,X,,,X,X,X
Lawrence,7,,X,X,,,X,X,
Lee,8,,X,X,,,X,X,
Leslie,8,,X,X,,,X,X,X
Letcher,8,,X,X,,,X,X,
Lewis,7,,X,X,,,X,X,
Lincoln,5,,X,X,,,X,X,
Livingston,1,,X,X,,,X,X,
Logan,4,,X,X,,,X,X,
Lyon,1,,X,X,,,X,X
Madison,5,X,X,X,X,,X,X
Magoffin,8,,X,X,,,X,X
Marion,3,,X,X,,,X,X
Marshall,1,,X,X,,,X,X
Martin,8,,X,X,,,X,X
Mason,7,,X,X,,,X,X
McCracken,1,X,X,X,,,X,X
McCreary,4,,X,X,,,X,X
McLean,2,,X,X,,,X,X
Meade,3,,X,X,,,X,X
Menifee,7,,X,X,,,X,X
Mercer,5,X,X,X,,,X,X
Metcalfe,4,,X,X,,,X,X
Monroe,4,,X,X,,,X,X
Montgomery,5,X,X,X,,,X,X
Morgan,7,,X,X,,,X,X
Muhlenberg,2,,X,X,,,X,X
Nelson,3,X,X,X,,,X,X
Nicholas,5,X,X,X,,,X,X
Ohio,2,,X,X,,,X,X
Oldham,3,X,X,X,X,X,X,X
Owen,5,,X,X,,,X,X
Owsley,8,,X,X,,,X,X
Pendleton,6,,X,X,X,X,X,X
Perry,8,,X,X,,,X,X
Pike,8,,X,X,,,X,X
Powell,5,,X,X,,,X,X
Pulaski,4,,X,X,,,X,X
Robertson,7,,X,X,,,X,X
Rockcastle,5,X,X,X,,,X,X
Rowan,7,,X,X,,,X,X
Russell,4,,X,X,,,X,X
Scott,5,X,X,X,X,X,X,X
Shelby,3,X,X,X,X,,X,X
Simpson,4,,X,X,,,X,X
Spencer,3,X,X,X,,,X,X,
Taylor,4,,X,X,,,X,X,
Todd,2,,X,X,,,X,X,
Trigg,2,,X,X,,,X,X,
Trimble,3,X,X,X,,,X,X,
Union,2,,X,X,,,X,X,
Warren,4,,X,X,,,X,X,X
Washington,3,X,X,X,,,X,X,
Wayne,4,,X,X,,,X,X,
Webster,2,,X,X,,,X,X,
Whitley,8,,X,X,,,X,X,
Wolfe,8,,X,X,,,X,X,
Woodford,5,X,X,X,X,X,X,X,
