"","AffinityHealthPlan","CapitalDistrictPhysiciansHealth Plan","Health InsurancePlan of GreaterNew York(EmblemHealth)","EmpireBlueCross","EmpireBlueCrossBlueShield","ExcellusBlueCrossBlueShield","Excellus dbaUniveraHealthcare","FidelisCare","HealthfirstNew York","HealthNow dbaBlueShield ofNortheasternNew York","HealthNow dbaBlueCrossBlueShield ofWestern NewYork","IndependentHealth","MetroPlusHealth Plan","MVPHealthPlan","NorthShoreLIJ","OscarInsurance","UnitedHealthcare",Wellcare
Albany,,x,x,x,,,,x,,x,,,,x,,,,x
Allegany,,,,,,,x,x,,,x,x,,,,,,
Bronx,x,,x,,x,,,x,x,,,,x,,x,x,x,x
Broome,,x,x,,,x,,x,,,,,,x,,,,
Cattaraugus,,,,,,,x,x,,,x,x,,,,,,
Cayuga,,,,,,x,,x,,,,,,x,,,,
Chautauqua,,,,,,,x,x,,,x,x,,,,,,
Chemung,,,,,,x,,x,,,,,,,,,,
Chenango,,x,,,,x,,x,,,,,,x,,,,
Clinton,,,,x,,x,,,,x,,,,x,,,,
Columbia,,x,x,,x,,,x,,x,,,,x,,,,
Cortland,,,,,,x,,x,,,,,,x,,,,
Delaware,,x,x,,x,x,,x,,,,,,x,,,,
Dutchess,,x,x,,x,,,x,,,,,,x,,,x,x
Erie,,,,,,,x,x,,,x,x,,,,,,
Essex,,x,,x,,x,,x,,x,,,,x,,,,
Franklin,,,,,,x,,x,,,,,,x,,,,
Fulton,,x,x,x,,x,,x,,x,,,,x,,,,
Genesee,,,,,,,x,x,,,x,x,,x,,,,
Greene,,x,x,,x,,,x,,x,,,,x,,,,
Hamilton,,x,,,,x,,x,,,,,,x,,,,
Herkimer,,x,,,,x,,,,,,,,x,,,,
Jefferson,,,,,,x,,x,,,,,,x,,,,
Kings,x,,x,,x,,,x,x,,,,x,,x,x,x,x
Lewis,,,,,,x,,x,,,,,,x,,,,
Livingston,,,,,,x,,x,,,,,,x,,,,
Madison,,x,,,,x,,x,,,,,,x,,,,
Monroe,,,,,,x,,x,,,,,,x,,,,
Montgomery,,x,x,x,,x,,,,x,,,,x,,,,
Nassau,x,,x,,x,,,x,x,,,,,,x,x,x,
New York,x,,x,,x,,,x,x,,,,x,,,x,x,x
Niagara,,,,,,,x,x,,,x,x,,,,,,
Oneida,,x,,,,x,,x,,,,,,x,,,,
Onondaga,,,,,,x,,x,,,,,,x,,,,
Ontario,,,,,,x,,x,,,,,,x,,,,
Orange,x,x,x,,x,,,x,,,,,,x,,,x,x
Orleans,,,,,,,x,x,,,x,x,,x,,,,
Oswego,,,,,,x,,x,,,,,,x,,,,
Otsego,,x,x,,,x,,,,,,,,x,,,,
Putnam,,,x,,x,,,x,,,,,,x,,,x,
Queens,x,,x,,x,,,x,x,,,,x,,x,x,x,x
Rensselaer,,x,x,x,,,,x,,x,,,,x,,,,x
Richmond,x,,x,,x,,,x,x,,,,,,x,x,x,
Rockland,x,,x,,x,,,x,,,,,,x,,x,x,x
Saint Lawrence,,,,,,x,,x,,,,,,x,,,,
Saratoga,,x,x,x,,,,x,,x,,,,x,,,,
Schenectady,,x,x,x,,,,x,,x,,,,x,,,,
Schoharie,,x,x,x,,,,,,,,,,x,,,,
Schuyler,,,,,,x,,x,,,,,,,,,,
Seneca,,,,,,x,,x,,,,,,x,,,,
Steuben,,,,,,x,,x,,,,,,x,,,,
Suffolk,x,,x,,x,,,x,x,,,,,,x,x,x,
Sullivan,,,x,,x,,,x,,,,,,x,,,x,
Tioga,,x,,,,x,,x,,,,,,x,,,,
Tompkins,,,,,,x,,,,,,,,x,,,,
Ulster,,x,x,,x,,,,,,,,,x,,,x,x
Warren,,x,x,x,,,,x,,x,,,,x,,,,
Washington,,x,x,x,,,,x,,x,,,,x,,,,
Wayne,,,,,,x,,x,,,,,,x,,,,
Westchester,x,,x,,x,,,x,,,,,,x,x,x,x,
Wyoming,,,,,,,x,x,,,x,x,,x,,,,
Yates,,,,,,x,,x,,,,,,x,,,,
