"year","fips_county","county_name","state_code","plan_selections"
2017,"50001","Addison County","VT",2148
2017,"50003","Bennington County","VT",2148
2017,"50005","Caledonia County","VT",1227
2017,"50007","Chittenden County","VT",7057
2017,"50009","Essex County","VT",307
2017,"50011","Franklin County","VT",1534
2017,"50013","Grand Isle County","VT",307
2017,"50015","Lamoille County","VT",1534
2017,"50017","Orange County","VT",1534
2017,"50019","Orleans County","VT",1227
2017,"50021","Rutland County","VT",2761
2017,"50023","Washington County","VT",2761
2017,"50025","Windham County","VT",2761
2017,"50027","Windsor County","VT",3068
