"year","fips_county","county_name","state_code","plan_selections"
2017,"53001","Adams County","WA",392
2017,"53003","Asotin County","WA",405
2017,"53005","Benton County","WA",3527
2017,"53007","Chelan County","WA",2819
2017,"53009","Clallam County","WA",2341
2017,"53011","Clark County","WA",11504
2017,"53013","Columbia County","WA",111
2017,"53015","Cowlitz County","WA",2065
2017,"53017","Douglas County","WA",1086
2017,"53019","Ferry County","WA",162
2017,"53021","Franklin County","WA",1337
2017,"53023","Garfield County","WA",67
2017,"53025","Grant County","WA",2001
2017,"53027","Grays Harbor County","WA",1492
2017,"53029","Island County","WA",2213
2017,"53031","Jefferson County","WA",1517
2017,"53033","King County","WA",65363
2017,"53035","Kitsap County","WA",5617
2017,"53037","Kittitas County","WA",1056
2017,"53039","Klickitat County","WA",670
2017,"53041","Lewis County","WA",1318
2017,"53043","Lincoln County","WA",322
2017,"53045","Mason County","WA",1239
2017,"53047","Okanogan County","WA",1520
2017,"53049","Pacific County","WA",648
2017,"53051","Pend Oreille County","WA",359
2017,"53053","Pierce County","WA",16353
2017,"53055","San Juan County","WA",1088
2017,"53057","Skagit County","WA",2990
2017,"53059","Skamania County","WA",266
2017,"53061","Snohomish County","WA",18317
2017,"53063","Spokane County","WA",12567
2017,"53065","Stevens County","WA",1055
2017,"53067","Thurston County","WA",5459
2017,"53069","Wahkiakum County","WA",102
2017,"53071","Walla Walla County","WA",1014
2017,"53073","Whatcom County","WA",7754
2017,"53075","Whitman County","WA",720
2017,"53077","Yakima County","WA",3396
