year,fips_county,county_name,state_code,plan_selections,plan_selections_noaptc,plan_selections_aptc,plan_selections_nocsr,plan_selections_csr,average_aptc_for_consumers_with_aptc,percent_aptc
2015,1001,Autauga County,AL,1736,206,1530,487,1249,,0.881336406
2015,1003,Baldwin County,AL,9684,1151,8533,3050,6634,,0.881144155
2015,1005,Barbour County,AL,805,86,719,220,585,,0.893167702
2015,1007,Bibb County,AL,557,58,499,179,378,,0.895870736
2015,1009,Blount County,AL,1832,138,1694,492,1340,,0.924672489
2015,1011,Bullock County,AL,292,35,257,65,227,,0.880136986
2015,1013,Butler County,AL,714,78,636,177,537,,0.890756303
2015,1015,Calhoun County,AL,3525,363,3162,1011,2514,,0.897021277
2015,1017,Chambers County,AL,1013,87,926,230,783,,0.914116486
2015,1019,Cherokee County,AL,759,60,699,177,582,,0.920948617
2015,1021,Chilton County,AL,1726,135,1591,453,1273,,0.921784473
2015,1023,Choctaw County,AL,573,56,517,156,417,,0.902268761
2015,1025,Clarke County,AL,1001,84,917,233,768,,0.916083916
2015,1027,Clay County,AL,423,42,381,127,296,,0.90070922
2015,1029,Cleburne County,AL,516,60,456,129,387,,0.88372093
2015,1031,Coffee County,AL,1311,151,1160,358,953,,0.884820748
2015,1033,Colbert County,AL,1811,214,1597,510,1301,,0.881833241
2015,1035,Conecuh County,AL,559,57,502,124,435,,0.8980322
2015,1037,Coosa County,AL,363,53,310,100,263,,0.85399449
2015,1039,Covington County,AL,1239,120,1119,308,931,,0.9031477
2015,1041,Crenshaw County,AL,482,45,437,129,353,,0.906639004
2015,1043,Cullman County,AL,2805,297,2508,813,1992,,0.894117647
2015,1045,Dale County,AL,1293,155,1138,372,921,,0.880123743
2015,1047,Dallas County,AL,1522,158,1364,366,1156,,0.896189225
2015,1049,DeKalb County,AL,2692,186,2506,619,2073,,0.930906389
2015,1051,Elmore County,AL,2378,283,2095,730,1648,,0.880992431
2015,1053,Escambia County,AL,1016,91,925,264,752,,0.910433071
2015,1055,Etowah County,AL,4024,316,3708,930,3094,,0.921471173
2015,1057,Fayette County,AL,474,45,429,139,335,,0.905063291
2015,1059,Franklin County,AL,900,77,823,255,645,,0.914444444
2015,1061,Geneva County,AL,898,96,802,241,657,,0.893095768
2015,1063,Greene County,AL,311,32,279,86,225,,0.897106109
2015,1065,Hale County,AL,505,62,443,164,341,,0.877227723
2015,1067,Henry County,AL,668,58,610,161,507,,0.913173653
2015,1069,Houston County,AL,3787,390,3397,1099,2688,,0.897016108
2015,1071,Jackson County,AL,1842,178,1664,484,1358,,0.903365907
2015,1073,Jefferson County,AL,23892,3091,20801,7328,16564,,0.870626151
2015,1075,Lamar County,AL,442,31,411,141,301,,0.929864253
2015,1077,Lauderdale County,AL,3319,390,2929,1002,2317,,0.882494727
2015,1079,Lawrence County,AL,1276,94,1182,358,918,,0.926332288
2015,1081,Lee County,AL,4832,543,4289,1465,3367,,0.887624172
2015,1083,Limestone County,AL,2840,285,2555,859,1981,,0.899647887
2015,1085,Lowndes County,AL,450,40,410,106,344,,0.911111111
2015,1087,Macon County,AL,695,73,622,158,537,,0.894964029
2015,1089,Madison County,AL,13392,1710,11682,4071,9321,,0.872311828
2015,1091,Marengo County,AL,706,76,630,199,507,,0.892351275
2015,1093,Marion County,AL,936,81,855,232,704,,0.913461538
2015,1095,Marshall County,AL,3234,283,2951,864,2370,,0.91249227
2015,1097,Mobile County,AL,18043,1969,16074,4717,13326,,0.890871806
2015,1099,Monroe County,AL,931,61,870,174,757,,0.934479055
2015,1101,Montgomery County,AL,8358,1045,7313,2258,6100,,0.874970089
2015,1103,Morgan County,AL,4309,413,3896,1220,3089,,0.904154096
2015,1105,Perry County,AL,323,50,273,72,251,,0.845201238
2015,1107,Pickens County,AL,542,39,503,127,415,,0.92804428
2015,1109,Pike County,AL,873,99,774,253,620,,0.886597938
2015,1111,Randolph County,AL,750,59,691,211,539,,0.921333333
2015,1113,Russell County,AL,1767,177,1590,464,1303,,0.899830221
2015,1115,St. Clair County,AL,2763,243,2520,783,1980,,0.912052117
2015,1117,Shelby County,AL,7248,1005,6243,2558,4690,,0.86134106
2015,1119,Sumter County,AL,483,41,442,98,385,,0.915113872
2015,1121,Talladega County,AL,2330,237,2093,649,1681,,0.898283262
2015,1123,Tallapoosa County,AL,1452,139,1313,417,1035,,0.904269972
2015,1125,Tuscaloosa County,AL,5534,814,4720,1737,3797,,0.852909288
2015,1127,Walker County,AL,2021,188,1833,549,1472,,0.906976744
2015,1129,Washington County,AL,533,41,492,147,386,,0.923076923
2015,1131,Wilcox County,AL,409,40,369,108,301,,0.902200489
2015,1133,Winston County,AL,902,76,826,234,668,,0.915742794
2015,2013,Aleutians East Borough,AK,29,,,11,18,,
2015,2016,Aleutians West Census Area,AK,34,11,23,18,16,,0.676470588
2015,2020,Anchorage Municipality,AK,8748,1084,7664,3835,4913,,0.876085963
2015,2050,Bethel Census Area,AK,83,18,65,26,57,,0.78313253
2015,2060,Bristol Bay Borough,AK,29,,,16,13,,
2015,2068,Denali Borough,AK,163,,,86,77,,
2015,2070,Dillingham Census Area,AK,39,,,13,26,,
2015,2090,Fairbanks North Star Borough,AK,2114,230,1884,963,1151,,0.891201514
2015,2100,Haines Borough,AK,266,20,246,148,118,,0.92481203
2015,2105,Hoonah-Angoon Census Area,AK,119,,,40,79,,
2015,2110,Juneau City and Borough,AK,1078,153,925,584,494,,0.858070501
2015,2122,Kenai Peninsula Borough,AK,2528,211,2317,1071,1457,,0.91653481
2015,2130,Ketchikan Gateway Borough,AK,501,42,459,270,231,,0.916167665
2015,2150,Kodiak Island Borough,AK,706,46,660,394,312,,0.934844193
2015,2164,Lake and Peninsula Borough,AK,36,,,16,20,,
2015,2170,Matanuska-Susitna Borough,AK,2934,341,2593,1368,1566,,0.883776414
2015,2180,Nome Census Area,AK,61,15,46,26,35,,0.754098361
2015,2185,North Slope Borough,AK,35,,,15,20,,
2015,2188,Northwest Arctic Borough,AK,15,,,,,,
2015,2195,Petersburg Census Area,AK,211,29,182,128,83,,0.862559242
2015,2198,Prince of Wales-Hyder Census Area,AK,102,17,85,60,42,,0.833333333
2015,2220,Sitka City and Borough,AK,477,55,422,247,230,,0.884696017
