"year","fips_county","state_code","county_name","rating_area","issuer_name","issuer_id","humana","anthem","aetna","cigna","centene","highmark","molina","wellmark","uhc_va","plans"
2014,"01001","AL","Autauga County",11,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01003","AL","Baldwin County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01005","AL","Barbour County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01007","AL","Bibb County",3,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01009","AL","Blount County",3,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01011","AL","Bullock County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01013","AL","Butler County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01015","AL","Calhoun County",1,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01017","AL","Chambers County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01019","AL","Cherokee County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01021","AL","Chilton County",3,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01023","AL","Choctaw County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01025","AL","Clarke County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01027","AL","Clay County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01029","AL","Cleburne County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01031","AL","Coffee County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01033","AL","Colbert County",7,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01035","AL","Conecuh County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01037","AL","Coosa County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01039","AL","Covington County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01041","AL","Crenshaw County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01043","AL","Cullman County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01045","AL","Dale County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01047","AL","Dallas County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01049","AL","DeKalb County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01051","AL","Elmore County",11,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01053","AL","Escambia County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01055","AL","Etowah County",8,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01057","AL","Fayette County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01059","AL","Franklin County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01061","AL","Geneva County",6,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01063","AL","Greene County",12,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01065","AL","Hale County",12,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01067","AL","Henry County",6,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01069","AL","Houston County",6,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01071","AL","Jackson County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01073","AL","Jefferson County",3,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01073","AL","Jefferson County",3,"Humana Insurance Company",44580,1,0,0,0,0,0,0,0,0,5
2014,"01075","AL","Lamar County",13,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01077","AL","Lauderdale County",7,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01079","AL","Lawrence County",5,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01081","AL","Lee County",2,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01083","AL","Limestone County",9,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
2014,"01085","AL","Lowndes County",11,"Blue Cross and Blue Shield of Alabama",46944,0,0,0,0,0,0,0,0,0,7
