"fips_county","state_code","fips_state","county_name"
"01001","AL","01","Autauga County"
"01003","AL","01","Baldwin County"
"01005","AL","01","Barbour County"
"01007","AL","01","Bibb County"
"01009","AL","01","Blount County"
"01011","AL","01","Bullock County"
"01013","AL","01","Butler County"
"01015","AL","01","Calhoun County"
"01017","AL","01","Chambers County"
"01019","AL","01","Cherokee County"
"01021","AL","01","Chilton County"
"01023","AL","01","Choctaw County"
"01025","AL","01","Clarke County"
"01027","AL","01","Clay County"
"01029","AL","01","Cleburne County"
"01031","AL","01","Coffee County"
"01033","AL","01","Colbert County"
"01035","AL","01","Conecuh County"
"01037","AL","01","Coosa County"
"01039","AL","01","Covington County"
"01041","AL","01","Crenshaw County"
"01043","AL","01","Cullman County"
"01045","AL","01","Dale County"
"01047","AL","01","Dallas County"
"01049","AL","01","DeKalb County"
"01051","AL","01","Elmore County"
"01053","AL","01","Escambia County"
"01055","AL","01","Etowah County"
"01057","AL","01","Fayette County"
"01059","AL","01","Franklin County"
"01061","AL","01","Geneva County"
"01063","AL","01","Greene County"
"01065","AL","01","Hale County"
"01067","AL","01","Henry County"
"01069","AL","01","Houston County"
"01071","AL","01","Jackson County"
"01073","AL","01","Jefferson County"
"01075","AL","01","Lamar County"
"01077","AL","01","Lauderdale County"
"01079","AL","01","Lawrence County"
"01081","AL","01","Lee County"
"01083","AL","01","Limestone County"
"01085","AL","01","Lowndes County"
"01087","AL","01","Macon County"
"01089","AL","01","Madison County"
"01091","AL","01","Marengo County"
"01093","AL","01","Marion County"
"01095","AL","01","Marshall County"
"01097","AL","01","Mobile County"
"01099","AL","01","Monroe County"
"01101","AL","01","Montgomery County"
"01103","AL","01","Morgan County"
"01105","AL","01","Perry County"
"01107","AL","01","Pickens County"
"01109","AL","01","Pike County"
"01111","AL","01","Randolph County"
"01113","AL","01","Russell County"
"01115","AL","01","St. Clair County"
"01117","AL","01","Shelby County"
"01119","AL","01","Sumter County"
"01121","AL","01","Talladega County"
"01123","AL","01","Tallapoosa County"
"01125","AL","01","Tuscaloosa County"
"01127","AL","01","Walker County"
"01129","AL","01","Washington County"
"01131","AL","01","Wilcox County"
"01133","AL","01","Winston County"
"02013","AK","02","Aleutians East Borough"
"02016","AK","02","Aleutians West Census Area"
"02020","AK","02","Anchorage Municipality"
"02050","AK","02","Bethel Census Area"
"02060","AK","02","Bristol Bay Borough"
"02068","AK","02","Denali Borough"
"02070","AK","02","Dillingham Census Area"
"02090","AK","02","Fairbanks North Star Borough"
"02100","AK","02","Haines Borough"
"02105","AK","02","Hoonah-Angoon Census Area"
"02110","AK","02","Juneau City and Borough"
"02122","AK","02","Kenai Peninsula Borough"
"02130","AK","02","Ketchikan Gateway Borough"
"02150","AK","02","Kodiak Island Borough"
"02164","AK","02","Lake and Peninsula Borough"
"02170","AK","02","Matanuska-Susitna Borough"
"02180","AK","02","Nome Census Area"
"02185","AK","02","North Slope Borough"
"02188","AK","02","Northwest Arctic Borough"
"02195","AK","02","Petersburg Census Area"
"02198","AK","02","Prince of Wales-Hyder Census Area"
"02220","AK","02","Sitka City and Borough"
"02230","AK","02","Skagway Municipality"
"02240","AK","02","Southeast Fairbanks Census Area"
"02261","AK","02","Valdez-Cordova Census Area"
"02270","AK","02","Wade Hampton Census Area"
"02275","AK","02","Wrangell City and Borough"
"02282","AK","02","Yakutat City and Borough"
"02290","AK","02","Yukon-Koyukuk Census Area"
"04001","AZ","04","Apache County"
"04003","AZ","04","Cochise County"
"04005","AZ","04","Coconino County"
"04007","AZ","04","Gila County"
"04009","AZ","04","Graham County"
"04011","AZ","04","Greenlee County"
"04012","AZ","04","La Paz County"
"04013","AZ","04","Maricopa County"
"04015","AZ","04","Mohave County"
"04017","AZ","04","Navajo County"
"04019","AZ","04","Pima County"
"04021","AZ","04","Pinal County"
"04023","AZ","04","Santa Cruz County"
"04025","AZ","04","Yavapai County"
"04027","AZ","04","Yuma County"
"05001","AR","05","Arkansas County"
"05003","AR","05","Ashley County"
"05005","AR","05","Baxter County"
"05007","AR","05","Benton County"
"05009","AR","05","Boone County"
"05011","AR","05","Bradley County"
"05013","AR","05","Calhoun County"
"05015","AR","05","Carroll County"
"05017","AR","05","Chicot County"
"05019","AR","05","Clark County"
"05021","AR","05","Clay County"
"05023","AR","05","Cleburne County"
"05025","AR","05","Cleveland County"
"05027","AR","05","Columbia County"
"05029","AR","05","Conway County"
"05031","AR","05","Craighead County"
"05033","AR","05","Crawford County"
"05035","AR","05","Crittenden County"
