"year","state_code","issuer_id","issuer_name","market","source"
2014,"AK",11082,"Aetna Life Insurance Company","Individual","URR"
2015,"AK",11082,"Aetna Life Insurance Company","Small Group","URR"
2016,"AK",11082,"Aetna Life Insurance Company","Small Group","URR"
2017,"AK",11082,"Aetna Life Insurance Company","Small Group","URR"
2014,"AK",38344,"Premera Blue Shield Blue Cross","Individual","URR"
2014,"AK",38344,"Premera Blue Cross Blue Shield of Alaska","Small Group","URR"
2015,"AK",38344,"Premera Blue Shield Blue Cross","Individual","URR"
2015,"AK",38344,"Premera Blue Shield Blue Cross of Alaska","Small Group","URR"
2016,"AK",38344,"Premera Blue Shield Blue Cross","Individual","URR"
2016,"AK",38344,"Premera Blue Shield Blue Cross of Alaska","Small Group","URR"
2017,"AK",38344,"Premera Blue Shield Blue Cross","Small Group","URR"
2017,"AK",38344,"Premera Blue Shield Blue Cross","Individual","URR"
2015,"AK",38596,"Time Insurance Company","Individual","URR"
2015,"AK",38596,"Time Insurance Company","Small Group","URR"
2015,"AK",62637,"John Alden Life Insurance Company","Small Group","URR"
2014,"AK",73836,"Moda Health Plan, Inc.","Small Group","URR"
2014,"AK",73836,"Moda Health Plan, Inc.","Individual","URR"
2015,"AK",73836,"Moda Health Plan, Inc.","Small Group","URR"
2015,"AK",73836,"Moda Health Plan, Inc.","Individual","URR"
2016,"AK",73836,"Moda Health Plan, Inc","Small Group","URR"
2016,"AK",73836,"Moda Health Plan, Inc.","Individual","URR"
2017,"AK",73836,"Moda Health Plan, Inc","Small Group","URR"
2014,"AK",80049,"UnitedHealthcare Insurance Company","Small Group","URR"
2015,"AK",80049,"UnitedHealthcare Insurance Company","Small Group","URR"
2016,"AK",80049,"UnitedHealthcare Insurance Company","Small Group","URR"
2017,"AK",80049,"UnitedHealthcare Insurance Company","Small Group","URR"
2014,"AK",84982,"Celtic Insurance Company","Individual","URR"
2015,"AK",84982,"Celtic Insurance Company","Individual","URR"
2016,"AK",84982,"Celtic Insurance Company","Individual","URR"
2014,"AL",13939,"Time Insurance Company","Small Group","URR"
2014,"AL",13939,"Time Insurance Company","Individual","URR"
2015,"AL",13939,"Time Insurance Company","Small Group","URR"
2015,"AL",13939,"Time Insurance Company","Individual","URR"
2014,"AL",20563,"Standard Security Life Insurance Company of New York","Small Group","URR"
2014,"AL",42159,"All Savers Insurance Company","Small Group","URR"
2016,"AL",42159,"All Savers Insurance Company","Small Group","URR"
2017,"AL",42159,"All Savers Insurance Company","Small Group","URR"
2014,"AL",44580,"Humana Insurance Company","Individual","URR"
2014,"AL",44580,"Humana Insurance Company","Small Group","URR"
2015,"AL",44580,"Humana Insurance Company","Individual","URR"
2016,"AL",44580,"Humana Insurance Company","Individual","URR"
2014,"AL",44902,"Federated Mutual Insurance Company","Small Group","URR"
2015,"AL",44902,"Federated Mutual Insurance Company","Small Group","URR"
2016,"AL",44902,"Federated Mutual Insurance Company","Small Group","URR"
2017,"AL",44902,"Federated Mutual Insurance Company","Small Group","URR"
2014,"AL",46944,"Blue Cross and Blue Shield of Alabama","Individual","URR"
2014,"AL",46944,"Blue Cross and Blue Shield of Alabama","Small Group","URR"
2015,"AL",46944,"Blue Cross and Blue Shield of Alabama","Small Group","URR"
2015,"AL",46944,"Blue Cross and Blue Shield of Alabama","Individual","URR"
2016,"AL",46944,"Blue Cross and Blue Shield of Alabama","Small Group","URR"
2016,"AL",46944,"Blue Cross and Blue Shield of Alabama","Individual","URR"
2017,"AL",46944,"Blue Cross and Blue Shield of Alabama","Individual","URR"
2017,"AL",46944,"Blue Cross and Blue Shield of Alabama","Small Group","URR"
2014,"AL",49771,"John Alden Life Insurance Company","Small Group","URR"
2015,"AL",49771,"John Alden Life Insurance Company","Small Group","URR"
2014,"AL",53932,"Celtic Insurance Company","Individual","URR"
2015,"AL",53932,"Celtic Insurance Company","Individual","URR"
2016,"AL",53932,"Celtic Insurance Company","Individual","URR"
2014,"AL",59809,"UnitedHealthcare Life Insurance Company","Small Group","URR"
2015,"AL",59809,"UnitedHealthcare Life Insurance Company","Individual","URR"
2016,"AL",59809,"UnitedHealthcare Life Insurance Company","Individual","URR"
2014,"AL",68259,"UnitedHealthcare of Alabama, Inc.","Small Group","URR"
2014,"AL",68259,"United Healthcare of Alabama, Inc.","Small Group","URR"
2015,"AL",68259,"UnitedHealthcare of Alabama","Individual","URR"
2015,"AL",68259,"United Healthcare of Alabama, Inc.","Small Group","URR"
2016,"AL",68259,"UnitedHealthcare of Alabama, Inc.","Individual","URR"
2016,"AL",68259,"UnitedHealthcare of Alabama","Small Group","URR"
2017,"AL",68259,"United Healthcare of Alabama","Small Group","URR"
2014,"AL",69461,"UnitedHealthcare Insurance Company","Small Group","URR"
2015,"AL",69461,"UnitedHealthcare Insurance Company","Small Group","URR"
2016,"AL",69461,"UnitedHealthcare Insurance Company","Small Group","URR"
2017,"AL",69461,"UnitedHealthcare Insurance Company","Small Group","URR"
2014,"AL",74575,"GOLDEN RULE INSURANCE COMPANY","Individual","URR"
2014,"AL",93018,"VIVA Health, Inc.","Small Group","URR"
2015,"AL",93018,"VIVA Health, Inc.","Small Group","URR"
2016,"AL",93018,"VIVA Health, Inc.","Small Group","URR"
2017,"AL",93018,"VIVA Health, Inc.","Small Group","URR"
2014,"AL",93122,"Freedom Life Insurance Company of America","Individual","URR"
2015,"AL",93122,"Freedom Life Insurance Company of America","Individual","URR"
2016,"AL",93122,"Freedom Life Insurance Company of America","Individual","URR"
2017,"AL",93122,"Freedom Life Insurance Company of America","Individual","URR"
2014,"AR",13262,"HMO Partners, Inc. d/b/a Health Advantage","Small Group","URR"
2016,"AR",13262,"HMO Partners, Inc. d/b/a Health Advantage","Small Group","URR"
2017,"AR",13262,"HMO Partners, Inc. d/b/a Health Advantage","Small Group","URR"
2015,"AR",22732,"UnitedHealthcare Insurance Company of the River Valley","Small Group","URR"
2016,"AR",22732,"United Healthcare Insurance Company of the River Valley","Small Group","URR"
2017,"AR",22732,"United Healthcare Insurance Company of the River Valley","Small Group","URR"
2015,"AR",30991,"Time Insurance Company","Individual","URR"
2015,"AR",30991,"Time Insurance Company","Small Group","URR"
2014,"AR",37903,"QualChoice Life and Health Insurance Company, Inc.","Small Group","URR"
2015,"AR",37903,"QualChoice Life & Health Insurance Company, Inc.","Small Group","URR"
2015,"AR",37903,"QualChoice Life & Health Insurance Company, Inc.","Individual","URR"
2016,"AR",37903,"QualChoice Life and Health Insurance Company, Inc.","Small Group","URR"
2016,"AR",37903,"QualChoice Life and Health Insurance Company, Inc.","Individual","URR"
2017,"AR",37903,"QualChoice Life and Health Insurance Company, Inc.","Individual","URR"
2017,"AR",37903,"QualChoice Life and Health Insurance Company, Inc.","Small Group","URR"
2015,"AR",51826,"John Alden Life Insurance Company","Small Group","URR"
2014,"AR",53135,"UnitedHealthcare Life Insurance Company","Individual","URR"
2015,"AR",53135,"UnitedHealthcare Life Insurance Company","Individual","URR"
2016,"AR",53135,"UnitedHealthcare Life Insurance Company","Individual","URR"
2015,"AR",60079,"Coventry Health and Life","Small Group","URR"
2015,"AR",60079,"Coventry Health and Life","Individual","URR"
2016,"AR",60079,"Coventry Health & Life Insurance Company","Small Group","URR"
2016,"AR",60079,"Coventry Health & Life Insurance Company","Individual","URR"
2017,"AR",60079,"Coventry Health & Life Insurance Company","Individual","URR"
2014,"AR",61273,"Freedom Life Insurance Company of America","Individual","URR"
2015,"AR",61273,"Freedom Life Insurance Company of America","Individual","URR"
2016,"AR",61273,"Freedom Life Insurance Company of America","Individual","URR"
2017,"AR",61273,"Freedom Life Insurance Company of America","Individual","URR"
2014,"AR",62141,"Celtic Insurance Company","Individual","URR"
2015,"AR",62141,"Celtic Insurance Company","Individual","URR"
2016,"AR",62141,"Celtic Insurance Company","Individual","URR"
2017,"AR",62141,"Celtic Insurance Company","Individual","URR"
2014,"AR",65817,"UnitedHealthcare of Arkansas, Inc.","Small Group","URR"
2015,"AR",65817,"UnitedHealthcare of Arkansas, Inc.","Small Group","URR"
2016,"AR",65817,"UnitedHealthcare of Arkansas, Inc.","Individual","URR"
2016,"AR",65817,"UnitedHealthcare of Arkansas, Inc.","Small Group","URR"
2017,"AR",65817,"UnitedHealthcare of Arkansas, Inc.","Small Group","URR"
2014,"AR",70525,"QCA Health Plan, Inc.","Individual","URR"
2014,"AR",70525,"QCA Health Plan, Inc.","Small Group","URR"
2015,"AR",70525,"QCA Health Plan, Inc.","Individual","URR"
2015,"AR",70525,"QCA Health Plan, Inc.","Small Group","URR"
2016,"AR",70525,"QCA Health Plan, Inc.","Small Group","URR"
2016,"AR",70525,"QCA Health Plan, Inc.","Individual","URR"
2017,"AR",70525,"QCA Health Plan Inc.","Small Group","URR"
2017,"AR",70525,"QCA Health Plan Inc.","Individual","URR"
2014,"AR",75293,"USAble Mutual Insurance Company","Individual","URR"
2014,"AR",75293,"USAble Mutual Insurance Company","Small Group","URR"
2015,"AR",75293,"Arkansas Blue Cross and Blue Shield, Inc.","Small Group","URR"
