"year","fips_county","county_name","state_code","issuer_name"
2017,"25001","Barnstable County","MA","Boston Medical Center HealthNet Plan"
2017,"25001","Barnstable County","MA","Neighborhood Health Plan"
2017,"25001","Barnstable County","MA","Tufts Health Plan"
2017,"25001","Barnstable County","MA","Ambetter from CeltiCare Health"
2017,"25001","Barnstable County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25001","Barnstable County","MA","Harvard Pilgrim Health Care"
2017,"25003","Berkshire County","MA","Fallon Health"
2017,"25003","Berkshire County","MA","Health New England"
2017,"25003","Berkshire County","MA","Tufts Health Plan"
2017,"25003","Berkshire County","MA","Ambetter from CeltiCare Health"
2017,"25003","Berkshire County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25003","Berkshire County","MA","Harvard Pilgrim Health Care"
2017,"25005","Bristol County","MA","Boston Medical Center HealthNet Plan"
2017,"25005","Bristol County","MA","Fallon Health"
2017,"25005","Bristol County","MA","Minuteman Health"
2017,"25005","Bristol County","MA","Neighborhood Health Plan"
2017,"25005","Bristol County","MA","Tufts Health Plan"
2017,"25005","Bristol County","MA","Ambetter from CeltiCare Health"
2017,"25005","Bristol County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25005","Bristol County","MA","Harvard Pilgrim Health Care"
2017,"25007","Dukes County","MA","Boston Medical Center HealthNet Plan"
2017,"25007","Dukes County","MA","Neighborhood Health Plan"
2017,"25007","Dukes County","MA","Tufts Health Plan"
2017,"25007","Dukes County","MA","Ambetter from CeltiCare Health"
2017,"25007","Dukes County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25007","Dukes County","MA","Harvard Pilgrim Health Care"
2017,"25009","Essex County","MA","Boston Medical Center HealthNet Plan"
2017,"25009","Essex County","MA","Fallon Health"
2017,"25009","Essex County","MA","Minuteman Health"
2017,"25009","Essex County","MA","Neighborhood Health Plan"
2017,"25009","Essex County","MA","Tufts Health Plan"
2017,"25009","Essex County","MA","Ambetter from CeltiCare Health"
2017,"25009","Essex County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25009","Essex County","MA","Harvard Pilgrim Health Care"
2017,"25011","Franklin County","MA","Fallon Health"
2017,"25011","Franklin County","MA","Health New England"
2017,"25011","Franklin County","MA","Ambetter from CeltiCare Health"
2017,"25011","Franklin County","MA","Blue Cross Blue Shield of Massachusetts"
2017,"25011","Franklin County","MA","Harvard Pilgrim Health Care"
2017,"25013","Hampden County","MA","Boston Medical Center HealthNet Plan"
2017,"25013","Hampden County","MA","Fallon Health"
