"issuer_name","region","year"
"Fallon","ABCDEF",2014
"Health New England","AB",2014
"Minuteman","BCDEF",2014
"Blue Cross Blue Shield of MA","fullstate",2014
"BMC HealthNet Plan","fullstate",2014
"CeltiCare","fullstate",2014
"Harvard Pilgrim Health Care","fullstate",2014
"Neighborhood Health Plan","fullstate",2014
"Network Health","fullstate",2014
"Tufts Health Plan","fullstate",2014
"Health New England","AB",2015
"Minuteman","BCDEF",2015
"Blue Cross Blue Shield of MA","fullstate",2015
"BMC HealthNet Plan","fullstate",2015
"CeltiCare","fullstate",2015
"Fallon","fullstate",2015
"Harvard Pilgrim Health Care","fullstate",2015
"Neighborhood Health Plan","fullstate",2015
"Network Health","fullstate",2015
"Tufts Health Plan","fullstate",2015
"United HealthCare","fullstate",2015
"Health New England","AB",2016
"Minuteman","BCDEF",2016
"Blue Cross Blue Shield of MA","fullstate",2016
"BMC HealthNet Plan","fullstate",2016
"CeltiCare","fullstate",2016
"Fallon","fullstate",2016
"Harvard Pilgrim Health Care","fullstate",2016
"Neighborhood Health Plan","fullstate",2016
"Tufts Health Plan","fullstate",2016
"United HealthCare","fullstate",2016
"Health New England","ABC",2017
"Minuteman","BCDEF",2017
"Blue Cross Blue Shield of MA","fullstate",2017
"BMC HealthNet Plan","fullstate",2017
"CeltiCare","fullstate",2017
"Fallon","fullstate",2017
"Harvard Pilgrim Health Care","fullstate",2017
"Neighborhood Health Plan","fullstate",2017
"Tufts Health Plan","fullstate",2017
