County,Member Count,Percent
Aitkin,467,0.39%
APTC,361,77.30%
No APTC,106,22.70%
Anoka,6586,5.56%
APTC,4121,62.57%
No APTC,2465,37.43%
Becker,837,0.71%
APTC,610,72.88%
No APTC,227,27.12%
Beltrami,622,0.53%
APTC,490,78.78%
No APTC,132,21.22%
Benton,819,0.69%
APTC,524,63.98%
No APTC,295,36.02%
Big Stone,211,0.18%
APTC,146,69.19%
No APTC,65,30.81%
Blue Earth,1470,1.24%
APTC,1069,72.72%
No APTC,401,27.28%
Brown,731,0.62%
APTC,604,82.63%
No APTC,127,17.37%
Carlton,720,0.61%
APTC,470,65.28%
No APTC,250,34.72%
Carver,2093,1.77%
APTC,1257,60.06%
No APTC,836,39.94%
Cass,940,0.79%
APTC,736,78.30%
No APTC,204,21.70%
Chippewa,249,0.21%
APTC,162,65.06%
No APTC,87,34.94%
Chisago,1383,1.17%
APTC,786,56.83%
No APTC,597,43.17%
Clay,936,0.79%
APTC,633,67.63%
No APTC,303,32.37%
Clearwater,188,0.16%
APTC,159,84.57%
No APTC,29,15.43%
Cook,365,0.31%
APTC,244,66.85%
No APTC,121,33.15%
Cottonwood,405,0.34%
APTC,331,81.73%
No APTC,74,18.27%
Crow Wing,1750,1.48%
APTC,1124,64.23%
No APTC,626,35.77%
Dakota,7893,6.67%
APTC,4776,60.51%
No APTC,3117,39.49%
Dodge,377,0.32%
APTC,302,80.11%
No APTC,75,19.89%
Douglas,1168,0.99%
APTC,911,78.00%
No APTC,257,22.00%
Faribault,532,0.45%
APTC,420,78.95%
No APTC,112,21.05%
Fillmore,594,0.50%
APTC,481,80.98%
No APTC,113,19.02%
Freeborn,821,0.69%
APTC,698,85.02%
No APTC,123,14.98%
Goodhue,1081,0.91%
APTC,859,79.46%
No APTC,222,20.54%
Grant,219,0.18%
APTC,170,77.63%
No APTC,49,22.37%
Hennepin,27424,23.16%
APTC,15100,55.06%
No APTC,12324,44.94%
Houston,495,0.42%
APTC,393,79.39%
No APTC,102,20.61%
Hubbard,505,0.43%
APTC,397,78.61%
No APTC,108,21.39%
Isanti,893,0.75%
APTC,623,69.76%
No APTC,270,30.24%
Itasca,994,0.84%
APTC,774,77.87%
No APTC,220,22.13%
Jackson,402,0.34%
APTC,283,70.40%
No APTC,119,29.60%
Kanabec,376,0.32%
APTC,273,72.61%
No APTC,103,27.39%
Kandiyohi,888,0.75%
APTC,667,75.11%
No APTC,221,24.89%
Kittson,133,0.11%
APTC,102,76.69%
No APTC,31,23.31%
Koochiching,360,0.30%
APTC,264,73.33%
No APTC,96,26.67%
Lac Qui Parle,310,0.26%
APTC,136,43.87%
No APTC,174,56.13%
Lake,313,0.26%
APTC,237,75.72%
No APTC,76,24.28%
Lake of the Woods,92,0.08%
APTC,66,71.74%
No APTC,26,28.26%
Le Sueur,718,0.61%
APTC,564,78.55%
No APTC,154,21.45%
Lincoln,174,0.15%
